english_word,word_class,level,verb_transitivity,hindi_translation,urdu_translation,hindi_transliteration,urdu_transliteration
sweater,noun,a1,,स्वेटर (m),स्वेटर (m),svēṭar (m),svēṭar (m)
swimming,noun,a1,,तैराकी (f) / तैरना (m),तैराकी (f) / तैरना (m),tairākī (f) / tairanā (m),tairākī (f) / tairanā (m)
t-shirt,noun,a1,,टी-शर्ट (f),टी-शर्ट (f),ṭī-śarṭa (f),ṭī-śarṭa (f)
tall,adjective,a1,,लंबा / ऊँचा,लंबा / ऊँचा,laṁbā / ūm̐cā,laṁbā / ūm̐cā
taxi,noun,a1,,टैक्सी (f) / किराया गाड़ी (f),टैक्सी (f) / किराया गाड़ी (f),ṭaiksī (f) / kirāyā gāṛī (f),ṭaiksī (f) / kirāyā gāṛī (f)
tea,noun,a1,,चाय (f),चाय (f),cāy (f),cāy (f)
teacher (female),noun,a1,,अध्यापिका (f) / शिक्षिका (f) / गुरुमा (f),उस्तानी (f) / टीचर (f) / मुअल्लिमा (f),adhyāpikā (f) / śikṣikā (f) / gurumā (f),ustānī (f) / ṭīcar (f) / muallimā (f)
teacher (male),noun,a1,,अध्यापक (m) / शिक्षक (m) / गुरु (m),उस्ताद (m) / टीचर (m) / मुअल्लिम (m),adhyāpak (m) / śikṣak (m) / guru (m),ustād (m) / ṭīcar (m) / muallim (m)
team,noun,a1,,टीम (f) / दल (m) / टोली (f) / समूह (m),टीम (f) / दल (m) / फ़रीक़ (m),ṭīm (f) / dal (m) / ṭōlī (f) / samūh (m),ṭīm (f) / dal (m) / farīq (m)
teenager (female adolescent),noun,a1,,टीनएजर (f) / किशोरी (f) / युवा लड़की (f),टीनएजर (f) / किशोरी (f) / नौजवान लड़की (f),ṭīnaējar (f) / kiśōrī (f) / yuvā laṛakī (f),ṭīnaējar (f) / kiśōrī (f) / naujavān laṛakī (f)
teenager (male adolescent),noun,a1,,टीनएजर (m) / किशोर (m) / युवा लड़का (m),टीनएजर (m) / किशोर (m) / नौजवान लड़का (m),ṭīnaējar (m) / kiśōr (m) / yuvā laṛakā (m),ṭīnaējar (m) / kiśōr (m) / naujavān laṛakā (m)
"telephone (formal, standard)",noun,a1,,फ़ोन (m) / टेलीफ़ोन (m) / दूरभाष (m),फ़ोन (m) / टेलीफ़ोन (m) / दूरभाष (m),fōn (m) / ṭēlīfōn (m) / dūrabhāṣa (m),fōn (m) / ṭēlīfōn (m) / dūrabhāṣa (m)
telephone number,noun,a1,,फ़ोन नंबर (m) / टेलीफ़ोन नंबर (m) / दूरभाष संख्या (f),फ़ोन नंबर (m) / टेलीफ़ोन नंबर (m) / नंबर (m),fōn naṁbar (m) / ṭēlīfōn naṁbar (m) / dūrabhāṣa saṁkhyā (f),fōn naṁbar (m) / ṭēlīfōn naṁbar (m) / naṁbar (m)
television,noun,a1,,टीवी (f) / टेलीविज़न (m),टीवी (f) / टेलीविज़न (m),ṭīvī (f) / ṭēlīvizan (m),ṭīvī (f) / ṭēlīvizan (m)
"television (formal term, or the medium)",noun,a1,,टेलीविज़न (m) / दूरदर्शन (m),टेलीविज़न (m) / दूरदर्शन (m),ṭēlīvizan (m) / dūradarśan (m),ṭēlīvizan (m) / dūradarśan (m)
television (formal),noun,a1,,दूरदर्शन (m) / टेलीविज़न (m),टेलीविज़न (m) / दूरदर्शन (m),dūradarśan (m) / ṭēlīvizan (m),ṭēlīvizan (m) / dūradarśan (m)
television (TV set),noun,a1,,टेलीविज़न (m) / दूरदर्शन (m),टेलीविज़न (m) / टीवी (f),ṭēlīvizan (m) / dūradarśan (m),ṭēlīvizan (m) / ṭīvī (f)
"temperature (measurement, reading)",noun,a1,,तापमान (m) / हरारत (f),हरारत (f) / दर्जा-ए-हरारत (m) / तापमान (m),tāpamān (m) / harārat (f),harārat (f) / darjā-ē-harārat (m) / tāpamān (m)
ten,number,a1,,दस,दस,das,das
tennis,noun,a1,,टेनिस (f),टेनिस (f),ṭēnis (f),ṭēnis (f)
test (medical procedure or trial),noun,a1,,टेस्ट (m) / जाँच (f) / परीक्षण (m),टेस्ट (m) / जाँच (f) / तशख़ीस (f),ṭēsṭa (m) / jām̐c (f) / parīkṣaṇa (m),ṭēsṭa (m) / jām̐c (f) / taśak͟hīs (f)
"text (message, SMS)",noun,a1,,मैसेज (m) / संदेश (m) / पाठ संदेश (m),मैसेज (m) / पैग़ाम (m) / संदेश (m),maisēj (m) / saṁdēśa (m) / pāṭh saṁdēśa (m),maisēj (m) / paiġām (m) / saṁdēśa (m)
text (written content),noun,a1,,पाठ (m) / लेख (m) / सामग्री (f),तहरीर (f) / इबारत (f) / मतन (m),pāṭh (m) / lēkh (m) / sāmagrī (f),taharīr (f) / ibārat (f) / matan (m)
than,preposition,a1,,से,से / बनिस्बत,sē,sē / banisbat
"thank you (formal, emphasis)",exclamation,a1,,बहुत-बहुत धन्यवाद / हार्दिक आभार,बहुत-बहुत शुक्रिया / निहायत शुक्रगुज़ार हूँ,bahut-bahut dhanyavād / hārdik ābhār,bahut-bahut śukriyā / nihāyat śukraguzār hūm̐
"thank you (polite, formal)",noun,a1,,धन्यवाद (m) / आभार (m) / शुक्रिया (m),शुक्रिया (m) / शुक्र (m) / एहसानमंदी (f),dhanyavād (m) / ābhār (m) / śukriyā (m),śukriyā (m) / śukr (m) / ēhasānamaṁdī (f)
that,pronoun,a1,,वह,वह,vah,vah
"that (adjective, modifying a noun)",determiner,a1,,वह,वह,vah,vah
that (demonstrative adjective),determiner,a1,,वह,वह,vah,vah
that (demonstrative pronoun),pronoun,a1,,वह,वह,vah,vah
"that (pronoun, referring to a distant thing)",pronoun,a1,,वह,वह,vah,vah
the,definite article,a1,,वह / यह,वह / यह,vah / yah,vah / yah
the color white,noun,a1,,सफ़ेद रंग (m) / श्वेत रंग (m),सफ़ेद रंग (m) / ब्याज़ रंग (m),safēd raṁg (m) / śvēt raṁg (m),safēd raṁg (m) / byāz raṁg (m)
"The South (contextual, e.g., in a local Indian context)",noun,a1,,दक्षिण (m) / दक्खिन (m),दक्षिण (m) / दक्खिन (m) / जूब (m),dakṣiṇa (m) / dakkhin (m),dakṣiṇa (m) / dakkhin (m) / jūb (m)
the South (noun: region),noun,a1,,दक्षिण (m) / दक्खिन (m),दक्षिण (m) / दक्खिन (m) / जूब (m),dakṣiṇa (m) / dakkhin (m),dakṣiṇa (m) / dakkhin (m) / jūb (m)
theatre (drama performance),noun,a1,,नाटक (m) / रंगमंच (m) / नाट्यशाला (f),ड्रामा (m) / नाटक (m) / थिएटर (m) / रंगमंच (m),nāṭak (m) / raṁgamaṁc (m) / nāṭyaśālā (f),ḍrāmā (m) / nāṭak (m) / thiēṭar (m) / raṁgamaṁc (m)
theatre (movie),noun,a1,,सिनेमा (m) / टॉकीज़ (m) / चित्रपटगृह (m),सिनेमा (m) / टॉकीज़ (m) / थिएटर (m),sinēmā (m) / ṭôkīz (m) / citrapaṭagr̥h (m),sinēmā (m) / ṭôkīz (m) / thiēṭar (m)
their (distant),determiner,a1,,उन का / उन की / उन के,उन का / उन की / उन के,un kā / un kī / un kē,un kā / un kī / un kē
their (near),determiner,a1,,इन का / इन की / इन के,इन का / इन की / इन के,in kā / in kī / in kē,in kā / in kī / in kē
"them (objects, animals)",pronoun,a1,,उन को / इन को,उन को / इन को,un kō / in kō,un kō / in kō
"them (people, casual)",pronoun,a1,,उन को / इन को,उन को / इन को,un kō / in kō,un kō / in kō
"them (people, casual, near)",pronoun,a1,,इन को,इन को,in kō,in kō
"them (people, respectful)",pronoun,a1,,उन को / इन को,उन को / इन को,un kō / in kō,un kō / in kō
"them (people, respectful, dative)",pronoun,a1,,उन को / इन को,उन को / इन को,un kō / in kō,un kō / in kō
then (at that time),adverb,a1,,तब / उस वक़्त / उस समय,तब / उस वक़्त / उस ज़माने में,tab / us vaqt / us samay,tab / us vaqt / us zamānē mēṁ
then (subsequently),adverb,a1,,फिर / उसके बाद / तत्पश्चात,फिर / उसके बाद / बाद अज़,phir / usakē bād / tatpaścāt,phir / usakē bād / bād az
there (existential marker),adverb,a1,,अस्तित्व में,वजूद में,astitv mēṁ,vajūd mēṁ
they (non-human),pronoun,a1,,वे / वो,वे / वो,vē / vō,vē / vō
"thing (affair, state)",noun,a1,,बात (f) / मामला (m) / स्थिति (f),बात (f) / मामला (m) / सूरत (f),bāt (f) / māmalā (m) / sthiti (f),bāt (f) / māmalā (m) / sūrat (f)
"thing (matter, issue)",noun,a1,,बात (f) / मामला (m) / मुद्दा (m),बात (f) / मामला (m) / मसला (m),bāt (f) / māmalā (m) / muddā (m),bāt (f) / māmalā (m) / masalā (m)
thing (object),noun,a1,,चीज़ (f) / वस्तु (f),चीज़ (f) / शय (f),cīz (f) / vastu (f),cīz (f) / śay (f)
third,ordinal number,a1,,तीसरा / तृतीय,तीसरा / स़ालिस,tīsarā / tr̥tīy,tīsarā / s̈ālis
thirsty,adjective,a1,,प्यासा / तृषित,प्यासा / तिश्ना,pyāsā / tr̥ṣit,pyāsā / tiśnā
thirteen,number,a1,,तेरह,तेरह,tērah,tērah
thirty,number,a1,,तीस,तीस,tīs,tīs
this (as a stand-alone pronoun),pronoun,a1,,यह,यह,yah,yah
this (before a noun),determiner,a1,,यह,यह,yah,yah
this (modifying a noun),pronoun,a1,,यह,यह,yah,yah
thousand,number,a1,,हज़ार (m) / सहस्र (m),हज़ार (m),hazār (m) / sahasr (m),hazār (m)
three,number,a1,,तीन,तीन,tīn,tīn
"through (by means of, via)",preposition,a1,,के ज़रिये / के माध्यम से / द्वारा,के ज़रिये / के वास्ते,kē zariyē / kē mādhyam sē / dvārā,kē zariyē / kē vāstē
through (movement or passage),adverb,a1,,पूरा / आर-पार / होकर,पूरा / आर-पार / होकर,pūrā / ār-pār / hōkar,pūrā / ār-pār / hōkar
"through (movement, spatial passage)",preposition,a1,,से होकर / के पार / में से,से होकर / के पार / में से,sē hōkar / kē pār / mēṁ sē,sē hōkar / kē pār / mēṁ sē
thursday,noun,a1,,गुरुवार (m) / बृहस्पतिवार (m),जुमेरात (f) / गुरुवार (m),guruvār (m) / br̥haspativār (m),jumērāt (f) / guruvār (m)
ticket,noun,a1,,टिकट (m) / पर्ची (f),टिकट (m) / पर्ची (f),ṭikaṭa (m) / parcī (f),ṭikaṭa (m) / parcī (f)
"time (duration, era)",noun,a1,,समय (m) / वक़्त (m) / काल (m),वक़्त (m) / ज़माना (m) / मुद्दत (f),samay (m) / vaqt (m) / kāl (m),vaqt (m) / zamānā (m) / muddat (f)
"time (instance, repetition)",noun,a1,,बार (f) / दफ़ा (f) / मर्तबा (f),बार (f) / दफ़ा (f) / मर्तबा (f),bār (f) / dafā (f) / martabā (f),bār (f) / dafā (f) / martabā (f)
"title (heading, name)",noun,a1,,उनवान (m) / शीर्षक (m) / नाम (m) / पदवी (f),उनवान (m) / ख़िताब (m) / पदवी (f),unavān (m) / śīrṣak (m) / nām (m) / padavī (f),unavān (m) / k͟hitāb (m) / padavī (f)
to,infinitive marker,a1,,-ना,-ना,-nā,-nā
to (indicating destination or recipient),preposition,a1,,को / तक / की ओर,को / तक / की जानिब (f) / की तरफ़ (f),kō / tak / kī ōr,kō / tak / kī jānib (f) / kī taraf (f)
"to (indicating limit, until)",preposition,a1,,तक,तक,tak,tak
to (infinitive marker),infinitive marker,a1,,-ना,-ना,-nā,-nā
"to add (to include, insert)",verb,a1,transitive,जोड़ना / शामिल करना / मिलाना,जोड़ना / शामिल करना / इज़ाफ़ा करना,jōṛanā / śāmil karanā / milānā,jōṛanā / śāmil karanā / izāfā karanā
to agree (to a proposal or condition),verb,a1,intransitive,राज़ी होना / सहमत होना / मानना,राज़ी होना / सहमत होना / इत्तिफ़ाक़ करना,rāzī hōnā / sahamat hōnā / mānanā,rāzī hōnā / sahamat hōnā / ittifāq karanā
to answer (a door),verb,a1,transitive,दरवाज़ा खोलना / दरवाज़े पर जाना,दरवाज़ा खोलना / दरवाज़े पर जाना / दर पर जाना,daravāzā khōlanā / daravāzē par jānā,daravāzā khōlanā / daravāzē par jānā / dar par jānā
"to answer (a question, reply)",verb,a1,transitive,जवाब देना / उत्तर देना / प्रत्युत्तर देना,जवाब देना / जवाब लौटाना / अर्ज़ करना,javāb dēnā / uttar dēnā / pratyuttar dēnā,javāb dēnā / javāb lauṭānā / arz karanā
to answer (a telephone or door),verb,a1,transitive,फ़ोन उठाना / दरवाज़ा खोलना,फ़ोन उठाना / दरवाज़ा खोलना,fōn uṭhānā / daravāzā khōlanā,fōn uṭhānā / daravāzā khōlanā
to answer (a telephone),verb,a1,transitive,फ़ोन उठाना / टेलीफ़ोन उठाना,फ़ोन उठाना / टेलीफ़ोन उठाना,fōn uṭhānā / ṭēlīfōn uṭhānā,fōn uṭhānā / ṭēlīfōn uṭhānā
to arrive,verb,a1,,पहुँचना / आना,पहुँचना / आना / तशरीफ़ लाना,pahum̐canā / ānā,pahum̐canā / ānā / taśarīf lānā
to ask (to request something),verb,a1,transitive,पूछना / माँगना / निवेदन करना,पूछना / माँगना / दरख़्वास्त करना,pūchanā / mām̐ganā / nivēdan karanā,pūchanā / mām̐ganā / darak͟hvāst karanā
"to bag (place groceries, items inside)",verb,a1,transitive,थैले में डालना / पैक करना,थैले में डालना / पैक करना,thailē mēṁ ḍālanā / paik karanā,thailē mēṁ ḍālanā / paik karanā
"to be (identity, copula)",auxiliary verb,a1,intransitive,होना,होना,hōnā,hōnā
"to be (identity, copula, negative)",auxiliary verb,a1,intransitive,न होना / नहीं होना,न होना / नहीं होना,n hōnā / nahīṁ hōnā,n hōnā / nahīṁ hōnā
to be (to become or define identity),verb,a1,intransitive,होना / बनना,होना / बनना,hōnā / bananā,hōnā / bananā
to be (to exist or be located),verb,a1,intransitive,होना / रहना / मौजूद होना,होना / रहना / मौजूद होना / वजूद रखना,hōnā / rahanā / maujūd hōnā,hōnā / rahanā / maujūd hōnā / vajūd rakhanā
"to be (to exist, be located)",auxiliary verb,a1,intransitive,होना / रहना,होना / रहना / मौजूद होना,hōnā / rahanā,hōnā / rahanā / maujūd hōnā
to be born,verb,a1,intransitive,पैदा होना / जन्म लेना,पैदा होना / जन्म लेना / वजूद में आना,paidā hōnā / janm lēnā,paidā hōnā / janm lēnā / vajūd mēṁ ānā
to be left (to remain),verb,a1,intransitive,बचना / रह जाना,बचना / रह जाना / बाक़ी रहना,bacanā / rah jānā,bacanā / rah jānā / bāqī rahanā
to be startled,verb,a1,,चौंकना / सहम जाना,चौंकना / सहम जाना / घबरा जाना,cauṁkanā / saham jānā,cauṁkanā / saham jānā / ghabarā jānā
to be thirsty,verb,a1,intransitive,प्यासा होना / प्यास लगना,प्यासा होना / प्यास लगना / तिश्ना होना,pyāsā hōnā / pyās laganā,pyāsā hōnā / pyās laganā / tiśnā hōnā
to become,verb,a1,intransitive,होना / बन जाना,होना / बन जाना / हो जाना,hōnā / ban jānā,hōnā / ban jānā / hō jānā
to begin (intransitive),verb,a1,intransitive,शुरू होना / आरंभ होना / प्रारंभ होना,शुरू होना / इब्तिदा होना / आग़ाज़ होना,śurū hōnā / āraṁbh hōnā / prāraṁbh hōnā,śurū hōnā / ibtidā hōnā / āġāz hōnā
"to begin (transitive, to initiate a task)",verb,a1,transitive,शुरू करना / आरंभ करना / प्रारंभ करना,शुरू करना / इब्तिदा करना / आग़ाज़ करना,śurū karanā / āraṁbh karanā / prāraṁbh karanā,śurū karanā / ibtidā karanā / āġāz karanā
to believe (to have faith in or trust),verb,a1,transitive,मानना / यक़ीन करना / विश्वास करना,यक़ीन करना / मानना / एतमाद करना / अक़ीदा रखना,mānanā / yaqīn karanā / viśvās karanā,yaqīn karanā / mānanā / ētamād karanā / aqīdā rakhanā
to born,verb,a1,,पैदा होना / जन्म लेना,पैदा होना / जन्म लेना / वजूद में आना,paidā hōnā / janm lēnā,paidā hōnā / janm lēnā / vajūd mēṁ ānā
to break (a promise),verb,a1,transitive,तोड़ना / भंग करना,तोड़ना / शिकनी करना / ख़िलाफ़वर्ज़ी करना,tōṛanā / bhaṁg karanā,tōṛanā / śikanī karanā / k͟hilāfavarzī karanā
to break (a rule or promise),verb,a1,transitive,तोड़ना / उल्लंघन करना / भंग करना,तोड़ना / ख़िलाफ़वर्ज़ी करना / भंग करना,tōṛanā / ullaṁghan karanā / bhaṁg karanā,tōṛanā / k͟hilāfavarzī karanā / bhaṁg karanā
to break (a rule/law),verb,a1,transitive,तोड़ना / उल्लंघन करना / भंग करना,तोड़ना / ख़िलाफ़वर्ज़ी करना / भंग करना,tōṛanā / ullaṁghan karanā / bhaṁg karanā,tōṛanā / k͟hilāfavarzī karanā / bhaṁg karanā
"to break (physical object, intransitive)",verb,a1,intransitive,टूटना / भंग होना,टूटना / टूट जाना / भंग होना,ṭūṭanā / bhaṁg hōnā,ṭūṭanā / ṭūṭa jānā / bhaṁg hōnā
"to break (physical object, transitive)",verb,a1,transitive,तोड़ना / भंग करना,तोड़ना / तोड़ डालना / भंग करना,tōṛanā / bhaṁg karanā,tōṛanā / tōṛa ḍālanā / bhaṁg karanā
to bring (a person along),verb,a1,transitive,लाना / साथ लाना / ले आना,लाना / साथ लाना / ले आना,lānā / sāth lānā / lē ānā,lānā / sāth lānā / lē ānā
to build (physical structures),verb,a1,transitive,बनाना / निर्माण करना / तामीर करना,बनाना / तामीर करना / निर्माण करना,banānā / nirmāṇa karanā / tāmīr karanā,banānā / tāmīr karanā / nirmāṇa karanā
to buy (koḷḷu),verb,a1,transitive,ख़रीदना,ख़रीदना,k͟harīdanā,k͟harīdanā
to call (by phone),verb,a1,transitive,फ़ोन करना / कॉल करना / टेलीफ़ोन करना,फ़ोन करना / कॉल करना / टेलीफ़ोन करना,fōn karanā / kôl karanā / ṭēlīfōn karanā,fōn karanā / kôl karanā / ṭēlīfōn karanā
to call (by telephone),verb,a1,transitive,टेलीफ़ोन करना / फ़ोन करना / कॉल करना,टेलीफ़ोन करना / फ़ोन करना / कॉल करना,ṭēlīfōn karanā / fōn karanā / kôl karanā,ṭēlīfōn karanā / fōn karanā / kôl karanā
to call (phone),verb,a1,transitive,फ़ोन करना / कॉल करना / टेलीफ़ोन करना,फ़ोन करना / कॉल करना / टेलीफ़ोन करना,fōn karanā / kôl karanā / ṭēlīfōn karanā,fōn karanā / kôl karanā / ṭēlīfōn karanā
to call (to name or summon),verb,a1,transitive,बुलाना / पुकारना / कहना,बुलाना / पुकारना / कहना,bulānā / pukāranā / kahanā,bulānā / pukāranā / kahanā
to carry (a child),verb,a1,transitive,उठाना / ले जाना / गोद में लेना,उठाना / ले जाना / गोद में लेना,uṭhānā / lē jānā / gōd mēṁ lēnā,uṭhānā / lē jānā / gōd mēṁ lēnā
to carry (on the head),verb,a1,transitive,ढोना / उठाना,ढोना / उठाना,ḍhōnā / uṭhānā,ḍhōnā / uṭhānā
"to change (alter, replace something)",verb,a1,transitive,बदलना / तब्दील करना / परिवर्तित करना,बदलना / तब्दील करना / मुतबादिल करना,badalanā / tabdīl karanā / parivartit karanā,badalanā / tabdīl karanā / mutabādil karanā
"to change (state, condition)",verb,a1,intransitive,बदलना / परिवर्तित होना,बदलना / तब्दील होना,badalanā / parivartit hōnā,badalanā / tabdīl hōnā
to check (to tick or mark an item),verb,a1,transitive,निशान लगाना / जाँच करना,निशान लगाना / जाँच करना,niśān lagānā / jām̐c karanā,niśān lagānā / jām̐c karanā
to check (to verify or examine),verb,a1,transitive,जाँच करना / पड़ताल करना / देखना,जाँच करना / पड़ताल करना / मुआयना करना,jām̐c karanā / paṛatāl karanā / dēkhanā,jām̐c karanā / paṛatāl karanā / muāyanā karanā
to choose,verb,a1,transitive,चुनना / पसंद करना / चयन करना,चुनना / पसंद करना / इंतख़ाब करना,cunanā / pasaṁd karanā / cayan karanā,cunanā / pasaṁd karanā / iṁtak͟hāb karanā
to clean,verb,a1,transitive,साफ़ करना / स्वच्छ करना,साफ़ करना / पाक करना,sāf karanā / svacch karanā,sāf karanā / pāk karanā
to climb,verb,a1,transitive,चढ़ना,चढ़ना / सर करना,caṛhanā,caṛhanā / sar karanā
to close (an establishment or session),verb,a1,intransitive,बंद होना / ख़त्म होना / समाप्त होना,बंद होना / ख़त्म होना / मुल्तवी होना,baṁd hōnā / k͟hatm hōnā / samāpt hōnā,baṁd hōnā / k͟hatm hōnā / multavī hōnā
to come (informal singular),verb,a1,intransitive,आना,आना,ānā,ānā
to come (respectful address),verb,a1,intransitive,आना,आना,ānā,ānā
"to come (respectful, formal command)",verb,a1,intransitive,आना / तशरीफ़ लाना,आना / तशरीफ़ लाना,ānā / taśarīf lānā,ānā / taśarīf lānā
to compare,verb,a1,transitive,तुलना करना / मुक़ाबला करना,मुक़ाबला करना / तुलना करना / तशबीह देना,tulanā karanā / muqābalā karanā,muqābalā karanā / tulanā karanā / taśabīh dēnā
"to complete (a form, requirement)",verb,a1,transitive,भरना / पूरा करना / मुकम्मल करना,भरना / पूरा करना / मुकम्मल करना,bharanā / pūrā karanā / mukammal karanā,bharanā / pūrā karanā / mukammal karanā
"to complete (a task, work)",verb,a1,transitive,पूरा करना / ख़त्म करना / समाप्त करना,पूरा करना / ख़त्म करना / मुकम्मल करना,pūrā karanā / k͟hatm karanā / samāpt karanā,pūrā karanā / k͟hatm karanā / mukammal karanā
to cook (ingredients until done),verb,a1,transitive,पकाना / बनाना,पकाना / बनाना / तैयार करना,pakānā / banānā,pakānā / banānā / taiyār karanā
"to correct (a mistake, error)",verb,a1,transitive,ठीक करना / सही करना / सुधारना,ठीक करना / सही करना / दुरुस्त करना,ṭhīk karanā / sahī karanā / sudhāranā,ṭhīk karanā / sahī karanā / durust karanā
"to correct (behavior, reprimand)",verb,a1,transitive,सुधारना / ठीक करना / डाँटना,सुधारना / दुरुस्त करना / सरज़ंश करना,sudhāranā / ṭhīk karanā / ḍām̐ṭanā,sudhāranā / durust karanā / sarazaṁśa karanā
"to cry (to weep, sob)",verb,a1,intransitive,रोना / आँसू बहाना / विलाप करना,रोना / आँसू बहाना / गिरिया करना,rōnā / ām̐sū bahānā / vilāp karanā,rōnā / ām̐sū bahānā / giriyā karanā
to dance,verb,a1,intransitive,नाचना / नृत्य करना,नाचना / रक़्स करना,nācanā / nr̥ty karanā,nācanā / raqs karanā
to decide,verb,a1,transitive,तय करना / फ़ैसला करना / निर्णय करना,तय करना / फ़ैसला करना / इरादा करना,tay karanā / faisalā karanā / nirṇay karanā,tay karanā / faisalā karanā / irādā karanā
to describe,verb,a1,transitive,बताना / बयान करना / वर्णन करना,बयान करना / वजाहत करना / तौसीफ़ करना,batānā / bayān karanā / varṇan karanā,bayān karanā / vajāhat karanā / tausīf karanā
"to die (pass away, formal)",verb,a1,intransitive,मरना / इंतक़ाल करना / देहांत होना / स्वर्ग सिधारना,मरना / इंतक़ाल करना / वफ़ात पाना,maranā / iṁtaqāl karanā / dēhāṁt hōnā / svarg sidhāranā,maranā / iṁtaqāl karanā / vafāt pānā
"to discuss (informal, to talk about)",verb,a1,transitive,बात करना / बातचीत करना / चर्चा करना,बात करना / गुफ़्तगू करना / बहस करना,bāt karanā / bātacīt karanā / carcā karanā,bāt karanā / guftagū karanā / bahas karanā
to do,auxiliary verb,a1,transitive,करना,करना,karanā,karanā
to do (as part of a compound verb or for emphasis),auxiliary verb,a1,transitive,करना,करना,karanā,karanā
to do (general action),verb,a1,transitive,करना,करना,karanā,karanā
to do (suffice),auxiliary verb,a1,intransitive,काफ़ी होना / चलना,काफ़ी होना / चलना,kāfī hōnā / calanā,kāfī hōnā / calanā
"to draw (a picture, sketch)",verb,a1,transitive,चित्र बनाना / तस्वीर बनाना / रेखाचित्र खींचना,तस्वीर बनाना / ख़ाका खींचना / नक़्शा बनाना,citr banānā / tasvīr banānā / rēkhācitr khīṁcanā,tasvīr banānā / k͟hākā khīṁcanā / naqśā banānā
"to draw (to pull, drag)",verb,a1,transitive,खींचना / घसीटना,खींचना / घसीटना,khīṁcanā / ghasīṭanā,khīṁcanā / ghasīṭanā
"to draw, paint a picture",verb,a1,transitive,चित्र बनाना / रंगना / तस्वीर बनाना,तस्वीर बनाना / रंगना / मुसव्विरी करना,citr banānā / raṁganā / tasvīr banānā,tasvīr banānā / raṁganā / musavvirī karanā
to dress (oneself),verb,a1,intransitive,कपड़े पहनना / तैयार होना,कपड़े पहनना / तैयार होना / लिबास पहनना,kapaṛē pahananā / taiyār hōnā,kapaṛē pahananā / taiyār hōnā / libās pahananā
to dress (someone else),verb,a1,transitive,कपड़े पहनाना / तैयार करना,कपड़े पहनाना / तैयार करना / लिबास पहनाना,kapaṛē pahanānā / taiyār karanā,kapaṛē pahanānā / taiyār karanā / libās pahanānā
to drink,verb,a1,transitive,पीना,पीना,pīnā,pīnā
"to drink (liquid medicine, beverage)",verb,a1,transitive,पीना / सेवन करना,पीना / नोश करना,pīnā / sēvan karanā,pīnā / nōśa karanā
to drive (a vehicle),verb,a1,transitive,चलाना / गाड़ी चलाना,चलाना / गाड़ी चलाना,calānā / gāṛī calānā,calānā / gāṛī calānā
to drive (force forward),verb,a1,transitive,हाँकना / चलाना / धकेलना,हाँकना / चलाना / धकेलना,hām̐kanā / calānā / dhakēlanā,hām̐kanā / calānā / dhakēlanā
"to eat (pills, food)",verb,a1,transitive,खाना / सेवन करना,खाना / नोश करना,khānā / sēvan karanā,khānā / nōśa karanā
to eat (respectful),verb,a1,transitive,भोजन करना / ग्रहण करना,तनावुल करना / नोश फ़रमाना,bhōjan karanā / grahaṇa karanā,tanāvul karanā / nōśa faramānā
to email,verb,a1,transitive,ईमेल करना / ई-मेल भेजना,ईमेल करना / ई-मेल भेजना,īmēl karanā / ī-mēl bhējanā,īmēl karanā / ī-mēl bhējanā
to end (to finish doing something),verb,a1,transitive,ख़त्म करना / समाप्त करना / पूरा करना,ख़त्म करना / तमाम करना / अंजाम देना,k͟hatm karanā / samāpt karanā / pūrā karanā,k͟hatm karanā / tamām karanā / aṁjām dēnā
to end (to stop or conclude),verb,a1,intransitive,ख़त्म होना / समाप्त होना / पूरा होना,ख़त्म होना / तमाम होना / अंजाम पाना,k͟hatm hōnā / samāpt hōnā / pūrā hōnā,k͟hatm hōnā / tamām hōnā / aṁjām pānā
to exercise (physical activity),verb,a1,intransitive,कसरत करना / व्यायाम करना,कसरत करना / वर्ज़िश करना,kasarat karanā / vyāyām karanā,kasarat karanā / varziśa karanā
to explain,verb,a1,transitive,समझाना / स्पष्ट करना / व्याख्या करना,समझाना / वजाहत करना / तशरीह करना,samajhānā / spaṣṭa karanā / vyākhyā karanā,samajhānā / vajāhat karanā / taśarīh karanā
to fall,verb,a1,intransitive,गिरना / पड़ना,गिरना / पड़ना,giranā / paṛanā,giranā / paṛanā
to feel (a state or emotion),verb,a1,intransitive,महसूस करना / लगना,महसूस करना / लगना,mahasūs karanā / laganā,mahasūs karanā / laganā
to feel (to touch and perceive),verb,a1,transitive,छूना / महसूस करना,छूना / महसूस करना,chūnā / mahasūs karanā,chūnā / mahasūs karanā
"to fill (a form, application)",verb,a1,transitive,भरना / पूरा करना,भरना / पूर करना / तकमील करना,bharanā / pūrā karanā,bharanā / pūr karanā / takamīl karanā
"to finish (a task, completion)",verb,a1,transitive,पूरा करना / ख़त्म करना / समाप्त करना,ख़त्म करना / मुकम्मल करना / अंजाम देना,pūrā karanā / k͟hatm karanā / samāpt karanā,k͟hatm karanā / mukammal karanā / aṁjām dēnā
"to finish (to end, come to an end)",verb,a1,intransitive,ख़त्म होना / समाप्त होना / पूरा होना,ख़त्म होना / तमाम होना / अंजाम पाना,k͟hatm hōnā / samāpt hōnā / pūrā hōnā,k͟hatm hōnā / tamām hōnā / aṁjām pānā
