english_word,word_class,level,verb_transitivity,translation,transliteration
"figure (shape, outline)",noun,a2,,आकृति (f) / रूप (m) / ढाँचा (m),ākr̥ti (f) / rūp (m) / ḍhām̐cā (m)
final (examination),noun,a2,,फ़ाइनल इम्तिहान (m) / अंतिम परीक्षा (f),fāinal imtihān (m) / aṁtim parīkṣā (f)
"final (match, game)",noun,a2,,फ़ाइनल (m) / अंतिम मुक़ाबला (m),fāinal (m) / aṁtim muqābalā (m)
final match,noun,a2,,फ़ाइनल मैच (m) / अंतिम मुक़ाबला (m),fāinal maic (m) / aṁtim muqābalā (m)
"finally (at last, after waiting)",adverb,a2,,आख़िरकार / अंततः / आख़िर में,āk͟hirakār / aṁtataḥ / āk͟hir mēṁ
"finally (lastly, in conclusion)",adverb,a2,,आख़िरकार / अंततः / निष्कर्षतः,āk͟hirakār / aṁtataḥ / niṣkarṣataḥ
fine (excellent quality),adjective,a2,,बढ़िया / अच्छा / उत्तम / श्रेष्ठ,baṛhiyā / acchā / uttam / śrēṣṭh
finger,noun,a2,,उँगली (f) / अंगुली (f),um̐galī (f) / aṁgulī (f)
finish (end point),noun,a2,,ख़त्म (m) / अंत (m) / समाप्ति (f) / समापन (m),k͟hatm (m) / aṁt (m) / samāpti (f) / samāpan (m)
finish (surface quality),noun,a2,,फ़िनिश (f) / सतह (f) / परिष्करण (m) / चमक (f),finiśa (f) / satah (f) / pariṣkaraṇa (m) / camak (f)
"first (firstly, in a list)",adverb,a2,,सबसे पहले / पहले / सर्वप्रथम / आदितः,sabasē pahalē / pahalē / sarvapratham / āditaḥ
"first (initially, previously)",noun,a2,,शुरुआत (f) / आरंभ (m) / प्रारंभ (m) / आदि (m),śuruāt (f) / āraṁbh (m) / prāraṁbh (m) / ādi (m)
first (ordinal rank),adjective,a2,,पहला / प्रथम / अग्रिम,pahalā / pratham / agrim
"first (ordinal rank, adjective)",noun,a2,,पहला (m) / प्रथम (m) / अग्र (m),pahalā (m) / pratham (m) / agr (m)
firstly,adverb,a2,,सबसे पहले / पहले / सर्वप्रथम / आदितः,sabasē pahalē / pahalē / sarvapratham / āditaḥ
fishing,noun,a2,,मछली पकड़ना (m) / मत्स्य आखेट (m),machalī pakaṛanā (m) / matsy ākhēṭa (m)
"fit (suitable, appropriate)",adjective,a2,,ठीक / मुनासिब / उपयुक्त / उचित,ṭhīk / munāsib / upayukt / ucit
flat (deflated),adjective,a2,,पिचक गया / हवा निकली हुई / चपटा,picak gayā / havā nikalī huī / capaṭā
flight (of stairs),noun,a2,,सीढ़ियों की उड़ान (f) / सीढ़ियों का खंड (m),sīṛhiyōṁ kī uṛān (f) / sīṛhiyōṁ kā khaṁḍa (m)
flu,noun,a2,,फ़्लू (m) / इन्फ़्लूएंज़ा (m),flū (m) / inflūēṁzā (m)
flu (general illness),noun,a2,,ज़ुकाम (m) / सर्दी-खाँसी (f) / बुख़ार (m) / इन्फ़्लूएंज़ा (m),zukām (m) / sardī-khām̐sī (f) / buk͟hār (m) / inflūēṁzā (m)
fly (clothing flap),noun,a2,,ज़िप (f) / बटन पट्टी (f) / फ़्लाई (f),zip (f) / baṭan paṭṭī (f) / flāī (f)
flying,noun,a2,,उड़ना (m) / उड़ान (f),uṛanā (m) / uṛān (f)
flying (quick or hurried),adjective,a2,,तेज़ी से / जल्दी से / फुर्तीला,tēzī sē / jaldī sē / phurtīlā
flying (the act of),noun,a2,,उड़ना (m) / उड़ान (f) / विमानन (m),uṛanā (m) / uṛān (f) / vimānan (m)
focus (main point or concentration),noun,a2,,ध्यान (m) / एकाग्रता (f) / केंद्र (m) / मुख्य बिंदु (m),dhyān (m) / ēkāgratā (f) / kēṁdr (m) / mukhy biṁdu (m)
focus (optical clarity),noun,a2,,फ़ोकस (m) / स्पष्टता (f) / केंद्रण (m),fōkas (m) / spaṣṭatā (f) / kēṁdraṇa (m)
following (after an event or time),adjective,a2,,अगला / बाद का / आगामी / परवर्ती,agalā / bād kā / āgāmī / paravartī
following (next in a sequence or list),adjective,a2,,अगला / नीचे लिखा हुआ / आगामी / अनुवर्ती,agalā / nīcē likhā huā / āgāmī / anuvartī
following (next in a sequence),adjective,a2,,अगला / आने वाला / अनुगामी / परवर्ती,agalā / ānē vālā / anugāmī / paravartī
for (in support of),preposition,a2,,के लिए / के पक्ष में / के समर्थन में,kē liē / kē pakṣa mēṁ / kē samarthan mēṁ
foreign,adjective,a2,,परदेसी / विदेशी / बाह्य / वैदेशिक,paradēsī / vidēśī / bāhy / vaidēśik
foreigner (general),noun,a2,,परदेसी (m) / विदेशी (m) / आगंतुक (m) / अन्यदेशीय (m),paradēsī (m) / vidēśī (m) / āgaṁtuk (m) / anyadēśīy (m)
"forest (formal, official)",noun,a2,,जंगल (m) / वन (m) / अरण्य (m),jaṁgal (m) / van (m) / araṇy (m)
"fork (road, junction)",noun,a2,,चौराहा (m) / तिराहा (m) / मोड़ (m) / मार्ग-विभाजन (m),caurāhā (m) / tirāhā (m) / mōṛa (m) / mārg-vibhājan (m)
"fork (tool, pitchfork)",noun,a2,,काँटा (m) / तिफ़ाला (m),kām̐ṭā (m) / tifālā (m)
"form (application, request)",noun,a2,,फ़ॉर्म (m) / अर्ज़ी (f) / आवेदन पत्र (m),fôrm (m) / arzī (f) / āvēdan patr (m)
formal (attire or manner),adjective,a2,,रस्मी / औपचारिक / संस्कारी,rasmī / aupacārik / saṁskārī
formal (official or procedural),adjective,a2,,औपचारिक / सरकारी / विधिवत,aupacārik / sarakārī / vidhivat
formal (procedural),adjective,a2,,औपचारिक / प्रक्रियात्मक / विधिवत,aupacārik / prakriyātmak / vidhivat
"fortunately (formal, written)",adverb,a2,,ख़ुशक़िस्मती से / सौभाग्य से / इत्तिफ़ाक़ से,k͟huśaqismatī sē / saubhāgy sē / ittifāq sē
forward (anticipating),adverb,a2,,उत्सुकता से / आगे की ओर,utsukatā sē / āgē kī ōr
free,adverb,a2,,आज़ाद / स्वतंत्र / मुक्त,āzād / svataṁtr / mukt
free (without cost),adverb,a2,,मुफ़्त / निःशुल्क / बिना दाम के,muft / niḥśulk / binā dām kē
"fresh (rested, invigorated)",adjective,a2,,ताज़ा / तरोताज़ा / स्फूर्तिदायक,tāzā / tarōtāzā / sphūrtidāyak
"friendship (general, formal)",noun,a2,,दोस्ती (f) / मित्रता (f) / सख्यभाव (m),dōstī (f) / mitratā (f) / sakhyabhāv (m)
frog,noun,a2,,मेंढक (m) / मंडूक (m),mēṁḍhak (m) / maṁḍūk (m)
"full (complete, whole)",adjective,a2,,पूरा / भरा हुआ / संपूर्ण,pūrā / bharā huā / saṁpūrṇa
"full (entire, absolute)",adjective,a2,,पूरा / समूचा / संपूर्ण,pūrā / samūcā / saṁpūrṇa
fun,adjective,a2,,मज़ेदार / मनोरंजक / आनंददायक,mazēdār / manōraṁjak / ānaṁdadāyak
fun (enjoyable),adjective,a2,,मज़ेदार / आनंददायक / सुखद,mazēdār / ānaṁdadāyak / sukhad
"fun (enjoyment, amusement)",adjective,a2,,मज़ेदार / मनोरंजक / आनंदपूर्ण,mazēdār / manōraṁjak / ānaṁdapūrṇa
furniture,noun,a2,,फ़र्नीचर (m) / साज-सामान (m) / गृह-सामग्री (f),farnīcar (m) / sāj-sāmān (m) / gr̥h-sāmagrī (f)
further (additional),adjective,a2,,और / अतिरिक्त / ज़्यादा,aur / atirikt / zyādā
further (additionally),adjective,a2,,और / अतिरिक्त / ज़्यादा,aur / atirikt / zyādā
further (more distant),adjective,a2,,और दूर / अधिक दूर / अगला,aur dūr / adhik dūr / agalā
future (adjective),adjective,a2,,भविष्य का / आगामी,bhaviṣy kā / āgāmī
"future (time, noun)",adjective,a2,,भविष्य (m) / आने वाला समय (m),bhaviṣy (m) / ānē vālā samay (m)
gallery (digital photo collection),noun,a2,,गैलरी (f) / चित्र संग्रह (m),gailarī (f) / citr saṁgrah (m)
"gap (difference, disparity)",noun,a2,,फ़र्क़ (m) / अंतर (m) / असमानता (f),farq (m) / aṁtar (m) / asamānatā (f)
gap (time interval),noun,a2,,अंतराल (m) / फ़ासला (m) / अवधि (f),aṁtarāl (m) / fāsalā (m) / avadhi (f)
gas (fuel for vehicle),noun,a2,,पेट्रोल (m) / गैस (f) / ईंधन (m),pēṭrōl (m) / gais (f) / īṁdhan (m)
gate,noun,a2,,गेट (m) / दरवाज़ा (m) / फाटक (m),gēṭa (m) / daravāzā (m) / phāṭak (m)
general,adjective,a2,,आम / सामान्य / साधारण,ām / sāmāny / sādhāraṇa
"gift (present, item)",noun,a2,,तोहफ़ा (m) / उपहार (m) / भेंट (f),tōhafā (m) / upahār (m) / bhēṁṭa (f)
"gift (talent, natural ability)",noun,a2,,हुनर (m) / प्रतिभा (f) / योग्यता (f),hunar (m) / pratibhā (f) / yōgyatā (f)
goal (sports score),noun,a2,,गोल (m) / लक्ष्य (m),gōl (m) / lakṣy (m)
god (female deity),noun,a2,,देवी (f) / देविका (f),dēvī (f) / dēvikā (f)
gold,noun,a2,,सोना (m) / स्वर्ण (m) / कंचन (m),sōnā (m) / svarṇa (m) / kaṁcan (m)
gold (color),adjective,a2,,सुनहरा / स्वर्ण रंग का,sunaharā / svarṇa raṁg kā
gold (made of the metal),adjective,a2,,सोने का / स्वर्ण का / स्वर्णिम,sōnē kā / svarṇa kā / svarṇim
golf,noun,a2,,गोल्फ़ (m),gōlf (m)
good (benefit or welfare),noun,a2,,भलाई (f) / हित (m) / कल्याण (m),bhalāī (f) / hit (m) / kalyāṇa (m)
good (moral quality),noun,a2,,अच्छाई (f) / नेकी (f) / सदाचार (m),acchāī (f) / nēkī (f) / sadācār (m)
government,noun,a2,,सरकार (f) / शासन (m),sarakār (f) / śāsan (m)
grass,noun,a2,,घास (f) / तृण (m),ghās (f) / tr̥ṇa (m)
grave (burial site),adjective,a2,,क़ब्र (f) / समाधि (f) / मज़ार (m),qabr (f) / samādhi (f) / mazār (m)
grey (hair due to age),noun,a2,,"सफ़ेद बाल (m, plural) / पके बाल (m, plural)","safēd bāl (m, plural) / pakē bāl (m, plural)"
"grey (hair, aging)",adjective,a2,,सफ़ेद / पके,safēd / pakē
"ground (field, area)",noun,a2,,ज़मीन (f) / मैदान (m) / भूमी (f),zamīn (f) / maidān (m) / bhūmī (f)
guest,noun,a2,,मेहमान (m) / अतिथि (m),mēhamān (m) / atithi (m)
"guide (manual, handbook)",noun,a2,,गाइड (f) / मार्गदर्शिका (f) / निर्देशिका (f),gāiḍa (f) / mārgadarśikā (f) / nirdēśikā (f)
guide (person),noun,a2,,गाइड (m/f) / मार्गदर्शक (m) / पथप्रदर्शक (m),gāiḍa (m/f) / mārgadarśak (m) / pathapradarśak (m)
gun,noun,a2,,बंदूक़ (f) / शस्त्र (m) / तोप (f),baṁdūq (f) / śastr (m) / tōp (f)
guys (plural address),noun,a2,,"दोस्तों (m, plural) / यारों (m, plural) / साथियों (m, plural)","dōstōṁ (m, plural) / yārōṁ (m, plural) / sāthiyōṁ (m, plural)"
habit,noun,a2,,आदत (f) / स्वभाव (m) / प्रवृत्ति (f),ādat (f) / svabhāv (m) / pravr̥tti (f)
"hair (body, fur)",noun,a2,,रोआँ (m) / बाल (m) / रोम (m),rōām̐ (m) / bāl (m) / rōm (m)
half (partially),adverb,a2,,आधा-अधूरा / अधूरा / कुछ हद तक,ādhā-adhūrā / adhūrā / kuch had tak
half (quantifier),adverb,a2,,आधा / अर्ध,ādhā / ardh
"hall (entrance passage, vestibule)",noun,a2,,दालान (m) / गलियारा (m) / प्रवेश-कक्ष (m),dālān (m) / galiyārā (m) / pravēśa-kakṣa (m)
"hall (large assembly room, building)",noun,a2,,हॉल (m) / सभागार (m) / भवन (m),hôl (m) / sabhāgār (m) / bhavan (m)
happily (willingly),adverb,a2,,ख़ुशी से / प्रसन्नता से / सहर्ष,k͟huśī sē / prasannatā sē / saharṣa
"heart (emotions, spirit)",noun,a2,,दिल (m) / मन (m) / हृदय (m),dil (m) / man (m) / hr̥day (m)
heart (organ),noun,a2,,दिल (m) / हृदय (m),dil (m) / hr̥day (m)
heat,noun,a2,,गर्मी (f) / ताप (m) / ऊष्मा (f),garmī (f) / tāp (m) / ūṣmā (f)
heavy (in weight or mass),adjective,a2,,भारी / वज़नी / गुरु,bhārī / vazanī / guru
heavy (intense or severe),adjective,a2,,गहरा / गंभीर / सख़्त,gaharā / gaṁbhīr / sak͟ht
heavy (rain),adjective,a2,,तेज़ / ज़ोरदार / मूसलाधार,tēz / zōradār / mūsalādhār
"heavy (workload, traffic)",adjective,a2,,ज़्यादा / भारी / बहुत,zyādā / bhārī / bahut
height (elevation or high place),noun,a2,,ऊँचाई (f) / बुलंदी (f) / उच्चता (f),ūm̐cāī (f) / bulaṁdī (f) / uccatā (f)
helpful,adjective,a2,,मददगार / सहायक / उपयोगी,madadagār / sahāyak / upayōgī
hero (brave person),noun,a2,,वीर (m) / बहादुर (m) / नायक (m),vīr (m) / bahādur (m) / nāyak (m)
hero (movie protagonist),noun,a2,,हीरो (m) / नायक (m),hīrō (m) / nāyak (m)
hers (familiar),pronoun,a2,,उसकी,usakī
"hers (formal, honorific)",pronoun,a2,,उनकी,unakī
herself (for emphasis),pronoun,a2,,आप ही / ख़ुद / स्वयं,āp hī / k͟hud / svayaṁ
high (altitude),adverb,a2,,ऊँचाई पर / ऊपर / बुलंद,ūm̐cāī par / ūpar / bulaṁd
high (sound pitch),adverb,a2,,ऊँची आवाज़ में / तेज़ आवाज़ में / बुलंद आवाज़ में,ūm̐cī āvāz mēṁ / tēz āvāz mēṁ / bulaṁd āvāz mēṁ
hill (large),noun,a2,,पहाड़ी (f) / पहाड़ (m) / पर्वत (m),pahāṛī (f) / pahāṛa (m) / parvat (m)
"hill (large, mountain)",noun,a2,,पहाड़ (m) / पर्वत (m) / गिरि (m),pahāṛa (m) / parvat (m) / giri (m)
"hill (small, mound)",noun,a2,,टीला (m) / ढूह (m) / पहाड़ी (f),ṭīlā (m) / ḍhūh (m) / pahāṛī (f)
himself (emphatic subject),pronoun,a2,,आप ही / ख़ुद / स्वयं,āp hī / k͟hud / svayaṁ
himself (emphatic),pronoun,a2,,आप ही / ख़ुद / स्वयं,āp hī / k͟hud / svayaṁ
himself (reflexive object),pronoun,a2,,अपने आप को / ख़ुद को,apanē āp kō / k͟hud kō
his (respectful),pronoun,a2,,उनका,unakā
"his (respectful, pronoun)",pronoun,a2,,उनका,unakā
his (standard),pronoun,a2,,उसका,usakā
"his (standard, pronoun)",pronoun,a2,,उसका,usakā
"history (general, personal record)",noun,a2,,पृष्ठभूमि (f) / इतिहास (m) / वृत्तांत (m),pr̥ṣṭhabhūmi (f) / itihās (m) / vr̥ttāṁt (m)
"history (personal record, background)",noun,a2,,पृष्ठभूमि (f) / इतिहास (m) / वृत्तांत (m),pr̥ṣṭhabhūmi (f) / itihās (m) / vr̥ttāṁt (m)
hit (blow),noun,a2,,मार (f) / चोट (f) / प्रहार (m),mār (f) / cōṭa (f) / prahār (m)
hit (success),noun,a2,,हिट (m) / कामयाबी (f) / सफलता (f),hiṭa (m) / kāmayābī (f) / saphalatā (f)
hockey,noun,a2,,हॉकी (f),hôkī (f)
hole (pit or large depression),noun,a2,,गड्ढा (m) / बिल (m) / गर्त (m),gaḍḍhā (m) / bil (m) / gart (m)
hole (pit/large depression),noun,a2,,गड्ढा (m) / बिल (m) / गर्त (m),gaḍḍhā (m) / bil (m) / gart (m)
hole (puncture or tear),noun,a2,,छेद (m) / सूराख़ (m) / छिद्र (m),chēd (m) / sūrāk͟h (m) / chidr (m)
hole (puncture/tear),noun,a2,,छेद (m) / सूराख़ (m) / छिद्र (m),chēd (m) / sūrāk͟h (m) / chidr (m)
"holiday, time off",noun,a2,,छुट्टी (f) / अवकाश (m),chuṭṭī (f) / avakāśa (m)
home,adjective,a2,,घरेलू / घर का,gharēlū / ghar kā
home (adjective),adjective,a2,,घरेलू / घर का,gharēlū / ghar kā
hope,noun,a2,,उम्मीद (f) / आशा (f) / आस (f),ummīd (f) / āśā (f) / ās (f)
"however (no matter how, to whatever extent)",adverb,a2,,चाहे जितना भी / फिर भी,cāhē jitanā bhī / phir bhī
"huge (massive, colossal)",adjective,a2,,बहुत बड़ा / विशाल / भारी भरकम,bahut baṛā / viśāl / bhārī bharakam
"huge (significant, major)",adjective,a2,,बहुत बड़ा / अहम / महत्वपूर्ण,bahut baṛā / aham / mahatvapūrṇa
human (formal),noun,a2,,इंसान (m) / मनुष्य (m) / मानव (m),iṁsān (m) / manuṣy (m) / mānav (m)
hurt (emotionally wounded),adjective,a2,,दुखी / आहत / व्यथित,dukhī / āhat / vyathit
hurt (physically injured),adjective,a2,,घायल / चोटिल / ज़ख़्मी,ghāyal / cōṭil / zak͟hmī
"husband (formal, respectful)",noun,a2,,पति (m) / स्वामी (m) / नाथ (m),pati (m) / svāmī (m) / nāth (m)
"ideal (conceptual, abstract)",adjective,a2,,आदर्श / उत्तम / श्रेष्ठ,ādarśa / uttam / śrēṣṭh
ill (sick),adjective,a2,,बीमार / अस्वस्थ / रोगी,bīmār / asvasth / rōgī
"illness (disease, medical condition)",noun,a2,,बीमारी (f) / रोग (m) / व्याधि (f),bīmārī (f) / rōg (m) / vyādhi (f)
illness (sickness),noun,a2,,बीमारी (f) / अस्वस्थता (f) / रुग्णता (f),bīmārī (f) / asvasthatā (f) / rugṇatā (f)
"image (reputation, public perception)",noun,a2,,छवि (f) / प्रतिष्ठा (f) / इज़्ज़त (f),chavi (f) / pratiṣṭhā (f) / izzat (f)
imaginary (fictional),adjective,a2,,काल्पनिक / मनगढ़ंत / ख़याली,kālpanik / managaṛhaṁt / k͟hayālī
immediately (quickly),adverb,a2,,तुरंत / फ़ौरन / तत्काल,turaṁt / fauran / tatkāl
impossible,adjective,a2,,नामुमकिन / असंभव,nāmumakin / asaṁbhav
"impossible (intolerable, unreasonable)",adjective,a2,,नामुमकिन / असहनीय / अनुचित,nāmumakin / asahanīy / anucit
included,adjective,a2,,शामिल / सम्मिलित,śāmil / sammilit
included (contained),adjective,a2,,शामिल / निहित / सम्मिलित,śāmil / nihit / sammilit
including,preposition,a2,,समेत / सहित / को मिलाकर,samēt / sahit / kō milākar
increase,noun,a2,,बढ़ोतरी (f) / वृद्धि (f),baṛhōtarī (f) / vr̥ddhi (f)
incredible (amazing),adjective,a2,,कमाल का / अद्भुत / अविश्वसनीय,kamāl kā / adbhut / aviśvasanīy
incredible (difficult to believe),adjective,a2,,अविश्वसनीय / अकल्पनीय,aviśvasanīy / akalpanīy
independent (self-reliant),adjective,a2,,आत्मनिर्भर / स्वतंत्र,ātmanirbhar / svataṁtr
individual,noun,a2,,व्यक्ति (m) / शख़्स (m),vyakti (m) / śak͟hs (m)
individual (person),noun,a2,,शख़्स (m) / इंसान (m) / व्यक्ति (m),śak͟hs (m) / iṁsān (m) / vyakti (m)
"individual (personal, distinct)",adjective,a2,,निजी / व्यक्तिगत / अलग,nijī / vyaktigat / alag
industry (economic sector),noun,a2,,उद्योग (m) / सनअत (f),udyōg (m) / sanaat (f)
informal (casual),adjective,a2,,बेतकल्लुफ़ / अनौपचारिक,bētakalluf / anaupacārik
informal (unofficial),adjective,a2,,ग़ैर-सरकारी / अनौपचारिक,ġair-sarakārī / anaupacārik
injury,noun,a2,,चोट (f) / ज़ख़्म (m) / क्षति (f),cōṭa (f) / zak͟hm (m) / kṣati (f)
injury (physical or general harm),noun,a2,,नुक़सान (m) / हानि (f) / क्षति (f),nuqasān (m) / hāni (f) / kṣati (f)
insect,noun,a2,,कीड़ा (m) / कीट (m),kīṛā (m) / kīṭa (m)
"insect (formal, biological)",noun,a2,,कीट (m) / कीड़ा (m),kīṭa (m) / kīṛā (m)
inside,preposition,a2,,अंदर / भीतर,aṁdar / bhītar
inside (adverb),adverb,a2,,अंदर / भीतर,aṁdar / bhītar
"inside (location, adverb, preposition)",adjective,a2,,अंदरूनी / भीतरी,aṁdarūnī / bhītarī
"inside (location, position)",noun,a2,,अंदर (m) / भीतर (m),aṁdar (m) / bhītar (m)
inside (preposition),preposition,a2,,के अंदर / के भीतर,kē aṁdar / kē bhītar
instead,adverb,a2,,बजाय / इसके बजाय,bajāy / isakē bajāy
"instruction (order, guidance)",noun,a2,,हिदायत (f) / निर्देश (m) / आदेश (m),hidāyat (f) / nirdēśa (m) / ādēśa (m)
"instruction (teaching, education)",noun,a2,,शिक्षा (f) / तालीम (f) / अनुदेश (m),śikṣā (f) / tālīm (f) / anudēśa (m)
"instructor (vocational skills, trainer)",noun,a2,,प्रशिक्षक (m) / उस्ताद (m) / अनुदेशक (m),praśikṣak (m) / ustād (m) / anudēśak (m)
instrument (musical),noun,a2,,बाजा (m) / वाद्य यंत्र (m) / साज़ (m),bājā (m) / vādy yaṁtr (m) / sāz (m)
"instrument (tool, device)",noun,a2,,औज़ार (m) / उपकरण (m) / यंत्र (m),auzār (m) / upakaraṇa (m) / yaṁtr (m)
intelligent,adjective,a2,,समझदार / अक्लमंद / बुद्धिमान / प्रज्ञावान,samajhadār / aklamaṁd / buddhimān / prajñāvān
international,adjective,a2,,अंतर्राष्ट्रीय / अंतरराष्ट्रीय / वैश्विक,aṁtarrāṣṭrīy / aṁtararāṣṭrīy / vaiśvik
"into (change of state, form)",preposition,a2,,में,mēṁ
introduction (acquaintance),noun,a2,,मुलाक़ात (f) / परिचय (m),mulāqāt (f) / paricay (m)
introduction (preliminary section),noun,a2,,भूमिका (f) / प्रस्तावना (f) / परिचय (m),bhūmikā (f) / prastāvanā (f) / paricay (m)
"invention (fabrication, story)",noun,a2,,मनगढ़ंत कहानी (f) / गढ़ी हुई बात (f) / कपोल-कल्पना (f),managaṛhaṁt kahānī (f) / gaṛhī huī bāt (f) / kapōl-kalpanā (f)
invitation (general request to join),noun,a2,,बुलावा (m) / न्योता (m) / आमंत्रण (m),bulāvā (m) / nyōtā (m) / āmaṁtraṇa (m)
invitation (official document),noun,a2,,निमंत्रण-पत्र (m) / आमंत्रण-पत्र (m),nimaṁtraṇa-patr (m) / āmaṁtraṇa-patr (m)
item (in a list or agenda),noun,a2,,मद (m) / बिंदु (m) / विषय (m),mad (m) / biṁdu (m) / viṣay (m)
item (physical object),noun,a2,,चीज़ (f) / वस्तु (f) / सामग्री (f),cīz (f) / vastu (f) / sāmagrī (f)
itself (emphasis),pronoun,a2,,ख़ुद / स्वयं / आप ही,k͟hud / svayaṁ / āp hī
itself (reflexive object),pronoun,a2,,अपने आप को / ख़ुद को,apanē āp kō / k͟hud kō
jacket (covering),noun,a2,,जैकेट (f) / कोट (m),jaikēṭa (f) / kōṭa (m)
jam (blockage or congestion),noun,a2,,जाम (m) / भीड़ (f) / रुकावट (f),jām (m) / bhīṛa (f) / rukāvaṭa (f)
jam (food preserve),noun,a2,,जैम (m) / मुरब्बा (m),jaim (m) / murabbā (m)
"jam (obstruction, stuck state)",noun,a2,,फँसाव (m) / रुकावट (f) / अड़चन (f),pham̐sāv (m) / rukāvaṭa (f) / aṛacan (f)
jazz (fuss or complexity),noun,a2,,झंझट (m) / बखेड़ा (m) / उलझन (f),jhaṁjhaṭa (m) / bakhēṛā (m) / ulajhan (f)
jazz (music genre),noun,a2,,जैज़ (f),jaiz (f)
jewellery,noun,a2,,ज़ेवर (m) / गहने (m) / आभूषण (m),zēvar (m) / gahanē (m) / ābhūṣaṇa (m)
joke,noun,a2,,मज़ाक़ (m) / चुटकुला (m) / परिहास (m),mazāq (m) / cuṭakulā (m) / parihās (m)
journalist (female),noun,a2,,पत्रकार (f) / महिला पत्रकार (f) / संवाददाता (f),patrakār (f) / mahilā patrakār (f) / saṁvādadātā (f)
"jump (sudden increase, rise)",noun,a2,,उछाल (m) / तेज़ी (f) / वृद्धि (f),uchāl (m) / tēzī (f) / vr̥ddhi (f)
just (only),adjective,a2,,बस / सिर्फ़ / केवल / मात्र,bas / sirf / kēval / mātr
kid (young goat),noun,a2,,मेमना (m) / बकरी का बच्चा (m) / छाग (m),mēmanā (m) / bakarī kā baccā (m) / chāg (m)
king (chess piece),noun,a2,,बादशाह (m) / राजा (m) / शाह (m),bādaśāh (m) / rājā (m) / śāh (m)
knee,noun,a2,,घुटना (m) / जानु (m),ghuṭanā (m) / jānu (m)
knife,noun,a2,,चाकू (m) / छुरी (f) / कटार (f),cākū (m) / churī (f) / kaṭār (f)
"knowledge (general wisdom, learning)",noun,a2,,ज्ञान (m) / इल्म (m) / विद्या (f),jñān (m) / ilm (m) / vidyā (f)
"knowledge (information, data)",noun,a2,,जानकारी (f) / मालूमात (f) / सूचना (f),jānakārī (f) / mālūmāt (f) / sūcanā (f)
laboratory,noun,a2,,लैब (f) / प्रयोगशाला (f),laib (f) / prayōgaśālā (f)
"lady (formal address, Madam)",noun,a2,,महोदया (f) / श्रीमती (f),mahōdayā (f) / śrīmatī (f)
lake,noun,a2,,झील (f) / सरोवर (m) / ताल (m),jhīl (f) / sarōvar (m) / tāl (m)
lamp (traditional oil lamp),noun,a2,,दीया (m) / दीपक (m) / चिराग़ (m),dīyā (m) / dīpak (m) / cirāġa (m)
"land, plot site (for construction)",noun,a2,,ज़मीन (f) / प्लाट (m) / भूखंड (m),zamīn (f) / plāṭa (m) / bhūkhaṁḍa (m)
laptop,noun,a2,,लैपटॉप (m),laipaṭôp (m)
last,noun,a2,,आख़िरी (m) / अंतिम (m),āk͟hirī (m) / aṁtim (m)
last (most recently),adverb,a2,,पिछली बार / हाल ही में / अभी-अभी,pichalī bār / hāl hī mēṁ / abhī-abhī
last (the end),noun,a2,,अंत (m) / आख़िर (m) / समाप्ति (f),aṁt (m) / āk͟hir (m) / samāpti (f)
lastly (in a list),adverb,a2,,अंत में / आख़िर में / अंततः,aṁt mēṁ / āk͟hir mēṁ / aṁtataḥ
"later (adjective, subsequent)",adjective,a2,,बाद का / अगला / परवर्ती,bād kā / agalā / paravartī
"later (adverbial, shortly)",adjective,a2,,आने वाला / बाद का / परवर्ती,ānē vālā / bād kā / paravartī
"later (shortly, adverb)",adverb,a2,,बाद में / थोड़ी देर में / कुछ देर बाद,bād mēṁ / thōṛī dēr mēṁ / kuch dēr bād
"later (subsequent, adjective)",adjective,a2,,बाद का / अगला / परवर्ती,bād kā / agalā / paravartī
laughter,noun,a2,,हँसी (f) / ठहाका (m) / हास्य (m),ham̐sī (f) / ṭhahākā (m) / hāsy (m)
law (scientific or natural principle),noun,a2,,नियम (m) / सिद्धांत (m) / क़ानून (m),niyam (m) / siddhāṁt (m) / qānūn (m)
lawyer (official title),noun,a2,,वकील (m) / अधिवक्ता (m),vakīl (m) / adhivaktā (m)
lazy,adjective,a2,,आलसी / सुस्त / कामचोर,ālasī / sust / kāmacōr
"leader (political, social movement)",noun,a2,,नेता (m) / अगुवा (m) / नायक (m),nētā (m) / aguvā (m) / nāyak (m)
learning (general knowledge),noun,a2,,ज्ञान (m) / इल्म (m) / विद्या (f),jñān (m) / ilm (m) / vidyā (f)
learning (scholarship),noun,a2,,विद्या (f) / विद्वत्ता (f) / पाण्डित्य (m),vidyā (f) / vidvattā (f) / pāṇḍity (m)
"least (at least, minimum)",adverb,a2,,कम से कम / न्यूनतम,kam sē kam / nyūnatam
least (smallest quantity),determiner,a2,,सबसे कम / न्यूनतम,sabasē kam / nyūnatam
"least (the smallest amount, degree)",adverb,a2,,सबसे कम / न्यूनतम,sabasē kam / nyūnatam
lecture (academic talk),noun,a2,,लेक्चर (m) / व्याख्यान (m) / प्रवचन (m),lēkcar (m) / vyākhyān (m) / pravacan (m)
lecture (reprimand),noun,a2,,डाँट (f) / फटकार (f) / उपदेश (m),ḍām̐ṭa (f) / phaṭakār (f) / upadēśa (m)
lemon,noun,a2,,नींबू (m),nīṁbū (m)
less,pronoun,a2,,कम / थोड़ा,kam / thōṛā
