english_word,word_class,tamil_translation,transliteration,verb_transitivity,level
"to finish (a task, completion)",verb,முடி / நிறைவு செய் / பூர்த்தி செய்,muṭi / niṟaivu cey / pūrtti cey,transitive,a1
"to finish (to end, come to an end)",verb,முடி / முடிவடை / நிறைவு பெறு,muṭi / muṭivaṭai / niṟaivu peṟu,intransitive,a1
"to fly (a bird, plane moves through air)",verb,பற,paṟa,intransitive,a1
"to fly (an object, vehicle)",verb,பறக்க விடு / செலுத்து,paṟakka viṭu / celuttu,transitive,a1
"to follow (go after, pursue)",verb,பின்பற்று / தொடர்,piṉpaṟṟu / toṭar,transitive,a1
"to follow (rules, instructions)",verb,பின்பற்று / கடைப்பிடி / மதி,piṉpaṟṟu / kaṭaippiṭi / mati,transitive,a1
to forget,verb,மற,maṟa,transitive,a1
"to form (e.g., a queue, naturally)",verb,உருவாகு / தோன்று,uruvāku / tōṉṟu,intransitive,a1
to form (to create or shape something),verb,உருவாக்கு / அமை,uruvākku / amai,transitive,a1
to form (to develop or arise),verb,உருவாகு / தோன்று,uruvāku / tōṉṟu,intransitive,a1
"to fry (general, deep fry)",verb,பொரி / வறு,pori / vaṟu,transitive,a1
to get (to become),verb,ஆகு,āku,intransitive,a1
"to get (to fetch, to bring)",verb,கொண்டு வா / எடுத்து வா,koṇṭu vā / eṭuttu vā,transitive,a1
"to get (to receive, to acquire)",verb,பெறு / அடை,peṟu / aṭai,transitive,a1
to get (to understand),verb,புரிந்துகொள் / உணர்,purintukoḷ / uṇar,transitive,a1
"to give (or offer, provide, slightly formal)",verb,வழங்கு / கொடு,vaḻaṅku / koṭu,transitive,a1
to go,verb,போ / செல்,pō / cel,intransitive,a1
"to grow (increase in size, stature)",verb,வளரு / பெருகு,vaḷaru / peruku,intransitive,a1
to grow (to cultivate),verb,பயிர் செய் / வளர்ப்பி,payir cey / vaḷarppi,transitive,a1
to guess,verb,ஊகி / யூகி,ūki / yūki,transitive,a1
to guess (estimate quantity),verb,மதிப்பிடு / தோராயமாகக் கணக்கிடு / ஊகி,matippiṭu / tōrāyamākak kaṇakkiṭu / ūki,transitive,a1
to hate,verb,வெறு,veṟu,transitive,a1
to have (a drink),verb,குடி,kuṭi,transitive,a1
"to have (a meal, drink)",verb,சாப்பிடு / உண்,cāppiṭu / uṇ,transitive,a1
to have (possess),verb,வைத்திரு / பெறு,vaittiru / peṟu,,a1
to hear,verb,கேள் / செவிமடு,kēḷ / cevimaṭu,,a1
to help (action),verb,உதவு / துணை செய்,utavu / tuṇai cey,transitive,a1
"to help (be useful, beneficial)",verb,பயனளி / நன்மை செய்,payaṉaḷi / naṉmai cey,intransitive,a1
"to hope (for an event, outcome)",verb,நம்பு / எதிர்நோக்கு,nampu / etirnōkku,transitive,a1
to imagine (to conceive a mental picture),verb,கற்பனை செய் / எண்ணிப்பார்,kaṟpaṉai cey / eṇṇippār,transitive,a1
to imagine (to suppose or guess),verb,கருது / ஊகி,karutu / ūki,transitive,a1
to improve (to get better),verb,மேம்படு / முன்னேறு,mēmpaṭu / muṉṉēṟu,intransitive,a1
to improve (to make better),verb,மேம்படுத்து / முன்னேற்று,mēmpaṭuttu / muṉṉēṟṟu,transitive,a1
"to include (to add to a list, group)",verb,சேர்த்துக்கொள் / சேர்,cērttukkoḷ / cēr,transitive,a1
"to include (to contain, to comprise)",verb,உள்ளடக்கு / கொண்டிரு,uḷḷaṭakku / koṇṭiru,transitive,a1
to interest,verb,ஆர்வம் தூண்டு / கவர்,ārvam tūṇṭu / kavar,transitive,a1
to interview (be interviewed),verb,நேர்காணல் கொடு,nērkāṇal koṭu,intransitive,a1
to interview (conduct),verb,நேர்காணல் செய்,nērkāṇal cey,transitive,a1
"to join (a group, activity)",verb,சேர் / இணை,cēr / iṇai,transitive,a1
to join (connect things),verb,இணை / சேர்,iṇai / cēr,transitive,a1
to keep (to put an object somewhere),verb,வை,vai,transitive,a1
to keep (to retain possession),verb,வைத்துக்கொள் / பாதுகா,vaittukkoḷ / pātukā,transitive,a1
"to know (a fact, information)",verb,தெரிந்துகொள் / அறி,terintukoḷ / aṟi,transitive,a1
"to know (a person, be acquainted with)",verb,தெரிந்துகொள் / அறிந்துகொள்,terintukoḷ / aṟintukoḷ,transitive,a1
to learn,verb,கற்றுக்கொள் / பயில்,kaṟṟukkoḷ / payil,transitive,a1
to leave (something behind),verb,விட்டுவிடு / விட்டுப்போ / கைவிடு,viṭṭuviṭu / viṭṭuppō / kaiviṭu,transitive,a1
"to leave (to exit, depart)",verb,கிளம்பு / புறப்படு / போ,kiḷampu / puṟappaṭu / pō,intransitive,a1
"to let (to permit, allow)",verb,அனுமதி / விடு,aṉumati / viṭu,transitive,a1
"to lie (to rest, be horizontal)",verb,படு / படுத்துக்கொள்,paṭu / paṭuttukkoḷ,intransitive,a1
to lie (to tell an untruth),verb,பொய் சொல் / ஏமாற்று,poy col / ēmāṟṟu,intransitive,a1
to like,verb,விரும்பு,virumpu,transitive,a1
to list,verb,பட்டியலிடு / வரிசைப்படுத்து,paṭṭiyaliṭu / varicaippaṭuttu,transitive,a1
"to listen (to advice, to heed)",verb,கேள் / செவிகொடு,kēḷ / cevikoṭu,transitive,a1
to live (be alive),verb,வாழ் / உயிர் வாழ்,vāḻ / uyir vāḻ,intransitive,a1
to live (exist),verb,இரு / வாழ்,iru / vāḻ,intransitive,a1
to live (have a way of life),verb,வாழ் / வாழ்க்கை நடத்து,vāḻ / vāḻkkai naṭattu,intransitive,a1
to live (reside),verb,வசி / இரு,vaci / iru,intransitive,a1
"to look (to appear, seem)",verb,தோன்று / படு,tōṉṟu / paṭu,intransitive,a1
to look (to search for),verb,தேடு / பார்,tēṭu / pār,transitive,a1
to look at,verb,பார் / நோக்கு,pār / nōkku,transitive,a1
to lose (a game or contest),verb,தோற்றுப்போ / தோல்வியடை,tōṟṟuppō / tōlviyaṭai,transitive,a1
to lose (misplace or suffer deprivation),verb,இழ / தொலை,iḻa / tolai,transitive,a1
"to love (deep affection, familial or romantic)",verb,நேசி / அன்பு செய்,nēci / aṉpu cey,transitive,a1
"to love (to like strongly, to be fond of)",verb,விரும்பு / பிரியப்படு,virumpu / piriyappaṭu,transitive,a1
to make (earn),verb,சம்பாதி / ஈட்டு,campāti / īṭṭu,transitive,a1
to make someone laugh,verb,சிரிக்க வை / சிரிக்கச் செய்,cirikka vai / cirikkac cey,transitive,a1
to match (to be compatible),verb,பொருந்து / ஒத்துப் போ / இணங்கு,poruntu / ottup pō / iṇaṅku,intransitive,a1
to match (to pair items),verb,பொருத்து / இணை / சேர்,poruttu / iṇai / cēr,transitive,a1
to mean (to convey sense or definition),verb,அர்த்தம் சொல் / பொருள் சொல் / குறி,arttam col / poruḷ col / kuṟi,transitive,a1
to mean (to intend or plan),verb,கருது / எண்ணு / நோக்கம் கொள்,karutu / eṇṇu / nōkkam koḷ,intransitive,a1
to meet (to gather),verb,சந்தி / கூடு / ஒன்று சேர்,canti / kūṭu / oṉṟu cēr,intransitive,a1
to miss (a scheduled event or transportation),verb,தவற விடு / இழ,tavaṟa viṭu / iḻa,transitive,a1
"to miss (longing for someone, something)",verb,ஏங்கு / நினை / மனம் உருகு,ēṅku / niṉai / maṉam uruku,transitive,a1
to move (change residence),verb,குடிமாறு / இடம் மாறு / குடியேறு,kuṭimāṟu / iṭam māṟu / kuṭiyēṟu,intransitive,a1
to move (house),verb,வீடு மாறு / குடிமாறு,vīṭu māṟu / kuṭimāṟu,intransitive,a1
to name (to identify or specify),verb,பெயரிடு / குறிப்பிடு / அடையாளம் காட்டு,peyariṭu / kuṟippiṭu / aṭaiyāḷam kāṭṭu,transitive,a1
"to need (necessity, formal requirement)",verb,தேவைப்படு / அவசியப்படு,tēvaippaṭu / avaciyappaṭu,intransitive,a1
"to need (simple requirement, want)",verb,வேண்டு / தேவை,vēṇṭu / tēvai,transitive,a1
to open,verb,திற / அவிழ்த்து விடு,tiṟa / aviḻttu viṭu,transitive,a1
"to open (a business, an event)",verb,தொடங்கு / ஆரம்பி / துவக்கு,toṭaṅku / ārampi / tuvakku,transitive,a1
"to order (food, goods)",verb,ஆர்டர் செய் / வாங்கு / பதியிடு,ārṭar cey / vāṅku / patiyiṭu,transitive,a1
to order (to command),verb,ஆணை இடு / கட்டளையிடு / பணி,āṇai iṭu / kaṭṭaḷaiyiṭu / paṇi,transitive,a1
to own,adjective,சொந்தமாக இரு / உடைமையாயிரு / கொண்டிரு,contamāka iru / uṭaimaiyāyiru / koṇṭiru,transitive,a1
"to paint (a wall, surface)",verb,வண்ணம் பூசு / பெயிண்ட் அடி,vaṇṇam pūcu / peyiṇṭ aṭi,transitive,a1
"to paint (an artwork, picture)",verb,ஓவியம் வரை / சித்திரம் தீட்டு,ōviyam varai / cittiram tīṭṭu,transitive,a1
to park,verb,நிறுத்து / பார்க் செய்,niṟuttu / pārk cey,transitive,a1
to pay,verb,செலுத்து / கொடு / பணம் கொடு,celuttu / koṭu / paṇam koṭu,,a1
to pay (general),verb,செலுத்து / கொடு / பணம் கொடு,celuttu / koṭu / paṇam koṭu,transitive,a1
to pay (make formal payment),verb,செலுத்து / பணம் கட்டு / ஈடு செய்,celuttu / paṇam kaṭṭu / īṭu cey,transitive,a1
to plan,verb,திட்டமிடு / ஏற்பாடு செய் / வகு,tiṭṭamiṭu / ēṟpāṭu cey / vaku,transitive,a1
"to play (an instrument, music)",verb,வாசி / இசை,vāci / icai,transitive,a1
to post (mail),verb,அனுப்பு / தபால் செய்,aṉuppu / tapāl cey,transitive,a1
to post (online content),verb,பதிவிடு / வெளியிடு,pativiṭu / veḷiyiṭu,transitive,a1
to prefer,verb,விரும்பு / தேர்ந்தெடு,virumpu / tērnteṭu,transitive,a1
"to prepare (food, a meal)",verb,சமை / தயாரி,camai / tayāri,transitive,a1
to prepare (to get ready),verb,ஆயத்தப்படுத்து / தயார் செய்,āyattappaṭuttu / tayār cey,transitive,a1
to proceed,verb,தொடர் / முன்னேறு,toṭar / muṉṉēṟu,intransitive,a1
"to put (to place, keep)",verb,வை / இடு,vai / iṭu,transitive,a1
to put (to wear clothes),verb,அணி / போடு,aṇi / pōṭu,transitive,a1
to rain,verb,மழை பெய்,maḻai pey,intransitive,a1
to read,verb,படி / வாசி,paṭi / vāci,,a1
"to relax (to calm down, loosen tension)",verb,அமைதியடை / தளர்வடை,amaitiyaṭai / taḷarvaṭai,intransitive,a1
"to relax (to take a rest, leisure)",verb,ஓய்வெடு / இளைப்பாறு,ōyveṭu / iḷaippāṟu,intransitive,a1
to remind,verb,நினைவூட்டு / ஞாபகப்படுத்து,niṉaivūṭṭu / ñāpakappaṭuttu,transitive,a1
"to respect (person, feelings, honor)",verb,மதி / மரியாதை செய்,mati / mariyātai cey,transitive,a1
to return (to come back),verb,திரும்பு / திரும்பி வா,tirumpu / tirumpi vā,intransitive,a1
to return (to give back an object),verb,திருப்பித் தா / திரும்பக் கொடு,tiruppit tā / tirumpak koṭu,transitive,a1
to ride,verb,ஓட்டு / சவாரி செய்,ōṭṭu / cavāri cey,transitive,a1
"to run (liquid, flow)",verb,ஓடு / பாய்,ōṭu / pāy,intransitive,a1
to see (perceive),verb,பார் / காண்,pār / kāṇ,intransitive,a1
to sell,verb,விற்பனை செய் / விற்றுவிடு,viṟpaṉai cey / viṟṟuviṭu,transitive,a1
to send,verb,அனுப்பு / போக்கு,aṉuppu / pōkku,transitive,a1
"to share (information, opinion)",verb,பகிர் / தெரிவி,pakir / terivi,transitive,a1
"to share (material possessions, food)",verb,பகிர்ந்தளி / பங்கிடு,pakirntaḷi / paṅkiṭu,transitive,a1
to shop,verb,வாங்கு / கடைக்குச் செல்,vāṅku / kaṭaikkuc cel,transitive,a1
to show,verb,காட்டு / காண்பி / வெளிப்படுத்து,kāṭṭu / kāṇpi / veḷippaṭuttu,transitive,a1
to sing,verb,பாடு,pāṭu,intransitive,a1
to sit,verb,உட்கார் / இரு,uṭkār / iru,intransitive,a1
to sleep (respectful),verb,துயில் / கண்வளர்,tuyil / kaṇvaḷar,intransitive,a1
"to sleep (standard, familiar)",verb,தூங்கு,tūṅku,intransitive,a1
to snow,verb,பனி பொழி / பனி விழு,paṉi poḻi / paṉi viḻu,intransitive,a1
to sound (make a noise),verb,சத்தம் போடு / ஒலி எழுப்பு,cattam pōṭu / oli eḻuppu,intransitive,a1
"to sound (to seem, to appear)",verb,தோன்று / படு,tōṉṟu / paṭu,intransitive,a1
to speak,verb,பேசு / சொல்,pēcu / col,intransitive,a1
to spell,verb,எழுத்துக்கூட்டு,eḻuttukkūṭṭu,transitive,a1
to spell (letters),verb,எழுத்துக்கூட்டு,eḻuttukkūṭṭu,transitive,a1
to spend (money),verb,செலவு செய் / செலவிடு,celavu cey / celaviṭu,transitive,a1
to spend (time),verb,செலவிடு / கழி,celaviṭu / kaḻi,transitive,a1
"to start (to be startled, frightened)",verb,திடுக்கிடு / பயப்படு,tiṭukkiṭu / payappaṭu,,a1
"to start (to begin, process starts)",verb,தொடங்கு / ஆரம்பி,toṭaṅku / ārampi,intransitive,a1
to start (to initiate an action),verb,தொடங்கு / ஆரம்பி / துவங்கு,toṭaṅku / ārampi / tuvaṅku,transitive,a1
"to stay (lodge, reside)",verb,தங்கு / வசி,taṅku / vaci,intransitive,a1
to stay (remain in place),verb,இரு / நில்,iru / nil,intransitive,a1
to stop (moving),verb,நில் / ஓய்,nil / ōy,intransitive,a1
to stop (something),verb,நிறுத்து / தடை செய்,niṟuttu / taṭai cey,transitive,a1
to study (academic),verb,படி / கல்வி பயில்,paṭi / kalvi payil,transitive,a1
to swim,verb,நீந்து,nīntu,intransitive,a1
to switch off,verb,அணை / நிறுத்து,aṇai / niṟuttu,transitive,a1
to switch on,verb,போடு / இயக்கு,pōṭu / iyakku,transitive,a1
"to take (medicine, ingest)",verb,சாப்பிடு / உட்கொள்,cāppiṭu / uṭkoḷ,transitive,a1
"to take (physical object, receive)",verb,எடு / வாங்கு / பெறு,eṭu / vāṅku / peṟu,transitive,a1
"to take (transport, carry someone or something)",verb,கொண்டு போ / அழைத்துச் செல் / ஏற்றிச் செல்,koṇṭu pō / aḻaittuc cel / ēṟṟic cel,transitive,a1
to talk,verb,பேசு,pēcu,intransitive,a1
to talk (to converse),verb,பேசு / உரையாடு,pēcu / uraiyāṭu,intransitive,a1
to teach,verb,கற்றுக்கொடு / கற்பி,kaṟṟukkoṭu / kaṟpi,transitive,a1
to telephone,verb,தொலைபேசு / போன் செய்,tolaipēcu / pōṉ cey,transitive,a1
to tell (to distinguish or know apart),verb,வேறுபடுத்து / அறிந்துகொள்,vēṟupaṭuttu / aṟintukoḷ,transitive,a1
to test (examine),verb,சோதனை செய் / பரிசோதி,cōtaṉai cey / paricōti,transitive,a1
to test (try out),verb,முயற்சி செய் / சோதித்துப் பார்,muyaṟci cey / cōtittup pār,transitive,a1
to thank (saying thanks),verb,நன்றி சொல் / நன்றி தெரிவி,naṉṟi col / naṉṟi terivi,transitive,a1
"to think (to feel, have an opinion)",verb,நினை / கருது,niṉai / karutu,intransitive,a1
"to travel (to tour, roam)",verb,பயணம் செய் / சுற்றுப்பயணம் செய் / அலை,payaṇam cey / cuṟṟuppayaṇam cey / alai,intransitive,a1
"to try (clothing, on)",verb,போட்டுப் பார் / அணிந்து பார்,pōṭṭup pār / aṇintu pār,transitive,a1
"to try (food, taste)",verb,சுவைத்துப் பார் / சாப்பிட்டுப் பார்,cuvaittup pār / cāppiṭṭup pār,transitive,a1
"to turn (an object, key)",verb,திருப்பு / சுழற்று,tiruppu / cuḻaṟṟu,transitive,a1
"to turn (direction, self)",verb,திரும்பு / வளை,tirumpu / vaḷai,intransitive,a1
to understand (to realize),verb,புரிந்துகொள் / உணர்,purintukoḷ / uṇar,intransitive,a1
to use,verb,பயன்படுத்து / உபயோகி,payaṉpaṭuttu / upayōki,transitive,a1
to visit (tourist location or travel),verb,சென்று பார் / சுற்றிப் பார் / விஜயம் செய்,ceṉṟu pār / cuṟṟip pār / vijayam cey,intransitive,a1
to wait,verb,காத்திரு / பொறுத்திரு,kāttiru / poṟuttiru,intransitive,a1
to wake (oneself up),verb,விழி / எழுந்திரு,viḻi / eḻuntiru,intransitive,a1
to wake (someone else up),verb,எழுப்பு / விழிப்பூட்டு,eḻuppu / viḻippūṭṭu,transitive,a1
to want (to desire or wish),verb,விரும்பு / வேண்டு,virumpu / vēṇṭu,transitive,a1
"to wash (objects, clothes, hands)",verb,கழுவு / துவை,kaḻuvu / tuvai,transitive,a1
"to wash (the whole body, to bathe)",verb,குளி / நீராடு,kuḷi / nīrāṭu,transitive,a1
"to watch (to guard, supervise)",verb,கவனி / காவல் கா / பாதுகா,kavaṉi / kāval kā / pātukā,transitive,a1
"to watch (viewing media, performance)",verb,பார் / கவனி,pār / kavaṉi,transitive,a1
"to wear (clothes, jewelry)",verb,அணி / போடு,aṇi / pōṭu,transitive,a1
"to wear (footwear, shoes)",verb,போடு / அணி,pōṭu / aṇi,transitive,a1
to welcome,verb,வரவேற்றுக்கொள் / வரவேற்பு கொடு,varavēṟṟukkoḷ / varavēṟpu koṭu,transitive,a1
"to win (a competition, game)",verb,வெல் / வெற்றி பெறு,vel / veṟṟi peṟu,transitive,a1
to win (support or trust),verb,பெறு / சம்பாதி,peṟu / campāti,transitive,a1
"to wipe clean (surface, spill)",verb,துடை / சுத்தம் செய்,tuṭai / cuttam cey,transitive,a1
to work,verb,வேலை செய் / இயங்கு,vēlai cey / iyaṅku,intransitive,a1
to work (earn livelihood),verb,வேலை செய் / உழை,vēlai cey / uḻai,intransitive,a1
to write,verb,எழுது,eḻutu,transitive,a1
today,noun,இன்று,iṉṟu,,a1
today (casual spoken),adverb,இன்னைக்கு,iṉṉaikku,,a1
today (formal/standard),noun,இன்று,iṉṟu,,a1
together,adverb,சேர்ந்து / ஒன்றாக,cērntu / oṉṟāka,,a1
"toilet (restroom, bathroom)",noun,கழிப்பறை / டாய்லெட்,kaḻippaṟai / ṭāyleṭ,,a1
"toilet (restroom, bathroom, polite)",noun,கழிப்பறை / குளியலறை,kaḻippaṟai / kuḷiyalaṟai,,a1
tomato,noun,தக்காளி,takkāḷi,,a1
tomorrow,noun,நாளை,nāḷai,,a1
tonight,noun,இன்று இரவு / இன்றிரவு,iṉṟu iravu / iṉṟiravu,,a1
"too (also, in addition)",adverb,-உம் / மேலும்,-um / mēlum,,a1
too (excessively),adverb,மிகவும் / அதிகமாய்,mikavum / atikamāy,,a1
"tooth (formal, anatomical)",noun,பல்,pal,,a1
tooth (general),noun,பல்,pal,,a1
topic,noun,தலைப்பு / பொருள் / விஷயம்,talaippu / poruḷ / viṣayam,,a1
tourist,noun,சுற்றுலாப் பயணி / உல்லாசப் பயணி,cuṟṟulāp payaṇi / ullācap payaṇi,,a1
town (municipality),noun,நகராட்சி / நகரம் / பட்டணம்,nakarāṭci / nakaram / paṭṭaṇam,,a1
"town (small, or one's hometown)",noun,ஊர் / சிறுநகரம்,ūr / ciṟunakaram,,a1
train,noun,ரயில் / தொடர்வண்டி,rayil / toṭarvaṇṭi,,a1
travel,noun,பயணம் / பிரயாணம்,payaṇam / pirayāṇam,,a1
tree,noun,மரம்,maram,,a1
trip (journey),noun,பயணம் / சுற்றுப்பயணம் / பிரயாணம்,payaṇam / cuṟṟuppayaṇam / pirayāṇam,,a1
trip (stumble),noun,தடுமாற்றம்,taṭumāṟṟam,,a1
"true (genuine, real)",adjective,உண்மையான / மெய்யான,uṇmaiyāṉa / meyyāṉa,,a1
tuesday,noun,செவ்வாய்க்கிழமை,cevvāykkiḻamai,,a1
turn (bend in road),noun,வளைவு / திருப்பம்,vaḷaivu / tiruppam,,a1
turn (sequence in order),noun,முறை / வாய்ப்பு,muṟai / vāyppu,,a1
twelve,number,பன்னிரண்டு,paṉṉiraṇṭu,,a1
twenty,number,இருபது,irupatu,,a1
twice,adverb,இருமுறை / இரண்டு முறை,irumuṟai / iraṇṭu muṟai,,a1
two,number,இரண்டு / இரு,iraṇṭu / iru,,a1
type,noun,தட்டச்சு,taṭṭaccu,,a1
"type (kind, sort)",noun,வகை / ரகம் / இனம்,vakai / rakam / iṉam,,a1
umbrella,noun,குடை,kuṭai,,a1
uncle (father's older brother),noun,பெரியப்பா,periyappā,,a1
uncle (father's younger brother),noun,சித்தப்பா,cittappā,,a1
uncle (mother's brother),noun,மாமா,māmā,,a1
"under (less than, quantity)",adverb,குறைவாக / கீழ்,kuṟaivāka / kīḻ,,a1
"under (location, underneath)",adverb,கீழ் / அடியில்,kīḻ / aṭiyil,,a1
university,noun,பல்கலைக்கழகம்,palkalaikkaḻakam,,a1
unripe fruit (noun),adjective,காய் / பிஞ்சு,kāy / piñcu,,a1
until,preposition,வரை / வரையில்,varai / varaiyil,,a1
up (awake),adverb,விழித்து / விழித்த நிலையில்,viḻittu / viḻitta nilaiyil,,a1
"up (awake, active)",preposition,விழித்த நிலையில் / சுறுசுறுப்பாக,viḻitta nilaiyil / cuṟucuṟuppāka,,a1
up (direction),adverb,மேலே / மேல்நோக்கி,mēlē / mēlnōkki,,a1
"up (direction, position)",preposition,மேல் / மேலே,mēl / mēlē,,a1
"up (finished, completed)",preposition,முடிவுற்ற / நிறைவுற்ற,muṭivuṟṟa / niṟaivuṟṟa,,a1
"upstairs (at the upper floor, position)",adverb,மாடியில் / மேலே,māṭiyil / mēlē,,a1
"upstairs (moving to the upper floor, direction)",adverb,மாடிக்கு / மேலே,māṭikku / mēlē,,a1
"us (exclusive, accusative)",pronoun,எங்களை,eṅkaḷai,,a1
"us (exclusive, dative)",pronoun,எங்களுக்கு,eṅkaḷukku,,a1
"us (exclusive, I and others but not you)",pronoun,நாங்கள்,nāṅkaḷ,,a1
"us (inclusive, accusative)",pronoun,நம்மை,nammai,,a1
"us (inclusive, dative)",pronoun,நமக்கு,namakku,,a1
"us (inclusive, you and I)",pronoun,நாம்,nām,,a1
useful,adjective,பயனுள்ள / உபயோகமான,payaṉuḷḷa / upayōkamāṉa,,a1
usually,adverb,பொதுவாக / வழக்கமாக,potuvāka / vaḻakkamāka,,a1
"vacation (a trip, tour)",noun,சுற்றுலா / பயணம்,cuṟṟulā / payaṇam,,a1
"vacation (time off, leave)",noun,விடுமுறை / ஓய்வு,viṭumuṟai / ōyvu,,a1
vegetable (general),noun,காய்கறி / காய்,kāykaṟi / kāy,,a1
vegetable (leafy greens),noun,கீரை,kīrai,,a1
"very (emphatic, formal)",adverb,மிகவும் / மிக / அத்தியந்த,mikavum / mika / attiyanta,,a1
"very (high intensity, formal)",adverb,மிகவும் / மிக / பரம,mikavum / mika / parama,,a1
very (standard intensifier),adverb,ரொம்ப / மிகவும் / மிக,rompa / mikavum / mika,,a1
video,noun,காணொளி / வீடியோ,kāṇoḷi / vīṭiyō,,a1
"village (formal, official)",noun,கிராமம் / சிற்றூர்,kirāmam / ciṟṟūr,,a1
"village (hometown, place)",noun,ஊர் / கிராமம்,ūr / kirāmam,,a1
visit,noun,வருகை / விஜயம் / சந்திப்பு,varukai / vijayam / cantippu,,a1
visitor (guest),noun,விருந்தினர் / விருந்தாளி,viruntiṉar / viruntāḷi,,a1
visitor (official or tourist),noun,பார்வையாளர் / சுற்றுலாப் பயணி / வருகையாளர்,pārvaiyāḷar / cuṟṟulāp payaṇi / varukaiyāḷar,,a1
waiter,noun,பணியாளர் / பரிமாறுபவர் / வெயிட்டர்,paṇiyāḷar / parimāṟupavar / veyiṭṭar,,a1
walk,noun,நடை / நடைப்பயணம்,naṭai / naṭaippayaṇam,,a1
wall,noun,சுவர் / மதில்,cuvar / matil,,a1
"warm (friendly, emotional)",adjective,அன்பான / பாசமான / இதமான,aṉpāṉa / pācamāṉa / itamāṉa,,a1
"warm (temperature, moderately hot)",adjective,கதகதப்பான / வெதுவெதுப்பான / மிதமான சூடான,katakatappāṉa / vetuvetuppāṉa / mitamāṉa cūṭāṉa,,a1
watch,noun,கண்காணிப்பு / காவல்,kaṇkāṇippu / kāval,,a1
watch (wristwatch),noun,கைக்கடிகாரம் / வாட்ச்,kaikkaṭikāram / vāṭc,,a1
water (common),noun,தண்ணீர்,taṇṇīr,,a1
"water (formal, literary)",noun,நீர் / புனல்,nīr / puṉal,,a1
"way (manner, method)",noun,முறை / வழி / பாங்கு,muṟai / vaḻi / pāṅku,,a1
"way (route, direction)",noun,வழி / பாதை / மார்க்கம்,vaḻi / pātai / mārkkam,,a1
we,pronoun,நாம் / நாங்கள்,nām / nāṅkaḷ,,a1
weather,noun,வானிலை / காலநிலை,vāṉilai / kālanilai,,a1
website (formal),noun,இணையதளம் / வலைத்தளம்,iṇaiyataḷam / valaittaḷam,,a1
wednesday,noun,புதன் கிழமை,putaṉ kiḻamai,,a1
week,noun,வாரம்,vāram,,a1
weekend,noun,வார இறுதி / வீக்கெண்ட்,vāra iṟuti / vīkkeṇṭ,,a1
welcome (greeting),exclamation,நல்வரவு / வருக,nalvaravu / varuka,,a1
"welcome (greeting, as in 'a welcome guest')",adjective,வரவேற்கத்தக்க / விரும்பத்தக்க,varavēṟkattakka / virumpattakka,,a1
welcome (response to thank you),adjective,பரவாயில்லை / மகிழ்ச்சி,paravāyillai / makiḻcci,,a1
welcome! (greeting),exclamation,வருக! / நல்வரவு!,varuka! / nalvaravu!,,a1
well (as a filler),exclamation,சரி...,cari...,,a1
well (as conversational filler),adverb,சரி,cari,,a1
well (in a competent manner),adjective,நன்றாக / சிறப்பாக / நன்கு,naṉṟāka / ciṟappāka / naṉku,,a1
well (indicating realization or resignation),exclamation,சரி / அப்படியென்றால்,cari / appaṭiyeṉṟāl,,a1
well! (as a filler),exclamation,சரி...,cari...,,a1
well! (indicating realization or resignation),exclamation,சரி / அப்படியென்றால்,cari / appaṭiyeṉṟāl,,a1
west,noun,மேற்கு,mēṟku,,a1
west (direction),adjective,மேற்கு,mēṟku,,a1
west (noun),noun,மேற்கு,mēṟku,,a1
"west (noun, direction)",adjective,மேற்கு,mēṟku,,a1
west (to the west),adverb,மேற்கே,mēṟkē,,a1
what,pronoun,என்ன?,eṉṉa?,,a1
"what (determiner, e.g., 'What book?')",determiner,என்ன,eṉṉa,,a1
"what (pronoun, e.g., 'What is this?')",pronoun,என்ன?,eṉṉa?,,a1
what (used before a noun),determiner,என்ன,eṉṉa,,a1
when (connecting time),adverb,போது / பொழுது,pōtu / poḻutu,,a1
"when (connecting time, e.g., 'When I went...')",adverb,போது / பொழுது,pōtu / poḻutu,,a1
when (temporal conjunction),pronoun,போது / பொழுது,pōtu / poḻutu,,a1
when? (interrogative adverb),conjunction,எப்போது? / எப்பொழுது?,eppōtu? / eppoḻutu?,,a1
when? (interrogative),conjunction,எப்போது? / எப்பொழுது?,eppōtu? / eppoḻutu?,,a1
where (from),adverb,எங்கிருந்து?,eṅkiruntu?,,a1
where (question word),conjunction,எங்கே? / எங்கு?,eṅkē? / eṅku?,,a1
where (to),adverb,எங்கே? / எங்கு?,eṅkē? / eṅku?,,a1
"where (to, direction)",adverb,எங்கே? / எங்கு?,eṅkē? / eṅku?,,a1
where? (location),conjunction,எங்கே / எங்கு,eṅkē / eṅku,,a1
"which (adjective, determiner)",pronoun,எந்த,enta,,a1
which (adjective/determiner),pronoun,எந்த,enta,,a1
which (determiner),determiner,எந்த,enta,,a1
"which (determiner, e.g., 'Which book?')",determiner,எந்த,enta,,a1
which (plural pronoun),pronoun,எவை,evai,,a1
which (pronoun),determiner,எது,etu,,a1
"which (pronoun, singular)",determiner,எது,etu,,a1
white,adjective,வெள்ளை,veḷḷai,,a1
white (adjective),noun,வெண்மை / வெள்ளை,veṇmai / veḷḷai,,a1
who (to whom),pronoun,யாருக்கு,yārukku,,a1
who (whose),pronoun,யாருடைய,yāruṭaiya,,a1
why,adverb,ஏன் / எதற்கு,ēṉ / etaṟku,,a1
