id,english_word,word_class,level,verb_transitivity,hindi_translation,urdu_translation,hindi_transliteration,urdu_transliteration
2389,penny,noun,a2,nan,पैसा (m) / सिक्का (m),पैसा (m) / सिक्का (m),paisā (m) / sikkā (m),paisā (m) / sikkā (m)
2390,"per (according to, as dictated)",preposition,a2,nan,के अनुसार / के मुताबिक़ / के हिसाब से,के मुताबिक़ / के अनुसार / के हिसाब से,kē anusār / kē mutābiq / kē hisāb sē,kē mutābiq / kē anusār / kē hisāb sē
2391,"per (rate, distribution)",preposition,a2,nan,प्रति / हर,फ़ी / प्रति / हर,prati / har,fī / prati / har
2392,per cent,noun,a2,nan,फ़ीसदी (f) / प्रतिशत (m),फ़ीसदी (f) / प्रतिशत (m),fīsadī (f) / pratiśat (m),fīsadī (f) / pratiśat (m)
2393,perhaps,adverb,a2,nan,शायद / हो सकता है / संभवतः,शायद / मुमकिन है / ग़ालिबन,śāyad / hō sakatā hai / saṁbhavataḥ,śāyad / mumakin hai / ġāliban
2394,"permission (official document, license)",noun,a2,nan,लाइसेंस (m) / परमिट (m) / अनुमति पत्र (m),लाइसेंस (m) / परमिट (m) / इजाज़तनामा (m),lāisēṁs (m) / paramiṭa (m) / anumati patr (m),lāisēṁs (m) / paramiṭa (m) / ijāzatanāmā (m)
2395,"person (neutral, polite)",noun,a2,nan,आदमी (m) / व्यक्ति (m) / जन (m),आदमी (m) / शख़्स (m) / फ़र्द (m),ādamī (m) / vyakti (m) / jan (m),ādamī (m) / śak͟hs (m) / fard (m)
2396,personality (famous person),noun,a2,nan,शख़्सियत (f) / हस्ती (f) / प्रसिद्ध व्यक्ति (m),शख़्सियत (f) / हस्ती (f) / अज़ीम शख़्सियत (f),śak͟hsiyat (f) / hastī (f) / prasiddh vyakti (m),śak͟hsiyat (f) / hastī (f) / azīm śak͟hsiyat (f)
2397,personality (general),noun,a2,nan,व्यक्तित्व (m) / शख़्सियत (f) / स्वभाव (m),शख़्सियत (f) / व्यक्तित्व (m) / मिज़ाज (m),vyaktitv (m) / śak͟hsiyat (f) / svabhāv (m),śak͟hsiyat (f) / vyaktitv (m) / mizāj (m)
2398,pet (animal companion),noun,a2,nan,पालतू जानवर (m) / पालतू पशु (m),पालतू जानवर (m) / पालतू हैवान (m),pālatū jānavar (m) / pālatū paśu (m),pālatū jānavar (m) / pālatū haivān (m)
2399,petrol,noun,a2,nan,पेट्रोल (m) / ईंधन (m),पेट्रोल (m) / ईंधन (m),pēṭrōl (m) / īṁdhan (m),pēṭrōl (m) / īṁdhan (m)
2400,"physical (relating to material reality, matter)",adjective,a2,nan,भौतिक / सांसारिक,माद्दी / भौतिक,bhautik / sāṁsārik,māddī / bhautik
2401,physical (relating to the body),adjective,a2,nan,शारीरिक / जिस्मानी,जिस्मानी / शारीरिक,śārīrik / jismānī,jismānī / śārīrik
2402,physics,noun,a2,nan,भौतिकी (f) / फ़िज़िक्स (f),फ़िज़िक्स (f) / तबईयात (f),bhautikī (f) / fiziks (f),fiziks (f) / tabaīyāt (f)
2403,piece (artwork or music),noun,a2,nan,रचना (f) / कृति (f),रचना (f) / कृति (f),racanā (f) / kr̥ti (f),racanā (f) / kr̥ti (f)
2404,piece (land),noun,a2,nan,टुकड़ा (m) / भूखंड (m),टुकड़ा (m) / क़ता (m) / भूखंड (m),ṭukaṛā (m) / bhūkhaṁḍa (m),ṭukaṛā (m) / qatā (m) / bhūkhaṁḍa (m)
2405,pilot,noun,a2,nan,पायलट (m) / विमान चालक (m),पायलट (m) / विमान चालक (m),pāyalaṭa (m) / vimān cālak (m),pāyalaṭa (m) / vimān cālak (m)
2406,pitchfork (large farming tool),noun,a2,nan,घास का काँटा (m) / तिफला (m),घास का काँटा (m) / तिफला (m),ghās kā kām̐ṭā (m) / tiphalā (m),ghās kā kām̐ṭā (m) / tiphalā (m)
2407,plane (flat surface),noun,a2,nan,समतल (m) / सतह (f),समतल (m) / सतह (f),samatal (m) / satah (f),samatal (m) / satah (f)
2408,planet,noun,a2,nan,ग्रह (m) / सैयारा (m),सैयारा (m) / ग्रह (m),grah (m) / saiyārā (m),saiyārā (m) / grah (m)
2409,"plastic (credit, debit card)",noun,a2,nan,प्लास्टिक कार्ड (m) / कार्ड (m),प्लास्टिक कार्ड (m) / कार्ड (m),plāsṭik kārḍa (m) / kārḍa (m),plāsṭik kārḍa (m) / kārḍa (m)
2410,plastic (the material),adjective,a2,nan,प्लास्टिक / प्लास्टिक का,प्लास्टिक / प्लास्टिक का,plāsṭik / plāsṭik kā,plāsṭik / plāsṭik kā
2411,plate (dish),noun,a2,nan,प्लेट (f) / थाली (f) / तश्तरी (f),प्लेट (f) / थाली (f) / तश्तरी (f),plēṭa (f) / thālī (f) / taśtarī (f),plēṭa (f) / thālī (f) / taśtarī (f)
2412,plate (flat sheet),noun,a2,nan,प्लेट (f) / पत्ती (f) / चादर (f) / पट्टिका (f),प्लेट (f) / पत्ती (f) / चादर (f) / तख़्ती (f),plēṭa (f) / pattī (f) / cādar (f) / paṭṭikā (f),plēṭa (f) / pattī (f) / cādar (f) / tak͟htī (f)
2413,platform (railway station),noun,a2,nan,प्लेटफ़ॉर्म (m),प्लेटफ़ॉर्म (m),plēṭafôrm (m),plēṭafôrm (m)
2414,"platform (stage, dais)",noun,a2,nan,मंच (m) / चबूतरा (m) / वेदिका (f),मंच (m) / चबूतरा (m) / स्टेज (m),maṁc (m) / cabūtarā (m) / vēdikā (f),maṁc (m) / cabūtarā (m) / sṭēj (m)
2415,pleased (in formal greetings),adjective,a2,nan,प्रसन्न / ख़ुश / हर्षित,ख़ुश / मसरूर / शाद,prasann / k͟huśa / harṣit,k͟huśa / masarūr / śād
2416,"police (official term for officer, force)",noun,a2,nan,पुलिस (f) / पुलिसकर्मी (m) / आरक्षक (m),पुलिस (f) / पुलिसकर्मी (m) / सिपाही (m),pulis (f) / pulisakarmī (m) / ārakṣak (m),pulis (f) / pulisakarmī (m) / sipāhī (m)
2417,"police force, department",noun,a2,nan,पुलिस विभाग (m) / पुलिस बल (m) / आरक्षी विभाग (m),पुलिस विभाग (m) / पुलिस फ़ोर्स (f) / महकमा-ए-पुलिस (m),pulis vibhāg (m) / pulis bal (m) / ārakṣī vibhāg (m),pulis vibhāg (m) / pulis fōrs (f) / mahakamā-ē-pulis (m)
2418,polite (courteous),adjective,a2,nan,विनम्र / सभ्य / शिष्ट,शाइस्ता / बा-अदब / मुहज़्ज़ब,vinamr / sabhy / śiṣṭa,śāistā / bā-adab / muhazzab
2419,pollution,noun,a2,nan,प्रदूषण (m) / गंदगी (f),आलूदगी (f) / गंदगी (f),pradūṣaṇa (m) / gaṁdagī (f),ālūdagī (f) / gaṁdagī (f)
2420,pop,adjective,a2,nan,लोकप्रिय / प्रचलित,मक़बूल / राइज,lōkapriy / pracalit,maqabūl / rāij
2421,pop (music genre),noun,a2,nan,पॉप संगीत (m) / लोकप्रिय संगीत (m),पॉप संगीत (m) / मक़बूल संगीत (m),pôp saṁgīt (m) / lōkapriy saṁgīt (m),pôp saṁgīt (m) / maqabūl saṁgīt (m)
2422,pop (related to pop culture/music),adjective,a2,nan,पॉप / लोकप्रिय / प्रचलित,पॉप / मक़बूल / राइज,pôp / lōkapriy / pracalit,pôp / maqabūl / rāij
2423,"pop (soda, fizzy drink)",noun,a2,nan,सोडा (m) / फ़िज़ी ड्रिंक (f) / शीतल पेय (m),सोडा (m) / फ़िज़ी ड्रिंक (f) / गैस वाला शरबत (m),sōḍā (m) / fizī ḍriṁk (f) / śītal pēy (m),sōḍā (m) / fizī ḍriṁk (f) / gais vālā śarabat (m)
2424,pop (sudden sharp sound),noun,a2,nan,धमाका (m) / पटपटाहट (f) / चटक (f),धमाका (m) / पटपटाहट (f) / चटक (f),dhamākā (m) / paṭapaṭāhaṭa (f) / caṭak (f),dhamākā (m) / paṭapaṭāhaṭa (f) / caṭak (f)
2425,population,noun,a2,nan,आबादी (f) / जनसंख्या (f),आबादी (f) / नफ़ूस (m),ābādī (f) / janasaṁkhyā (f),ābādī (f) / nafūs (m)
2426,"position (job, employment)",noun,a2,nan,पद (m) / ओहदा (m) / नौकरी (f),ओहदा (m) / मन्सब (m) / मुलाज़मत (f),pad (m) / ōhadā (m) / naukarī (f),ōhadā (m) / mansab (m) / mulāzamat (f)
2427,"position (location, place)",noun,a2,nan,जगह (f) / स्थान (m) / स्थिति (f),जगह (f) / मुक़ाम (m) / हैसियत (f),jagah (f) / sthān (m) / sthiti (f),jagah (f) / muqām (m) / haisiyat (f)
2428,possession (belongings),noun,a2,nan,सामान (m) / चीज़ें (f) / संपत्ति (f),सामान (m) / चीज़ें (f) / अस्बाब (m),sāmān (m) / cīzēṁ (f) / saṁpatti (f),sāmān (m) / cīzēṁ (f) / asbāb (m)
2429,possession (ownership status),noun,a2,nan,क़ब्ज़ा (m) / स्वामित्व (m) / अधिकार (m),क़ब्ज़ा (m) / मिल्कियत (f) / तसर्रुफ़ (m),qabzā (m) / svāmitv (m) / adhikār (m),qabzā (m) / milkiyat (f) / tasarruf (m)
2430,possibility,noun,a2,nan,गुंजाइश (f) / संभावना (f) / मुमकिनियत (f),मुमकिनियत (f) / इमकान (m) / गुंजाइश (f),guṁjāiśa (f) / saṁbhāvanā (f) / mumakiniyat (f),mumakiniyat (f) / imakān (m) / guṁjāiśa (f)
2431,poster,noun,a2,nan,पोस्टर (m) / इश्तहार (m),पोस्टर (m) / इश्तहार (m),pōsṭar (m) / iśtahār (m),pōsṭar (m) / iśtahār (m)
2432,potential (likelihood of success),noun,a2,nan,संभावना (f) / क्षमता (f),सलाहियत (f) / इमकान (m),saṁbhāvanā (f) / kṣamatā (f),salāhiyat (f) / imakān (m)
2433,power (authority),noun,a2,nan,सत्ता (f) / अधिकार (m) / शक्ति (f),इख़्तियार (m) / सत्ता (f) / ताक़त (f),sattā (f) / adhikār (m) / śakti (f),ik͟htiyār (m) / sattā (f) / tāqat (f)
2434,"power (electricity, energy)",noun,a2,nan,बिजली (f) / ऊर्जा (f) / शक्ति (f),बिजली (f) / तवानाई (f) / क़ुव्वत (f),bijalī (f) / ūrjā (f) / śakti (f),bijalī (f) / tavānāī (f) / quvvat (f)
2435,power (strength),noun,a2,nan,ताक़त (f) / शक्ति (f) / बल (m),ताक़त (f) / क़ुव्वत (f) / ज़ोर (m),tāqat (f) / śakti (f) / bal (m),tāqat (f) / quvvat (f) / zōr (m)
2436,practice (custom),noun,a2,nan,रिवाज़ (m) / प्रथा (f) / रीति (f),रिवाज़ (m) / रस्म (f) / दस्तूर (m),rivāz (m) / prathā (f) / rīti (f),rivāz (m) / rasm (f) / dastūr (m)
2437,"preference (liking, choice)",noun,a2,nan,पसंद (f) / प्राथमिकता (f) / वरीयता (f),पसंद (f) / तरजीह (f) / इख़्तियार (m),pasaṁd (f) / prāthamikatā (f) / varīyatā (f),pasaṁd (f) / tarajīh (f) / ik͟htiyār (m)
2438,president (of a country),noun,a2,nan,राष्ट्रपति (m),सदर (m) / राष्ट्रपति (m),rāṣṭrapati (m),sadar (m) / rāṣṭrapati (m)
2439,"president (of an organization, committee)",noun,a2,nan,अध्यक्ष (m) / सभापति (m) / प्रधान (m),सदर (m) / अध्यक्ष (m) / सरबराह (m),adhyakṣa (m) / sabhāpati (m) / pradhān (m),sadar (m) / adhyakṣa (m) / sarabarāh (m)
2440,printer,noun,a2,nan,प्रिंटर (m) / मुद्रक (m),प्रिंटर (m) / मुद्रक (m),priṁṭar (m) / mudrak (m),priṁṭar (m) / mudrak (m)
2441,"prison (confinement, traditional term)",noun,a2,nan,क़ैदख़ाना (m) / कारागार (m) / बंदीगृह (m),क़ैदख़ाना (m) / ज़indan (m) / हब्स (m),qaidak͟hānā (m) / kārāgār (m) / baṁdīgr̥h (m),qaidak͟hānā (m) / zindan (m) / habs (m)
2442,prize,noun,a2,nan,इनाम (m) / पुरस्कार (m),इनाम (m) / जज़ा (f) / अजर (m),inām (m) / puraskār (m),inām (m) / jazā (f) / ajar (m)
2443,probably (formal),adverb,a2,nan,शायद / संभवतः / मुमकिन है कि,शायद / ग़ालिबन / मुमकिन है कि,śāyad / saṁbhavataḥ / mumakin hai ki,śāyad / ġāliban / mumakin hai ki
2444,probably (likely),adverb,a2,nan,शायद / मुमकिन है कि / संभव है कि,शायद / मुमकिन है कि / अंदेशा है कि,śāyad / mumakin hai ki / saṁbhav hai ki,śāyad / mumakin hai ki / aṁdēśā hai ki
2445,"professional (salaried, non-amateur)",adjective,a2,nan,पेशेवर / व्यावसायिक,पेशेवर / माहिर / फ़नकार,pēśēvar / vyāvasāyik,pēśēvar / māhir / fanakār
2446,professor (academic rank),noun,a2,nan,प्रोफ़ेसर (m) / आचार्य (m),प्रोफ़ेसर (m) / उस्ताद (m) / माहिर-ए-तालीम (m),prōfēsar (m) / ācāry (m),prōfēsar (m) / ustād (m) / māhir-ē-tālīm (m)
2447,profile (personal summary),noun,a2,nan,प्रोफ़ाइल (f) / व्यक्तिगत विवरण (m) / परिचय (m),प्रोफ़ाइल (f) / ज़ाती तआरुफ़ (m) / ख़ाका (m),prōfāil (f) / vyaktigat vivaraṇa (m) / paricay (m),prōfāil (f) / zātī taāruf (m) / k͟hākā (m)
2448,profile (side view),noun,a2,nan,प्रोफ़ाइल (f) / पार्श्वचित्र (m),प्रोफ़ाइल (f) / पहलू (m) / जानिब (f),prōfāil (f) / pārśvacitr (m),prōfāil (f) / pahalū (m) / jānib (f)
2449,program (computer software),noun,a2,nan,प्रोग्राम (m) / सॉफ़्टवेयर (m) / कार्यक्रम (m),प्रोग्राम (m) / सॉफ़्टवेयर (m) / बरनामज (m),prōgrām (m) / sôfṭavēyar (m) / kāryakram (m),prōgrām (m) / sôfṭavēyar (m) / baranāmaj (m)
2450,"program (event, schedule, show)",noun,a2,nan,कार्यक्रम (m) / समारोह (m) / योजना (f),कार्यक्रम (m) / तक़रीब (f) / नशिस्त (f),kāryakram (m) / samārōh (m) / yōjanā (f),kāryakram (m) / taqarīb (f) / naśist (f)
2451,programme (computer),noun,a2,nan,प्रोग्राम (m) / सॉफ्टवेयर (m),प्रोग्राम (m) / सॉफ्टवेयर (m),prōgrām (m) / sôphṭavēyar (m),prōgrām (m) / sôphṭavēyar (m)
2452,progress,noun,a2,nan,तरक़्क़ी (f) / प्रगति (f) / उन्नति (f),तरक़्क़ी (f) / पेशरफ़्त (f),taraqqī (f) / pragati (f) / unnati (f),taraqqī (f) / pēśaraft (f)
2453,promise (potential),noun,a2,nan,उम्मीद (f) / संभावना (f),उम्मीद (f) / इम्कान (m),ummīd (f) / saṁbhāvanā (f),ummīd (f) / imkān (m)
2454,pub,noun,a2,nan,पब (m) / शराबख़ाना (m),पब (m) / शराबख़ाना (m),pab (m) / śarābak͟hānā (m),pab (m) / śarābak͟hānā (m)
2455,public,adjective,a2,nan,सार्वजनिक / जनसाधारण का,अवामी / सार्वजनिक,sārvajanik / janasādhāraṇa kā,avāmī / sārvajanik
2456,public (people),noun,a2,nan,जनता (f) / लोग (m) / जनसाधारण (m),आवाम (f) / जनता (f),janatā (f) / lōg (m) / janasādhāraṇa (m),āvām (f) / janatā (f)
2457,purpose,noun,a2,nan,मक़सद (m) / उद्देश्य (m) / प्रयोजन (m),मक़सद (m) / ग़र्ज़ (f),maqasad (m) / uddēśy (m) / prayōjan (m),maqasad (m) / ġarz (f)
2458,"quality (characteristic, trait)",noun,a2,nan,ख़ूबी (f) / गुण (m) / विशेषता (f),ख़ूबी (f) / सिफ़त (f),k͟hūbī (f) / guṇa (m) / viśēṣatā (f),k͟hūbī (f) / sifat (f)
2459,quantity,noun,a2,nan,मात्रा (f) / तादाद (f) / परिमाण (m),तादाद (f) / मिक़दार (f),mātrā (f) / tādād (f) / parimāṇa (m),tādād (f) / miqadār (f)
2460,queen (playing card),noun,a2,nan,बेगम (f) / रानी (f),बेगम (f) / रानी (f),bēgam (f) / rānī (f),bēgam (f) / rānī (f)
2461,"question (issue, matter)",noun,a2,nan,सवाल (m) / मसला (m) / मुद्दा (m) / प्रश्न (m),सवाल (m) / मसला (m) / मुद्दा (m) / क़ज़िया (m),savāl (m) / masalā (m) / muddā (m) / praśn (m),savāl (m) / masalā (m) / muddā (m) / qaziyā (m)
2462,quick (mentally agile),adjective,a2,nan,तेज़ / होशियार / चतुर / बुद्धिमान,तेज़ / ज़हीन / अक़्लमंद / चालाक,tēz / hōśiyār / catur / buddhimān,tēz / zahīn / aqlamaṁd / cālāk
2463,"quietly (subtly, secretly)",adverb,a2,nan,चुपचाप / गुपचुप / चोरी-छिपे / दबे पाँव,चुपचाप / गुपचुप / ख़ामोशी से / पोशीदा तौर पर,cupacāp / gupacup / cōrī-chipē / dabē pām̐v,cupacāp / gupacup / k͟hāmōśī sē / pōśīdā taur par
2464,race (competition),noun,a2,nan,दौड़ (f) / मुक़ाबला (m) / प्रतियोगिता (f),दौड़ (f) / मुक़ाबला (m) / रेस (f),dauṛa (f) / muqābalā (m) / pratiyōgitā (f),dauṛa (f) / muqābalā (m) / rēs (f)
2465,race (ethnicity),noun,a2,nan,नस्ल (f) / जाति (f) / प्रजाति (f),नस्ल (f) / क़ौम (f) / ज़ात (f),nasl (f) / jāti (f) / prajāti (f),nasl (f) / qaum (f) / zāt (f)
2466,radio (broadcast medium),noun,a2,nan,रेडियो (m) / आकाशवाणी (f),रेडियो (m) / आकाशवाणी (f),rēḍiyō (m) / ākāśavāṇī (f),rēḍiyō (m) / ākāśavāṇī (f)
2467,rail track,noun,a2,nan,रेल की पटरी (f) / पटरी (f) / रेलमार्ग (m),रेल की पटरी (f) / पटरी (f) / रेलमार्ग (m),rēl kī paṭarī (f) / paṭarī (f) / rēlamārg (m),rēl kī paṭarī (f) / paṭarī (f) / rēlamārg (m)
2468,railway (physical track or line),noun,a2,nan,रेलवे (f) / रेलमार्ग (m) / रेल लाइन (f),रेलवे (f) / रेलमार्ग (m) / रेल लाइन (f),rēlavē (f) / rēlamārg (m) / rēl lāin (f),rēlavē (f) / rēlamārg (m) / rēl lāin (f)
2469,"rate (cost, price)",noun,a2,nan,दर (f) / भाव (m) / क़ीमत (f) / मूल्य (m),दर (f) / क़ीमत (f) / भाव (m) / शरह (f),dar (f) / bhāv (m) / qīmat (f) / mūly (m),dar (f) / qīmat (f) / bhāv (m) / śarah (f)
2470,"rate (measurement, frequency)",noun,a2,nan,दर (f) / गति (f) / आवृत्ति (f),शरह (f) / रफ़्तार (f) / तनासुब (m),dar (f) / gati (f) / āvr̥tti (f),śarah (f) / raftār (f) / tanāsub (m)
2471,"rather (instead, preferably)",adverb,a2,nan,बल्कि / ज़्यादा पसंद करना / बेहतर,बल्कि / बजाए इसके / तरजीहन,balki / zyādā pasaṁd karanā / bēhatar,balki / bajāē isakē / tarajīhan
2472,rather (to a significant degree),adverb,a2,nan,काफ़ी / कुछ हद तक / बल्कि,काफ़ी / कुछ हद तक / बल्कि,kāfī / kuch had tak / balki,kāfī / kuch had tak / balki
2473,recent,adjective,a2,nan,हाल का / ताज़ा / नवीन,हालिया / ताज़ा / जदीद,hāl kā / tāzā / navīn,hāliyā / tāzā / jadīd
2474,"recently (just now, immediate past)",adverb,a2,nan,अभी-अभी / हाल ही में,अभी-अभी / हाल ही में / फ़िलहाल,abhī-abhī / hāl hī mēṁ,abhī-abhī / hāl hī mēṁ / filahāl
2475,"recently (lately, in recent times)",adverb,a2,nan,हाल ही में / आजकल / पिछले दिनों,हाल ही में / आजकल / पिछले दिनों,hāl hī mēṁ / ājakal / pichalē dinōṁ,hāl hī mēṁ / ājakal / pichalē dinōṁ
2476,"reception (desk, area)",noun,a2,nan,रिसेप्शन (m) / स्वागत कक्ष (m),रिसेप्शन (m) / इस्तक़बालिया (m),risēpśan (m) / svāgat kakṣa (m),risēpśan (m) / istaqabāliyā (m)
2477,"reception (event, party)",noun,a2,nan,स्वागत समारोह (m) / रिसेप्शन (m) / दावत (f),इस्तक़बालिया (m) / रिसेप्शन (m) / दावत (f),svāgat samārōh (m) / risēpśan (m) / dāvat (f),istaqabāliyā (m) / risēpśan (m) / dāvat (f)
2478,reception (signal quality),noun,a2,nan,सिग्नल (m) / नेटवर्क (m) / ग्रहण (m),सिग्नल (m) / नेटवर्क (m) / इस्तक़बाल (m),signal (m) / nēṭavark (m) / grahaṇa (m),signal (m) / nēṭavark (m) / istaqabāl (m)
2479,recipe,noun,a2,nan,नुस्खा (m) / विधि (f),नुस्खा (m) / तरकीब (f),nuskhā (m) / vidhi (f),nuskhā (m) / tarakīb (f)
2480,record (achievement),noun,a2,nan,रिकॉर्ड (m) / कीर्तिमान (m),रिकॉर्ड (m) / कीर्तिमान (m),rikôrḍa (m) / kīrtimān (m),rikôrḍa (m) / kīrtimān (m)
2481,record (document),noun,a2,nan,रिकॉर्ड (m) / दस्तावेज़ (m) / अभिलेख (m),रिकॉर्ड (m) / दस्तावेज़ (m) / इंदराज (m),rikôrḍa (m) / dastāvēz (m) / abhilēkh (m),rikôrḍa (m) / dastāvēz (m) / iṁdarāj (m)
2482,recording,noun,a2,nan,रिकॉर्डिंग (f) / ध्वनि-मुद्रण (m),रिकॉर्डिंग (f) / रिकॉर्ड (m),rikôrḍiṁg (f) / dhvani-mudraṇa (m),rikôrḍiṁg (f) / rikôrḍa (m)
2483,refrigerator,noun,a2,nan,फ़्रिज (m) / रेफ़्रिजरेटर (m) / प्रशीतक (m),फ़्रिज (m) / रेफ़्रिजरेटर (m),frij (m) / rēfrijarēṭar (m) / praśītak (m),frij (m) / rēfrijarēṭar (m)
2484,"region (large geographical, administrative area)",noun,a2,nan,इलाक़ा (m) / क्षेत्र (m) / प्रदेश (m),इलाक़ा (m) / क्षेत्र (m) / नाहिया (m),ilāqā (m) / kṣētr (m) / pradēśa (m),ilāqā (m) / kṣētr (m) / nāhiyā (m)
2485,"region (specific area, part)",noun,a2,nan,इलाक़ा (m) / क्षेत्र (m) / हिस्सा (m),इलाक़ा (m) / क्षेत्र (m) / हिस्सा (m),ilāqā (m) / kṣētr (m) / hissā (m),ilāqā (m) / kṣētr (m) / hissā (m)
2486,regular (periodic),adjective,a2,nan,बाक़ायदा / नियमित,बाक़ायदा / नियमित / मुस्तक़िल,bāqāyadā / niyamit,bāqāyadā / niyamit / mustaqil
2487,regular (standard),adjective,a2,nan,सामान्य / साधारण / नियमित,मामूल के मुताबिक़ / आम / साधारण,sāmāny / sādhāraṇa / niyamit,māmūl kē mutābiq / ām / sādhāraṇa
2488,"relationship (connection, association)",noun,a2,nan,रिश्ता (m) / संबंध (m) / ताल्लुक़ (m),ताल्लुक़ (m) / रिश्ता (m) / संबंध (m),riśtā (m) / saṁbaṁdh (m) / tālluq (m),tālluq (m) / riśtā (m) / saṁbaṁdh (m)
2489,"relationship (personal, romantic)",noun,a2,nan,रिश्ता (m) / संबंध (m) / प्रेम-संबंध (m),रिश्ता (m) / ताल्लुक़ (m) / प्रेम-संबंध (m),riśtā (m) / saṁbaṁdh (m) / prēm-saṁbaṁdh (m),riśtā (m) / tālluq (m) / prēm-saṁbaṁdh (m)
2490,"reply (formal, written communication)",noun,a2,nan,जवाब (m) / उत्तर (m) / प्रत्युत्तर (m),ज़वाब (m) / तहरीरी ज़वाब (m) / अर्ज़दाश्त (f),javāb (m) / uttar (m) / pratyuttar (m),zavāb (m) / taharīrī zavāb (m) / arzadāśt (f)
2491,reply (general answer),noun,a2,nan,जवाब (m) / उत्तर (m),ज़वाब (m) / पलट ज़वाब (m),javāb (m) / uttar (m),zavāb (m) / palaṭa zavāb (m)
2492,"reporter (journalist, formal)",noun,a2,nan,रिपोर्टर (m) / संवाददाता (m) / पत्रकार (m),रिपोर्टर (m) / नुमाइंदा (m) / नामानिगार (m) / अख़बारनवीस (m),ripōrṭar (m) / saṁvādadātā (m) / patrakār (m),ripōrṭar (m) / numāiṁdā (m) / nāmānigār (m) / ak͟habāranavīs (m)
2493,request (formal application or public demand),noun,a2,nan,अनुरोध (m) / प्रार्थना (f) / आवेदन (m) / माँग (f),दरख़्वास्त (f) / इल्तिजा (f) / अर्ज़ (f) / मुतालबा (m),anurōdh (m) / prārthanā (f) / āvēdan (m) / mām̐g (f),darak͟hvāst (f) / iltijā (f) / arz (f) / mutālabā (m)
2494,research,noun,a2,nan,शोध (m) / अनुसंधान (m) / खोज (f),तहक़ीक़ (f) / ख़ोज (f) / जुस्तजू (f) / छानबीन (f),śōdh (m) / anusaṁdhān (m) / khōj (f),tahaqīq (f) / k͟hōj (f) / justajū (f) / chānabīn (f)
2495,researcher,noun,a2,nan,शोधकर्ता (m) / अनुसंधानकर्ता (m) / खोजकर्ता (m),मुहाक़िक़ (m) / तहक़ीक़कार (m) / ख़ोज करने वाला (m),śōdhakartā (m) / anusaṁdhānakartā (m) / khōjakartā (m),muhāqiq (m) / tahaqīqakār (m) / k͟hōj karanē vālā (m)
2496,response (reaction),noun,a2,nan,प्रतिक्रिया (f) / जवाब (m) / रद-ए-अमल (m),रद-ए-अमल (m) / ज़वाब (m) / प्रतिक्रिया (f),pratikriyā (f) / javāb (m) / rad-ē-amal (m),rad-ē-amal (m) / zavāb (m) / pratikriyā (f)
2497,"response (reaction, general reaction)",noun,a2,nan,प्रतिक्रिया (f) / जवाब (m) / रद-ए-अमल (m),रद-ए-अमल (m) / ज़वाब (m) / प्रतिक्रिया (f),pratikriyā (f) / javāb (m) / rad-ē-amal (m),rad-ē-amal (m) / zavāb (m) / pratikriyā (f)
2498,response (reply),noun,a2,nan,जवाब (m) / उत्तर (m),ज़वाब (m) / पलट ज़वाब (m),javāb (m) / uttar (m),zavāb (m) / palaṭa zavāb (m)
2499,rest (break),noun,a2,nan,आराम (m) / विश्राम (m) / छुट्टी (f),आराम (m) / वक़्फ़ा (m) / फ़ुर्सत (f),ārām (m) / viśrām (m) / chuṭṭī (f),ārām (m) / vaqfā (m) / fursat (f)
2500,rest (remainder),noun,a2,nan,बाक़ी (m) / बचा हुआ हिस्सा (m) / शेष (m),बाक़ी (m) / बचा हुआ हिस्सा (m) / शेष (m),bāqī (m) / bacā huā hissā (m) / śēṣa (m),bāqī (m) / bacā huā hissā (m) / śēṣa (m)
2501,review (critique),noun,a2,nan,समीक्षा (f) / आलोचना (f) / जायज़ा (m),जायज़ा (m) / तब्सिरा (m) / समीक्षा (f),samīkṣā (f) / ālōcanā (f) / jāyazā (m),jāyazā (m) / tabsirā (m) / samīkṣā (f)
2502,"review (inspection, examination)",noun,a2,nan,जाँच (f) / मुआयना (m) / पुनरीक्षण (m),मुआयना (m) / जायज़ा (m) / जाँच (f),jām̐c (f) / muāyanā (m) / punarīkṣaṇa (m),muāyanā (m) / jāyazā (m) / jām̐c (f)
2503,"rich (abundant, fertile)",adjective,a2,nan,भरपूर / प्रचुर / उपजाऊ,भरपूर / वाफ़र / ज़ख़ीरदार,bharapūr / pracur / upajāū,bharapūr / vāfar / zak͟hīradār
2504,rich (fertile soil),adjective,a2,nan,उपजाऊ / उर्वर / ज़ख़ीज़,ज़ख़ीज़ / उपजाऊ / उर्वर,upajāū / urvar / zak͟hīz,zak͟hīz / upajāū / urvar
2505,"rich (flavor, food)",adjective,a2,nan,गाढ़ा / स्वादिष्ट / पुष्टिकर,गाढ़ा / लज़ीज़ / पुष्टिकर,gāṛhā / svādiṣṭa / puṣṭikar,gāṛhā / lazīz / puṣṭikar
2506,"ride (a trip, lift)",noun,a2,nan,सवारी (f) / यात्रा (f),सवारी (f) / सफ़र (m),savārī (f) / yātrā (f),savārī (f) / safar (m)
2507,ride (amusement park attraction),noun,a2,nan,झूला (m) / सवारी (f),झूला (m) / सवारी (f),jhūlā (m) / savārī (f),jhūlā (m) / savārī (f)
