english_word,word_class,level,verb_transitivity,translation,transliteration
brave,adjective,a2,,बहादुर / निडर / साहसी,bahādur / niḍar / sāhasī
"brave (person, warrior)",adjective,a2,,वीर / शूर / साहसी,vīr / śūr / sāhasī
breath,noun,a2,,साँस (f) / दम (m) / श्वास (f),sām̐s (f) / dam (m) / śvās (f)
breathing,noun,a2,,साँस (f) / श्वसन (m),sām̐s (f) / śvasan (m)
"bubble (economic, metaphorical)",noun,a2,,बुलबुला (m) / गुब्बारा (m) / झाँसा (m),bulabulā (m) / gubbārā (m) / jhām̐sā (m)
bubble (physical),noun,a2,,बुलबुला (m) / बुदबुदा (m),bulabulā (m) / budabudā (m)
businessman (large-scale entrepreneur),noun,a2,,व्यापारी (m) / कारोबारी (m) / उद्यमी (m) / उद्योगपति (m),vyāpārī (m) / kārōbārī (m) / udyamī (m) / udyōgapati (m)
by (means or agent),adverb,a2,,द्वारा / से / के ज़रिये,dvārā / sē / kē zariyē
by (next to),adverb,a2,,पास / बगल में / निकट,pās / bagal mēṁ / nikaṭa
by (not later than),adverb,a2,,तक,tak
calculation (mathematical),noun,a2,,हिसाब (m) / गणना (f),hisāb (m) / gaṇanā (f)
calm,noun,a2,,शांति (f) / सुकून (m) / अमन (m),śāṁti (f) / sukūn (m) / aman (m)
"calm (of a person, composed)",adjective,a2,,शांत / शांत-चित्त / गंभीर,śāṁt / śāṁt-citt / gaṁbhīr
"calm (weather, sea, tranquil)",adjective,a2,,शांत / स्थिर / प्रशांत,śāṁt / sthir / praśāṁt
campaign (military),noun,a2,,अभियान (m) / सैन्य अभियान (m) / मुहिम (f),abhiyān (m) / sainy abhiyān (m) / muhim (f)
"campaign (political, advertising)",noun,a2,,अभियान (m) / प्रचार (m) / मुहिम (f),abhiyān (m) / pracār (m) / muhim (f)
campus,noun,a2,,कैंपस (m) / परिसर (m),kaiṁpas (m) / parisar (m)
candidate (examinee),noun,a2,,उम्मीदवार (m) / परीक्षार्थी (m) / अभ्यर्थी (m),ummīdavār (m) / parīkṣārthī (m) / abhyarthī (m)
cap (headwear),noun,a2,,टोपी (f),ṭōpī (f)
cap (lid for a container),noun,a2,,ढक्कन (m),ḍhakkan (m)
captain (female sports team leader),noun,a2,,कप्तान (f),kaptān (f)
captain (ship or military rank),noun,a2,,कप्तान (m) / सेनापति (m),kaptān (m) / sēnāpati (m)
captain (sports team leader),noun,a2,,कप्तान (m),kaptān (m)
"careless (indifferent, apathetic)",adjective,a2,,लापरवाह / बेपरवाह / उदासीन,lāparavāh / bēparavāh / udāsīn
cartoon (satirical drawing),noun,a2,,कार्टून (m) / व्यंग्य चित्र (m),kārṭūn (m) / vyaṁgy citr (m)
castle (chess piece),noun,a2,,हाथी (m),hāthī (m)
"category (classification, class)",noun,a2,,श्रेणी (f) / वर्ग (m) / प्रकार (m),śrēṇī (f) / varg (m) / prakār (m)
cause (goal or principle),noun,a2,,उद्देश्य (m) / लक्ष्य (m) / सिद्धांत (m),uddēśy (m) / lakṣy (m) / siddhāṁt (m)
ceiling (of a room),noun,a2,,छत (f),chat (f)
celebration (festival),noun,a2,,जश्न (m) / उत्सव (m) / समारोह (m) / त्योहार (m),jaśn (m) / utsav (m) / samārōh (m) / tyōhār (m)
central (governmental authority),adjective,a2,,केंद्रीय / मरकज़ी,kēṁdrīy / marakazī
"ceremony (event, function)",noun,a2,,समारोह (m) / कार्यक्रम (m) / तक़रीब (f),samārōh (m) / kāryakram (m) / taqarīb (f)
"ceremony (religious rite, ritual)",noun,a2,,रस्म (f) / रीति (f) / अनुष्ठान (m) / संस्कार (m),rasm (f) / rīti (f) / anuṣṭhān (m) / saṁskār (m)
chain (business or sequence of stores),noun,a2,,चेन (f) / शृंखला (f),cēn (f) / śr̥ṁkhalā (f)
"chain (physical object, like jewelry or security)",noun,a2,,ज़ंजीर (f) / शृंखला (f),zaṁjīr (f) / śr̥ṁkhalā (f)
champion (advocate),noun,a2,,समर्थक (m) / हिमायती (m) / पक्षधर (m),samarthak (m) / himāyatī (m) / pakṣadhar (m)
channel (means of communication),noun,a2,,माध्यम (m) / ज़रिया (m) / चैनल (m),mādhyam (m) / zariyā (m) / cainal (m)
channel (television station),noun,a2,,चैनल (m),cainal (m)
channel (waterway),noun,a2,,नहर (f) / जलमार्ग (m) / नाला (m),nahar (f) / jalamārg (m) / nālā (m)
chapter (period of time),noun,a2,,दौर (m) / काल (m) / अध्याय (m),daur (m) / kāl (m) / adhyāy (m)
charcoal,noun,a2,,कोयला (m) / लकड़ी का कोयला (m) / चारकोल (m),kōyalā (m) / lakaṛī kā kōyalā (m) / cārakōl (m)
charge (accusation),noun,a2,,इल्ज़ाम (m) / आरोप (m) / अभियोग (m),ilzām (m) / ārōp (m) / abhiyōg (m)
charge (electrical state),noun,a2,,चार्ज (m) / आवेश (m) / विद्युत आवेश (m),cārj (m) / āvēśa (m) / vidyut āvēśa (m)
"charge (fee, cost)",noun,a2,,चार्ज (m) / शुल्क (m) / दाम (m) / क़ीमत (f),cārj (m) / śulk (m) / dām (m) / qīmat (f)
"charge (responsibility, duty)",noun,a2,,ज़िम्मेदारी (f) / कर्तव्य (m) / कार्यभार (m) / प्रभार (m),zimmēdārī (f) / kartavy (m) / kāryabhār (m) / prabhār (m)
cheap (low price),adverb,a2,,सस्ते में / कम दाम पर,sastē mēṁ / kam dām par
cheap (poor quality or immoral),adverb,a2,,घटिया तरीक़े से / बुरी तरह से / ओछेपन से,ghaṭiyā tarīqē sē / burī tarah sē / ōchēpan sē
"cheap (poorly, shoddily)",adverb,a2,,घटिया तरीक़े से / लापरवाही से / बेतरतीबी से,ghaṭiyā tarīqē sē / lāparavāhī sē / bētaratībī sē
cheat (act of dishonesty),noun,a2,,धोखा (m) / बेईमानी (f) / छल (m) / कपट (m),dhōkhā (m) / bēīmānī (f) / chal (m) / kapaṭa (m)
cheat (person),noun,a2,,धोखेबाज़ (m/f) / बेईमान (m/f) / ठग (m),dhōkhēbāz (m/f) / bēīmān (m/f) / ṭhag (m)
"cheerful (place, atmosphere)",adjective,a2,,ख़ुशनुमा / प्रफुल्लित / आनंदमय,k͟huśanumā / praphullit / ānaṁdamay
chemical,noun,a2,,केमिकल (m) / रसायन (m),kēmikal (m) / rasāyan (m)
chemistry (relationship connection),noun,a2,,तालमेल (m) / जुड़ाव (m) / सामंजस्य (m),tālamēl (m) / juṛāv (m) / sāmaṁjasy (m)
chest (body part),noun,a2,,सीना (m) / छाती (f) / वक्ष (m),sīnā (m) / chātī (f) / vakṣa (m)
chest (storage box),noun,a2,,संदूक़ (m) / बक्सा (m) / पेटी (f),saṁdūq (m) / baksā (m) / pēṭī (f)
childhood,noun,a2,,बचपन (m) / लड़कपन (m) / बाल्यावस्था (f),bacapan (m) / laṛakapan (m) / bālyāvasthā (f)
claim (assertion of truth),noun,a2,,दावा (m) / कथन (m) / प्रतिपादन (m),dāvā (m) / kathan (m) / pratipādan (m)
claim (formal demand),noun,a2,,दावा (m) / हक़ (m) / माँग (f),dāvā (m) / haq (m) / mām̐g (f)
clause (grammatical unit),noun,a2,,उपवाक्य (m),upavāky (m)
"clause (provision, condition)",noun,a2,,शर्त (f) / खंड (m) / उपबंध (m),śart (f) / khaṁḍa (m) / upabaṁdh (m)
click,noun,a2,,क्लिक (m) / खटखटाहट (f) / चटका (m),klik (m) / khaṭakhaṭāhaṭa (f) / caṭakā (m)
"client (computing, software)",noun,a2,,क्लाइंट (m) / ग्राहक (m),klāiṁṭa (m) / grāhak (m)
climate (atmosphere or environment),noun,a2,,मौसम (m) / जलवायु (f),mausam (m) / jalavāyu (f)
"climate (mood, environment)",noun,a2,,माहौल (m) / वातावरण (m) / परिवेश (m),māhaul (m) / vātāvaraṇa (m) / parivēśa (m)
climb (act of ascending),noun,a2,,चढ़ाई (f) / आरोहण (m),caṛhāī (f) / ārōhaṇa (m)
climb (steep section of road),noun,a2,,चढ़ाई (f) / ऊँचाई (f),caṛhāī (f) / ūm̐cāī (f)
cloth (garment or formal attire),noun,a2,,कपड़ा (m) / वस्त्र (m) / परिधान (m),kapaṛā (m) / vastr (m) / paridhān (m)
cloth (rag or cleaning duster),noun,a2,,कपड़ा (m) / पोछा (m) / झाड़न (f),kapaṛā (m) / pōchā (m) / jhāṛan (f)
clue,noun,a2,,सुराग़ (m) / संकेत (m) / इशारा (m) / सूत्र (m),surāġa (m) / saṁkēt (m) / iśārā (m) / sūtr (m)
coal (fossil fuel),noun,a2,,कोयला (m),kōyalā (m)
coin,noun,a2,,सिक्का (m) / मुद्रा (f),sikkā (m) / mudrā (f)
collection (of funds or debt),noun,a2,,वसूली (f) / उगाही (f) / संग्रह (m),vasūlī (f) / ugāhī (f) / saṁgrah (m)
"collection (of items, art, stamps)",noun,a2,,संग्रह (m) / संकलन (m),saṁgrah (m) / saṁkalan (m)
coloured,adjective,a2,,रंगीन / रंगदार / रंग-बिरंगा,raṁgīn / raṁgadār / raṁg-biraṁgā
commercial (advertisement),noun,a2,,विज्ञापन (m) / ऐड (m) / प्रचार (m),vijñāpan (m) / aiḍa (m) / pracār (m)
commercial (focused purely on profit),adjective,a2,,व्यापारिक / व्यावसायिक / लाभ-उन्मुख,vyāpārik / vyāvasāyik / lābh-unmukh
"communication (message, official correspondence)",noun,a2,,संदेश (m) / सूचना (f) / पत्राचार (m) / संचार (m),saṁdēśa (m) / sūcanā (f) / patrācār (m) / saṁcār (m)
comparison,noun,a2,,तुलना (f) / मुक़ाबला (m),tulanā (f) / muqābalā (m)
competitive,adjective,a2,,प्रतिस्पर्धी / प्रतियोगी / मुकाबला करने वाला,pratispardhī / pratiyōgī / mukābalā karanē vālā
competitor (business rival),noun,a2,,प्रतिद्वंद्वी (m) / प्रतियोगी (m) / मुक़ाबलेबाज़ (m),pratidvaṁdvī (m) / pratiyōgī (m) / muqābalēbāz (m)
competitor (contestant),noun,a2,,प्रतियोगी (m) / प्रतिभागी (m) / दावेदार (m),pratiyōgī (m) / pratibhāgī (m) / dāvēdār (m)
complaint (medical condition),noun,a2,,शिकायत (f) / तकलीफ़ (f) / रोग (m),śikāyat (f) / takalīf (f) / rōg (m)
complex,adjective,a2,,पेचीदा / जटिल / उलझा हुआ,pēcīdā / jaṭil / ulajhā huā
"conclusion (deduction, decision)",noun,a2,,नतीजा (m) / निष्कर्ष (m) / फ़ैसला (m),natījā (m) / niṣkarṣa (m) / faisalā (m)
"conclusion (end, finish)",noun,a2,,अंत (m) / समाप्ति (f) / ख़ात्मा (m),aṁt (m) / samāpti (f) / k͟hātmā (m)
"confident (certain, sure of outcome)",adjective,a2,,आश्वस्त / यक़ीनी / निश्चित,āśvast / yaqīnī / niścit
"confident (self-assured, bold)",adjective,a2,,आत्मविश्वासी / आत्मविश्वास से भरा / निडर,ātmaviśvāsī / ātmaviśvās sē bharā / niḍar
confused (mentally puzzled),adjective,a2,,उलझन में / भ्रमित / परेशान,ulajhan mēṁ / bhramit / parēśān
connected (having social influence),adjective,a2,,पहुँच वाला / जान-पहचान वाला / प्रभावशाली,pahum̐c vālā / jān-pahacān vālā / prabhāvaśālī
"connection (physical, technical link)",noun,a2,,कनेक्शन (m) / जोड़ (m) / संबंध (m),kanēkśan (m) / jōṛa (m) / saṁbaṁdh (m)
"connection (relationship, social link)",noun,a2,,संबंध (m) / रिश्ता (m) / ताल्लुक़ (m),saṁbaṁdh (m) / riśtā (m) / tālluq (m)
consequence,noun,a2,,नतीजा (m) / परिणाम (m) / फल (m),natījā (m) / pariṇām (m) / phal (m)
contact (person),noun,a2,,जान-पहचान (f) / संपर्क सूत्र (m),jān-pahacān (f) / saṁpark sūtr (m)
container (shipping unit),noun,a2,,कंटेनर (m) / डिब्बा (m) / पात्र (m),kaṁṭēnar (m) / ḍibbā (m) / pātr (m)
content (satisfaction),noun,a2,,संतोष (m) / संतुष्टि (f) / तृप्ति (f),saṁtōṣa (m) / saṁtuṣṭi (f) / tr̥pti (f)
"content (subject matter, substance)",noun,a2,,सामग्री (f) / विषय-वस्तु (f) / अंतर्वस्तु (f),sāmagrī (f) / viṣay-vastu (f) / aṁtarvastu (f)
continuous,adjective,a2,,लगातार / निरंतर / सतत,lagātār / niraṁtar / satat
contrast (visual setting),noun,a2,,कंट्रास्ट (m) / विरोधाभास (m) / विषमता (f),kaṁṭrāsṭa (m) / virōdhābhās (m) / viṣamatā (f)
convenient (location),adjective,a2,,सुविधाजनक / अनुकूल / सुगम,suvidhājanak / anukūl / sugam
convenient (nearby; accessible location),adjective,a2,,पास का / सुलभ / पहुँच वाला,pās kā / sulabh / pahum̐c vālā
convenient (suitable; easy),adjective,a2,,आसान / सुविधाजनक / उपयुक्त,āsān / suvidhājanak / upayukt
costume,noun,a2,,पोशाक (f) / वेशभूषा (f) / परिधान (m),pōśāk (f) / vēśabhūṣā (f) / paridhān (m)
cottage (tourist accommodation unit),noun,a2,,कॉटेज (m) / कुटिया (f) / झोपड़ी (f),kôṭēj (m) / kuṭiyā (f) / jhōpaṛī (f)
cotton (absorbent wool),noun,a2,,रुई (f) / कपास (f),ruī (f) / kapās (f)
countryside (rural region),noun,a2,,देहात (m) / ग्रामीण इलाका (m) / ग्राम्य क्षेत्र (m),dēhāt (m) / grāmīṇa ilākā (m) / grāmy kṣētr (m)
court (judicial body),noun,a2,,अदालत (f) / न्यायालय (m) / कचहरी (f),adālat (f) / nyāyālay (m) / kacaharī (f)
court (sports field),noun,a2,,कोर्ट (m) / मैदान (m) / क्रीड़ांगन (m),kōrṭa (m) / maidān (m) / krīṛāṁgan (m)
cover (insurance),noun,a2,,कवर (m) / बीमा (m) / सुरक्षा (f),kavar (m) / bīmā (m) / surakṣā (f)
"cover (protection, shelter)",noun,a2,,पनाह (f) / सुरक्षा (f) / आवरण (m),panāh (f) / surakṣā (f) / āvaraṇa (m)
"cover (shelter, protection)",noun,a2,,पनाह (f) / सुरक्षा (f) / आवरण (m),panāh (f) / surakṣā (f) / āvaraṇa (m)
covered (insured or protected),adjective,a2,,सुरक्षित / बीमाकृत,surakṣit / bīmākr̥t
covered (topic or area dealt with),adjective,a2,,शामिल / सम्मिलित / समाहित,śāmil / sammilit / samāhit
cream (dairy product),adjective,a2,,मलाई (f) / क्रीम (f),malāī (f) / krīm (f)
cream (lotion),adjective,a2,,क्रीम (f) / मलहम (m),krīm (f) / malaham (m)
cream-colored,adjective,a2,,क्रीम रंग का / मलाई रंग का,krīm raṁg kā / malāī raṁg kā
creamy (dairy product),adjective,a2,,मलाईदार / क्रीमी / गाढ़ा,malāīdār / krīmī / gāṛhā
cruel,adjective,a2,,ज़ालिम / निर्दयी / क्रूर,zālim / nirdayī / krūr
cultural,adjective,a2,,सांस्कृतिक / तहज़ीबी,sāṁskr̥tik / tahazībī
currency (money system),noun,a2,,मुद्रा (f) / चलन (m),mudrā (f) / calan (m)
current,adjective,a2,,मौजूदा / वर्तमान,maujūdā / vartamān
currently,adverb,a2,,अभी / फ़िलहाल / वर्तमान में,abhī / filahāl / vartamān mēṁ
currently (formal),adverb,a2,,वर्तमान में / अधुना,vartamān mēṁ / adhunā
curtain,noun,a2,,परदा (m),paradā (m)
"custom (duties, tax authority)",noun,a2,,कस्टम (m) / सीमा शुल्क (m),kasṭam (m) / sīmā śulk (m)
custom (tradition),noun,a2,,रिवाज (m) / प्रथा (f) / परंपरा (f),rivāj (m) / prathā (f) / paraṁparā (f)
cut (reduction),noun,a2,,कटौती (f) / कमी (f),kaṭautī (f) / kamī (f)
cut (style),noun,a2,,कट (m) / अंदाज़ (m) / शैली (f),kaṭa (m) / aṁdāz (m) / śailī (f)
daily (adverb),adverb,a2,,रोज़ाना / प्रतिदिन,rōzānā / pratidin
daily (every day),adverb,a2,,रोज़ / हर रोज़ / प्रतिदिन,rōz / har rōz / pratidin
"daily (routine, regularly)",adverb,a2,,रोज़ाना / दैनिक रूप से / प्रतिदिन,rōzānā / dainik rūp sē / pratidin
damages (legal compensation),noun,a2,,हर्जाना (m) / क्षतिपूर्ति (f),harjānā (m) / kṣatipūrti (f)
deal (amount),noun,a2,,मात्रा (f) / राशि (f) / संख्या (f),mātrā (f) / rāśi (f) / saṁkhyā (f)
deal (amount/quantity),noun,a2,,मात्रा (f) / राशि (f) / संख्या (f),mātrā (f) / rāśi (f) / saṁkhyā (f)
decade,noun,a2,,दशक (m),daśak (m)
deep (profoundly),adverb,a2,,गहराई से / गंभीरता से,gaharāī sē / gaṁbhīratā sē
deep (spatially),adverb,a2,,गहराई में / गहरे,gaharāī mēṁ / gaharē
definite (certain),adjective,a2,,यक़ीनी / निश्चित / पक्का,yaqīnī / niścit / pakkā
"definite (clear, well-defined)",adjective,a2,,स्पष्ट / साफ़ / सुनिश्चित,spaṣṭa / sāf / suniścit
definition (clarity or distinctness),noun,a2,,सफ़ाई (f) / स्पष्टता (f) / विशदता (f),safāī (f) / spaṣṭatā (f) / viśadatā (f)
definition (meaning of a word),noun,a2,,मतलब (m) / परिभाषा (f) / अर्थ (m),matalab (m) / paribhāṣā (f) / arth (m)
despite,preposition,a2,,के बावजूद / के होते हुए भी,kē bāvajūd / kē hōtē huē bhī
destination,noun,a2,,मंज़िल (f) / ठिकाना (m) / गंतव्य (m),maṁzil (f) / ṭhikānā (m) / gaṁtavy (m)
detective (official investigator),noun,a2,,जासूस (m) / डिटेक्टिव (m) / गुप्तचर (m),jāsūs (m) / ḍiṭēkṭiv (m) / guptacar (m)
determined (fixed),adjective,a2,,तयशुदा / निर्धारित / निश्चित,tayaśudā / nirdhārit / niścit
"development (housing, land)",noun,a2,,विकास (m) / परियोजना (f) / निर्माण (m),vikās (m) / pariyōjanā (f) / nirmāṇa (m)
diagram (technical line drawing),noun,a2,,डायग्राम (m) / चित्र (m) / आरेख (m),ḍāyagrām (m) / citr (m) / ārēkh (m)
diamond (playing card suit),noun,a2,,ईंट (f),īṁṭa (f)
"difficulty (problem, obstacle)",noun,a2,,मुश्किल (f) / दिक्कत (f) / कठिनाई (f),muśkil (f) / dikkat (f) / kaṭhināī (f)
"digital (formal, technical)",adjective,a2,,डिजिटल / अंकीय,ḍijiṭal / aṁkīy
direct,adverb,a2,,सीधा / सीधे / प्रत्यक्ष,sīdhā / sīdhē / pratyakṣa
directly (candidly),adverb,a2,,सीधे-सीधे / खुलकर / स्पष्ट रूप से,sīdhē-sīdhē / khulakar / spaṣṭa rūp sē
director (corporate board member),noun,a2,,डायरेक्टर (m) / निदेशक (m) / संचालक (m),ḍāyarēkṭar (m) / nidēśak (m) / saṁcālak (m)
"dirt (filth, grime)",noun,a2,,गंदगी (f) / मैल (m) / धूल (f),gaṁdagī (f) / mail (m) / dhūl (f)
"dirt (soil, earth)",noun,a2,,मिट्टी (f) / ज़मीन (f) / मृदा (f),miṭṭī (f) / zamīn (f) / mr̥dā (f)
disadvantage,noun,a2,,नुक़सान (m) / हानि (f) / असुविधा (f),nuqasān (m) / hāni (f) / asuvidhā (f)
disappointed,adjective,a2,,निराश / मायूस / हताश,nirāśa / māyūs / hatāśa
disappointing,adjective,a2,,निराशाजनक / मायूसकुन,nirāśājanak / māyūsakun
discount,noun,a2,,छूट (f) / रियायत (f) / कटौती (f),chūṭa (f) / riyāyat (f) / kaṭautī (f)
dislike,noun,a2,,नापसंद (f) / अरुचि (f) / घृणा (f),nāpasaṁd (f) / aruci (f) / ghr̥ṇā (f)
"doctor (formal, traditional)",noun,a2,,वैद्य (m) / हकीम (m),vaidy (m) / hakīm (m)
doctor (medical practitioner),noun,a2,,डॉक्टर (m) / चिकित्सक (m),ḍôkṭar (m) / cikitsak (m)
documentary,noun,a2,,डॉक्यूमेंट्री (f) / वृत्तचित्र (m),ḍôkyūmēṁṭrī (f) / vr̥ttacitr (m)
double,adverb,a2,,दुगना / दोहरा / द्विगुणित,duganā / dōharā / dviguṇit
doubt,noun,a2,,शक (m) / संदेह (m) / शंका (f),śak (m) / saṁdēh (m) / śaṁkā (f)
dressed (neatly),adjective,a2,,सलीक़े से पहना हुआ / साफ़-सुथरा / सुसज्जित,salīqē sē pahanā huā / sāf-sutharā / susajjit
"dressed (smartly, formally)",adjective,a2,,अच्छे कपड़े पहने हुए / औपचारिक लिबास में / सुसज्जित,acchē kapaṛē pahanē huē / aupacārik libās mēṁ / susajjit
"dressed (standard, wearing clothes)",adjective,a2,,कपड़े पहने हुए / वस्त्रधारी,kapaṛē pahanē huē / vastradhārī
drive (motivation),noun,a2,,प्रेरणा (f) / लगन (f) / प्रोत्साहन (m),prēraṇā (f) / lagan (f) / prōtsāhan (m)
drop (sudden fall or decline),noun,a2,,गिरावट (f) / कमी (f) / पतन (m),girāvaṭa (f) / kamī (f) / patan (m)
drought,noun,a2,,सूखा (m) / अकाल (m) / दुष्काल (m),sūkhā (m) / akāl (m) / duṣkāl (m)
drum (container),noun,a2,,ड्रम (m) / पीपा (m) / बैरल (m),ḍram (m) / pīpā (m) / bairal (m)
"drunk (colloquial, slang)",adjective,a2,,नशे में / शराबी / मतवाला,naśē mēṁ / śarābī / matavālā
"drunk (slang, colloquial)",adjective,a2,,नशे में / शराबी / मतवाला,naśē mēṁ / śarābī / matavālā
due (appropriate),adjective,a2,,उचित / सही / वाजिब,ucit / sahī / vājib
due (expected time),adjective,a2,,निर्धारित / अपेक्षित / देय,nirdhārit / apēkṣit / dēy
"due (required, owed)",adjective,a2,,देय / बकाया / ज़रूरी,dēy / bakāyā / zarūrī
dust,noun,a2,,धूल (f) / गर्द (f) / रेणु (f),dhūl (f) / gard (f) / rēṇu (f)
duty,noun,a2,,फ़र्ज़ (m) / कर्तव्य (m) / ज़िम्मेदारी (f),farz (m) / kartavy (m) / zimmēdārī (f)
duty (moral obligation),noun,a2,,फ़र्ज़ (m) / कर्तव्य (m) / धर्म (m),farz (m) / kartavy (m) / dharm (m)
"duty (obligation, task)",noun,a2,,काम (m) / ज़िम्मेदारी (f) / कर्तव्य (m) / दायित्व (m),kām (m) / zimmēdārī (f) / kartavy (m) / dāyitv (m)
"duty (tax, tariff)",noun,a2,,शुल्क (m) / कर (m) / महसूल (m),śulk (m) / kar (m) / mahasūl (m)
earthquake,noun,a2,,भूकंप (m) / भूचाल (m),bhūkaṁp (m) / bhūcāl (m)
economic,adjective,a2,,आर्थिक,ārthik
economy (financial system),noun,a2,,अर्थव्यवस्था (f),arthavyavasthā (f)
economy (frugality),noun,a2,,बचत (f) / किफ़ायत (f) / मितव्ययिता (f),bacat (f) / kifāyat (f) / mitavyayitā (f)
edge (advantage),noun,a2,,फ़ायदा (m) / बढ़त (f) / लाभ (m),fāyadā (m) / baṛhat (f) / lābh (m)
edge (of a knife or blade),noun,a2,,धार (f),dhār (f)
edge (physical boundary),noun,a2,,किनारा (m) / छोर (m) / सीमा (f),kinārā (m) / chōr (m) / sīmā (f)
editor (publication staff),noun,a2,,संपादक (m) / संपादनकर्ता (m),saṁpādak (m) / saṁpādanakartā (m)
editor (software tool),noun,a2,,एडिटर (m) / संपादक (m),ēḍiṭar (m) / saṁpādak (m)
educational,adjective,a2,,शिक्षाप्रद / शैक्षिक,śikṣāprad / śaikṣik
"effective (operational, in force)",adjective,a2,,लागू / प्रभावी,lāgū / prabhāvī
effective (producing results),adjective,a2,,असरदार / कारगर / प्रभावी,asaradār / kāragar / prabhāvī
effectively (producing results),adverb,a2,,असरदार तरीक़े से / प्रभावी ढंग से,asaradār tarīqē sē / prabhāvī ḍhaṁg sē
"effectively (virtually, in essence)",adverb,a2,,असल में / वास्तव में / वस्तुतः,asal mēṁ / vāstav mēṁ / vastutaḥ
effects (personal belongings),noun,a2,,सामान (m) / निजी सामान (m) / असबाब (m),sāmān (m) / nijī sāmān (m) / asabāb (m)
"effort (attempt, endeavor)",noun,a2,,कोशिश (f) / प्रयास (m) / प्रयत्न (m),kōśiśa (f) / prayās (m) / prayatn (m)
"effort (hard work, toil)",noun,a2,,मेहनत (f) / परिश्रम (m) / मशक़्क़त (f),mēhanat (f) / pariśram (m) / maśaqqat (f)
election,noun,a2,,चुनाव (m) / निर्वाचन (m),cunāv (m) / nirvācan (m)
"electric (exciting, charged atmosphere)",adjective,a2,,रोमांचक / जोशीला / उत्तेजक,rōmāṁcak / jōśīlā / uttējak
element (part of a whole),noun,a2,,तत्व (m) / अंश (m) / घटक (m),tatv (m) / aṁśa (m) / ghaṭak (m)
embarrassed (ashamed),adjective,a2,,शर्मिंदा / लज्जित,śarmiṁdā / lajjit
embarrassed (awkwardly shy),adjective,a2,,झेंपा हुआ / संकोची,jhēṁpā huā / saṁkōcī
"embarrassing (humiliating, disgraceful)",adjective,a2,,शर्मनाक / अपमानजनक / लज्जाजनक,śarmanāk / apamānajanak / lajjājanak
"emergency (sudden crisis, medical need)",noun,a2,,आपातकाल (m) / इमरजेंसी (f) / संकट (m),āpātakāl (m) / imarajēṁsī (f) / saṁkaṭa (m)
"employee (subordinate, junior worker)",noun,a2,,कर्मचारी (m) / मुलाज़िम (m) / सेवक (m),karmacārī (m) / mulāzim (m) / sēvak (m)
employment (having a job),noun,a2,,रोज़गार (m) / नौकरी (f) / सेवा (f),rōzagār (m) / naukarī (f) / sēvā (f)
enemy,noun,a2,,दुश्मन (m) / शत्रु (m) / विरोधी (m),duśman (m) / śatru (m) / virōdhī (m)
"engaged (betrothed, committed to marry)",adjective,a2,,मंगनीशुदा / सगाईशुदा,maṁganīśudā / sagāīśudā
"engaged (busy, occupied)",adjective,a2,,व्यस्त / मसरूफ़ / लगा हुआ,vyast / masarūf / lagā huā
engineering (field of study),noun,a2,,इंजीनियरिंग (f) / अभियांत्रिकी (f),iṁjīniyariṁg (f) / abhiyāṁtrikī (f)
entertainment,noun,a2,,मनोरंजन (m) / तफ़रीह (f) / आमोद-प्रमोद (m),manōraṁjan (m) / tafarīh (f) / āmōd-pramōd (m)
entrance (act of entry),noun,a2,,प्रवेश (m) / दाख़िला (m) / आगमन (m),pravēśa (m) / dāk͟hilā (m) / āgaman (m)
"entrance (door, gate)",noun,a2,,दरवाज़ा (m) / प्रवेश द्वार (m) / प्रवेश मार्ग (m),daravāzā (m) / pravēśa dvār (m) / pravēśa mārg (m)
"entry (access, doorway)",noun,a2,,प्रवेश (m) / दाख़िला (m) / प्रवेश द्वार (m),pravēśa (m) / dāk͟hilā (m) / pravēśa dvār (m)
"entry (record, item)",noun,a2,,प्रविष्टि (f) / इंदराज़ (m),praviṣṭi (f) / iṁdarāz (m)
environmental,adjective,a2,,पर्यावरणीय / पारिस्थितिक / वातावरणीय,paryāvaraṇīy / pāristhitik / vātāvaraṇīy
episode (incident or event),noun,a2,,घटना (f) / प्रकरण (m) / क़िस्सा (m),ghaṭanā (f) / prakaraṇa (m) / qissā (m)
"episode (narrative, medical)",noun,a2,,कड़ी (f) / प्रकरण (m) / घटना (f),kaṛī (f) / prakaraṇa (m) / ghaṭanā (f)
"equal (in rights, status)",adjective,a2,,बराबर / समान / समतुल्य,barābar / samān / samatuly
equally,adverb,a2,,बराबर से / समान रूप से / एक समान,barābar sē / samān rūp sē / ēk samān
"escape (diversion, relief)",noun,a2,,छुटकारा (m) / राहत (f) / पलायन (m),chuṭakārā (m) / rāhat (f) / palāyan (m)
essential (necessary),adjective,a2,,ज़रूरी / आवश्यक / अनिवार्य,zarūrī / āvaśyak / anivāry
eventually (finally),adverb,a2,,आख़िरकार / अंततः / परिणामतः,āk͟hirakār / aṁtataḥ / pariṇāmataḥ
"except (but, unless)",conjunction,a2,,सिवाय / छोड़कर / के अलावा,sivāy / chōṛakar / kē alāvā
except (excluding someone or something),conjunction,a2,,के सिवाय / को छोड़कर / के अलावा,kē sivāy / kō chōṛakar / kē alāvā
"exchange (financial market, institution)",noun,a2,,एक्सचेंज (m) / विनिमय (m) / बाज़ार (m),ēksacēṁj (m) / vinimay (m) / bāzār (m)
