id,english_word,word_class,level,verb_transitivity,kannada_translation,transliteration
786,acquisition (corporate takeover),noun,c1,N/A,ಸ್ವಾಧೀನ / ವಶಪಡಿಸಿಕೊಳ್ಳುವಿಕೆ / ಖರೀದಿ,svādhīna / vaśapaḍisikoḷḷuvike / kharīdi
787,"acquisition (act of obtaining, gaining)",noun,c1,N/A,ಗಳಿಕೆ / ಸಂಪಾದನೆ / ಪಡೆದುಕೊಳ್ಳುವಿಕೆ / ಪ್ರಾಪ್ತಿ,gaḷike / saṁpādane / paḍedukoḷḷuvike / prāpti
788,acre,noun,c1,N/A,ಎಕರೆ,ekare
789,any (general selection),pronoun,a1,N/A,ಯಾವುದಾದರೂ / ಯಾವುದೇ / ಯಾವ ಆದರೂ,yāvudādarū / yāvudē / yāva ādarū
790,"any (some, if)",pronoun,a1,N/A,ಏನಾದರೂ / ಸ್ವಲ್ಪವಾದರೂ,ēnādarū / svalpavādarū
791,"any (item, choice)",pronoun,a1,N/A,ಯಾವುದಾದರೂ / ಯಾವುದೇ / ಯಾವ ಆದರೂ,yāvudādarū / yāvudē / yāva ādarū
792,"any (zero quantity, with negative verb)",pronoun,a1,N/A,ಏನೂ / ಯಾವುದೂ,ēnū / yāvudū
793,"any more (time, cessation, usually negative)",adverb,a2,N/A,ಇನ್ನು,innu
794,"any more (quantity, addition)",adverb,a2,N/A,ಇನ್ನಷ್ಟು / ಮತ್ತಷ್ಟು / ಹೆಚ್ಚು,innaṣṭu / mattaṣṭu / heccu
795,anybody (anyone at all),pronoun,a2,N/A,ಯಾರಾದರೂ / ಯಾರು ಬೇಕಾದರೂ,yārādarū / yāru bēkādarū
796,anybody (in questions or negative statements),pronoun,a2,N/A,ಯಾರೂ,yārū
797,"anyone (in questions, negatives)",pronoun,a1,N/A,ಯಾರೂ,yārū
798,"anyone (any person, affirmative)",pronoun,a1,N/A,ಯಾರಾದರೂ / ಯಾರು ಬೇಕಾದರೂ,yārādarū / yāru bēkādarū
799,"anything (thing, object, general indefinite)",pronoun,a1,N/A,ಏನಾದರೂ / ಏನು ಬೇಕಾದರೂ / ಯಾವುದನ್ನಾದರೂ,ēnādarū / ēnu bēkādarū / yāvudannādarū
800,anything (whatever the choice),pronoun,a1,N/A,ಯಾವುದನ್ನಾದರೂ / ಏನನ್ನಾದರೂ,yāvudannādarū / ēnannādarū
801,anyway (as a conversational transition),adverb,a2,N/A,ಹೇಗಾದರೂ / ಹೇಗಿದ್ದರೂ,hēgādarū / hēgiddarū
805,apart (separated by distance),adverb,b1,N/A,ದೂರದಲ್ಲಿ / ಬೇರೆಯಾಗಿ / ಪ್ರತ್ಯೇಕವಾಗಿ,dūradalli / bēreyāgi / pratyēkavāgi
806,apart (into pieces),adverb,b1,N/A,ತುಂಡುತುಂಡಾಗಿ / ಚೂರುಚೂರಾಗಿ / ಛಿದ್ರವಾಗಿ,tuṁḍutuṁḍāgi / cūrucūrāgi / chidravāgi
807,apartment,noun,a1,N/A,ಅಪಾರ್ಟ್ಮೆಂಟ್ / ಫ್ಲಾಟ್,apārṭmeṁṭ / phlāṭ
808,to apologize,verb,b1,intransitive,ಕ್ಷಮೆ ಕೇಳು / ಕ್ಷಮೆ ಯಾಚಿಸು,kṣame kēḷu / kṣame yācisu
809,apology,noun,b2,N/A,ಕ್ಷಮೆ / ಕ್ಷಮೆಯಾಚನೆ,kṣame / kṣameyācane
810,app,noun,a2,N/A,ಆ್ಯಪ್ / ಅಪ್ಲಿಕೇಶನ್,āyap / aplikēśan
811,apparatus (equipment),noun,c1,N/A,ಉಪಕರಣ / ಸಾಧನ / ಸಲಕರಣೆ,upakaraṇa / sādhana / salakaraṇe
812,apparatus (system),noun,c1,N/A,ಯಂತ್ರಾಂಗ / ವ್ಯವಸ್ಥೆ,yaṁtrāṁga / vyavasthe
813,apparent (clear),adjective,b2,N/A,ಸ್ಪಷ್ಟ / ಗೋಚರ / ಸುಲಭವಾಗಿ ಕಾಣುವ,spaṣṭa / gōcara / sulabhavāgi kāṇuva
814,apparent (seeming),adjective,b2,N/A,ತೋರುವ / ಅನಿಸುವ / ಮೇಲ್ನೋಟಕ್ಕೆ,tōruva / anisuva / mēlnōṭakke
815,"apparently (from what I hear, understand)",adverb,b2,N/A,ಅಂತೆ / ಕೇಳಿದ ಪ್ರಕಾರ,aṁte / kēḷida prakāra
816,"apparently (evidently, clearly visible)",adverb,b2,N/A,ಸ್ಪಷ್ಟವಾಗಿ / ಗೋಚರವಾಗಿ / ನಿಸ್ಸಂದೇಹವಾಗಿ,spaṣṭavāgi / gōcaravāgi / nissaṁdēhavāgi
817,appeal (formal request),noun,b2,N/A,ಮನವಿ / ಅರ್ಜಿ / ಪ್ರಾರ್ಥನೆ,manavi / arji / prārthane
818,"appeal (attraction, charm)",noun,b2,N/A,ಆಕರ್ಷಣೆ / ಸೆಳೆತ / ಮೋಡಿ,ākarṣaṇe / seḷeta / mōḍi
819,to appeal (a legal decision),verb,b2,intransitive,ಮೇಲ್ಮನವಿ ಸಲ್ಲಿಸು / ಮೇಲ್ಮನವಿ ಮಾಡು,mēlmanavi sallisu / mēlmanavi māḍu
820,"to appeal (for help, mercy)",verb,b2,intransitive,ಮನವಿ ಮಾಡು / ಪ್ರಾರ್ಥಿಸು / ಬೇಡಿಕೊ,manavi māḍu / prārthisu / bēḍiko
821,"to appeal (to be attractive, interesting)",verb,b2,intransitive,ಆಕರ್ಷಿಸು / ಸೆಳೆಯು / ಇಷ್ಟವಾಗು,ākarṣisu / seḷeyu / iṣṭavāgu
822,appealing,adjective,c1,N/A,ಆಕರ್ಷಕ / ಇಷ್ಟವಾಗುವ / ಮನಮೋಹಕ,ākarṣaka / iṣṭavāguva / manamōhaka
823,to appear (become visible),verb,a2,intransitive,ಕಾಣಿಸಿಕೊ / ಗೋಚರವಾಗು / ಪ್ರತ್ಯಕ್ಷವಾಗು,kāṇisiko / gōcaravāgu / pratyakṣavāgu
824,to appear (to seem),verb,a2,intransitive,ಅನಿಸು / ತೋರು / ಭಾಸವಾಗು,anisu / tōru / bhāsavāgu
825,appearance (physical look),noun,a2,N/A,ನೋಟ / ರೂಪ / ಆಕಾರ,nōṭa / rūpa / ākāra
826,"appearance (presence, arrival)",noun,a2,N/A,ಹಾಜರಿ / ಆಗಮನ / ಪ್ರವೇಶ,hājari / āgamana / pravēśa
828,"appetite (strong desire, zest)",noun,c1,N/A,ತೀವ್ರ ಬಯಕೆ / ಆಸೆ / ಅಭಿಲಾಷೆ,tīvra bayake / āse / abhilāṣe
829,to applaud (by clapping hands),verb,b2,intransitive,ಚಪ್ಪಾಳೆ ತಟ್ಟು / ಕರತಾಡನ ಮಾಡು,cappāḷe taṭṭu / karatāḍana māḍu
830,to applaud (to laud or commend),verb,c1,transitive,ಹೊಗಳು / ಶ್ಲಾಘಿಸು / ಕೊಂಡಾಡು,hogaḷu / ślāghisu / koṁḍāḍu
832,applicable,adjective,c1,N/A,ಅನ್ವಯವಾಗುವ / ಸಂಬಂಧಿಸಿದ / ಅನ್ವಯಿಸುವ,anvayavāguva / saṁbaṁdhisida / anvayisuva
833,applicant,noun,b2,N/A,ಅರ್ಜಿದಾರ / ಅಭ್ಯರ್ಥಿ,arjidāra / abhyarthi
834,application (formal request),noun,b1,N/A,ಅರ್ಜಿ / ಮನವಿ,arji / manavi
835,application (software),noun,b1,N/A,ಅಪ್ಲಿಕೇಶನ್ / ಆ್ಯಪ್,aplikēśan / āyap
836,"to apply (cream, ointment)",verb,a2,transitive,ಹಚ್ಚು / ಲೇಪಿಸು / ಸವರು,haccu / lēpisu / savaru
837,"to apply (for a job, loan)",verb,a2,transitive,ಅರ್ಜಿ ಸಲ್ಲಿಸು / ಅರ್ಜಿ ಹಾಕು,arji sallisu / arji hāku
838,"to appoint (to set a time, place)",verb,c1,transitive,ನಿಗದಿಪಡಿಸು / ನಿರ್ಧರಿಸು / ಏರ್ಪಡಿಸು,nigadipaḍisu / nirdharisu / ērpaḍisu
839,appointment (scheduled meeting),noun,b1,N/A,ಭೇಟಿ / ನೇಮಕ,bhēṭi / nēmaka
840,appointment (assignment to a position),noun,b2,N/A,ನೇಮಕಾತಿ / ನೇಮಕ,nēmakāti / nēmaka
841,"to appreciate (value, admire)",verb,b1,transitive,ಮೆಚ್ಚು / ಪ್ರಶಂಸಿಸು / ಗೌರವಿಸು,meccu / praśaṁsisu / gauravisu
842,to appreciate (be grateful for),verb,b1,transitive,ಕೃತಜ್ಞತೆ ವ್ಯಕ್ತಪಡಿಸು / ಧನ್ಯವಾದ ಹೇಳು / ಅಭಿನಂದಿಸು,kr̥tajñate vyaktapaḍisu / dhanyavāda hēḷu / abhinaṁdisu
843,appreciation (gratitude),noun,b2,N/A,ಕೃತಜ್ಞತೆ / ವಂದನೆ,kr̥tajñate / vaṁdane
844,appreciation (understanding of value),noun,c1,N/A,ಮೆಚ್ಚುಗೆ / ಪ್ರಶಂಸೆ / ಗೌರವ,meccuge / praśaṁse / gaurava
845,appreciation (increase in financial value),noun,c1,N/A,ಮೌಲ್ಯ ವರ್ಧನೆ / ಬೆಲೆ ಏರಿಕೆ,maulya vardhane / bele ērike
846,"approach (method, strategy)",noun,b2,N/A,ವಿಧಾನ / ಕಾರ್ಯತಂತ್ರ / ಮಾರ್ಗ,vidhāna / kāryataṁtra / mārga
847,"approach (physical proximity, arrival)",noun,b2,N/A,ಸಮೀಪಿಸುವಿಕೆ / ಆಗಮನ / ಹತ್ತಿರವಾಗುವಿಕೆ,samīpisuvike / āgamana / hattiravāguvike
848,"approach (proposal, overture)",noun,b2,N/A,ಪ್ರಸ್ತಾವನೆ / ಸಲಹೆ / ನಿವೇದನೆ,prastāvane / salahe / nivēdane
849,to approach (a problem or task),verb,b2,transitive,ನಿಭಾಯಿಸು / ನಿರ್ವಹಿಸು / ಎದುರಿಸು,nibhāyisu / nirvahisu / edurisu
850,to approach (a person with a request),verb,b2,transitive,ಸಂಪರ್ಕಿಸು / ಸಮೀಪಿಸು,saṁparkisu / samīpisu
851,appropriate,adjective,b2,N/A,ಸೂಕ್ತ / ಯೋಗ್ಯ / ಸರಿಯಾದ,sūkta / yōgya / sariyāda
852,appropriately (suitably or worthily),adverb,b2,N/A,ಸೂಕ್ತವಾಗಿ / ಯೋಗ್ಯವಾಗಿ / ಸರಿಯಾಗಿ,sūktavāgi / yōgyavāgi / sariyāgi
853,appropriately (in accordance with requirements),adverb,b2,N/A,ನಿಯಮಾನುಸಾರವಾಗಿ / ನಿಯಮಬದ್ಧವಾಗಿ / ವಿಧಿಬದ್ಧವಾಗಿ,niyamānusāravāgi / niyamabaddhavāgi / vidhibaddhavāgi
854,approval (official sanction),noun,b2,N/A,ಮಂಜೂರಾತಿ / ಅನುಮೋದನೆ / ಅಂಗೀಕಾರ,maṁjūrāti / anumōdane / aṁgīkāra
855,"approval (consent, permission)",noun,b2,N/A,ಒಪ್ಪಿಗೆ / ಅನುಮತಿ / ಸಮ್ಮತಿ,oppige / anumati / sammati
856,"to approve (officially sanction a proposal, plan)",verb,b2,transitive,ಮಂಜೂರು ಮಾಡು / ಅನುಮೋದಿಸು / ಅಂಗೀಕರಿಸು,maṁjūru māḍu / anumōdisu / aṁgīkarisu
857,to approve (agree with; find acceptable),verb,b2,transitive,ಒಪ್ಪಿಕೋ / ಸಮ್ಮತಿಸು / ಅಂಗೀಕರಿಸು,oppikō / sammatisu / aṁgīkarisu
858,"approximately (as an estimate, roughly)",adverb,b1,N/A,ಸುಮಾರು / ಅಂದಾಜು / ಕಡಿಮೆ ಹೆಚ್ಚು,sumāru / aṁdāju / kaḍime heccu
859,april,noun,a1,N/A,ಏಪ್ರಿಲ್,ēpril
860,arbitrary (of power or rule),adjective,c1,N/A,ನಿರಂಕುಶ / ಸ್ವೇಚ್ಛಾಚಾರದ / ಮನಸೋಇಚ್ಛೆಯ,niraṁkuśa / svēcchācārada / manasōiccheya
861,architect (of a policy or plan),noun,a2,N/A,ರೂವಾರಿ / ಶಿಲ್ಪಿ / ನಿರ್ಮಾಪಕ,rūvāri / śilpi / nirmāpaka
862,architect (building designer),noun,a2,N/A,ವಾಸ್ತುಶಿಲ್ಪಿ / ಕಟ್ಟಡ ವಿನ್ಯಾಸಕ,vāstuśilpi / kaṭṭaḍa vinyāsaka
863,architectural,adjective,c1,N/A,ವಾಸ್ತುಶಿಲ್ಪದ / ವಾಸ್ತು ಸಂಬಂಧಿ,vāstuśilpada / vāstu saṁbaṁdhi
864,architecture,noun,a2,N/A,ವಾಸ್ತುಶಿಲ್ಪ / ಕಟ್ಟಡ ವಿನ್ಯಾಸ,vāstuśilpa / kaṭṭaḍa vinyāsa
865,archive (digital file),noun,c1,N/A,ಆರ್ಕೈವ್ / ದಾಖಲೆ ಸಂಗ್ರಹ,ārkaiv / dākhale saṁgraha
866,area (measurement),noun,a1,N/A,ವಿಸ್ತೀರ್ಣ / ಕ್ಷೇತ್ರಫಲ,vistīrṇa / kṣētraphala
867,arena (physical venue),noun,c1,N/A,ರಂಗಸ್ಥಳ / ಕ್ರೀಡಾಂಗಣ / ಅಖಾಡ,raṁgasthaḷa / krīḍāṁgaṇa / akhāḍa
868,arena (sphere of activity),noun,c1,N/A,ಕ್ಷೇತ್ರ / ರಂಗ / ವಲಯ,kṣētra / raṁga / valaya
869,arguably,adverb,c1,N/A,ವಾದಯೋಗ್ಯವಾಗಿ / ಚರ್ಚಾಸ್ಪದವಾಗಿ,vādayōgyavāgi / carcāspadavāgi
870,to argue (to debate or state a position),verb,a2,intransitive,ವಾದಿಸು / ತರ್ಕಿಸು / ಚರ್ಚಿಸು,vādisu / tarkisu / carcisu
871,argument (logical basis),noun,a2,N/A,ವಾದ / ತರ್ಕ / ಆಧಾರ,vāda / tarka / ādhāra
872,"to arise (to emerge, to occur)",verb,b2,intransitive,ಉಂಟಾಗು / ಸಂಭವಿಸು / ಮೂಡಿಬರು,uṁṭāgu / saṁbhavisu / mūḍibaru
873,to arise (to get up physically),verb,b2,intransitive,ಏಳು / ಎದ್ದು ನಿಲ್ಲು / ಮೇಲೇಳು,ēḷu / eddu nillu / mēlēḷu
874,"arm (weapon, firearm)",noun,b1,N/A,ಆಯುಧ / ಶಸ್ತ್ರ / ಬಂದೂಕು,āyudha / śastra / baṁdūku
875,to arm (with weapons),verb,c1,transitive,ಶಸ್ತ್ರಸಜ್ಜಿತಗೊಳಿಸು / ಆಯುಧ ಒದಗಿಸು,śastrasajjitagoḷisu / āyudha odagisu
876,"to arm (a device, system)",verb,c1,transitive,ಸಕ್ರಿಯಗೊಳಿಸು / ಚಾಲನೆಗೊಳಿಸು,sakriyagoḷisu / cālanegoḷisu
877,armed (with information or facts),adjective,b2,N/A,ಸಜ್ಜಿತ / ಸಂಪನ್ನ / ಸಿದ್ಧ,sajjita / saṁpanna / siddha
878,arms (body parts),noun,b2,N/A,ತೋಳುಗಳು,tōḷugaḷu
879,arms (weapons),noun,b2,N/A,ಶಸ್ತ್ರಾಸ್ತ್ರಗಳು / ಆಯುಧಗಳು,śastrāstragaḷu / āyudhagaḷu
880,"army (multitude, large group)",noun,a2,N/A,ದಂಡು / ಸೇನೆ / ಪಡೆ,daṁḍu / sēne / paḍe
881,"around (movement, periphery)",adverb,a1,N/A,ಸುತ್ತಲೂ / ಸುತ್ತಮುತ್ತ,suttalū / suttamutta
882,"around (nearby, in the vicinity)",adverb,a1,N/A,ಹತ್ತಿರದಲ್ಲಿ / ಸಮೀಪದಲ್ಲಿ,hattiradalli / samīpadalli
883,around (approximately),adverb,a1,N/A,ಸುಮಾರು / ಅಂದಾಜು,sumāru / aṁdāju
884,around (approximate time or quantity),preposition,a1,N/A,ಸುಮಾರು / ಅಂದಾಜು,sumāru / aṁdāju
885,around (surrounding something or moving in a circle),preposition,a1,N/A,ಸುತ್ತ / ಸುತ್ತಲೂ,sutta / suttalū
886,around (nearby or in the vicinity),preposition,a1,N/A,ಹತ್ತಿರ / ಸಮೀಪ,hattira / samīpa
887,to arrange (objects or appearance),verb,a2,transitive,ವ್ಯವಸ್ಥೆ ಮಾಡು / ಸರಿಪಡಿಸು / ಕ್ರಮಬದ್ಧಗೊಳಿಸು,vyavasthe māḍu / saripaḍisu / kramabaddhagoḷisu
888,to arrange (objects neatly),verb,a2,transitive,ಒಂದು ಕ್ರಮದಲ್ಲಿ ಇಡು / ಸರಿಪಡಿಸು / ಅಚ್ಚುಕಟ್ಟಾಗಿ ಇಡು,oṁdu kramadalli iḍu / saripaḍisu / accukaṭṭāgi iḍu
889,to arrange (a meeting or plan),verb,a2,transitive,ವ್ಯವಸ್ಥೆ ಮಾಡು / ಏರ್ಪಡಿಸು / ಯೋಜಿಸು,vyavasthe māḍu / ērpaḍisu / yōjisu
890,"arrangement (planning, organization)",noun,a2,N/A,ವ್ಯವಸ್ಥೆ / ಏರ್ಪಾಡು / ಯೋಜನೆ,vyavasthe / ērpāḍu / yōjane
891,"arrangement (agreement, deal)",noun,a2,N/A,ಒಪ್ಪಂದ / ಕರಾರು / ಸಮ್ಮತಿ,oppaṁda / karāru / sammati
892,arrangement (setting up a deal),noun,a2,N/A,ವ್ಯವಹಾರ / ಒಪ್ಪಂದ / ಸೌದೆ,vyavahāra / oppaṁda / saude
893,array (collection),noun,c1,N/A,ಸಂಗ್ರಹ / ವೈವಿಧ್ಯ / ಸಮೂಹ,saṁgraha / vaividhya / samūha
894,array (data structure),noun,c1,N/A,ಸರಣಿ / ಶ್ರೇಣಿ / ಅರೇ,saraṇi / śrēṇi / arē
895,arrest,noun,b1,N/A,ಬಂಧನ / ದಸ್ತಗಿರಿ / ಸೆರೆ,baṁdhana / dastagiri / sere
896,"to arrest (legal, custodial)",verb,b1,transitive,ಬಂಧಿಸು / ದಸ್ತಗಿರಿ ಮಾಡು / ಸೆರೆಹಿಡಿ,baṁdhisu / dastagiri māḍu / serehiḍi
897,"to arrest (to stop, halt progression)",verb,b2,transitive,ತಡೆಗಟ್ಟು / ನಿಲ್ಲಿಸು / ತಡೆಹಿಡಿ,taḍegaṭṭu / nillisu / taḍehiḍi
898,arrival (general),noun,b1,N/A,ಬರುವಿಕೆ / ಆಗಮನ,baruvike / āgamana
899,arrival (formal),noun,b1,N/A,ಆಗಮನ / ಸಂದರ್ಶನ,āgamana / saṁdarśana
900,"blessing (boon, great advantage)",noun,c1,N/A,ವರದಾನ / ಆಶೀರ್ವಾದ / ವರ / ಶುಭ,varadāna / āśīrvāda / vara / śubha
901,"blind (unquestioning, unaware)",adjective,b2,N/A,ಕುರುಡು / ಅಂಧ / ಅಜ್ಞಾನಿ / ವಿವೇಚನಾರಹಿತ,kuruḍu / aṁdha / ajñāni / vivēcanārahita
902,block (physical piece),noun,b1,N/A,ದಿಮ್ಮಿ / ಗಟ್ಟಿ / ತುಂಡು / ಘನ,dimmi / gaṭṭi / tuṁḍu / ghana
903,block (obstruction),noun,b1,N/A,ತಡೆ / ಅಡಚಣೆ / ಅಡ್ಡಿ / ಪ್ರತಿಬಂಧ,taḍe / aḍacaṇe / aḍḍi / pratibaṁdha
904,block (building structure),noun,b1,N/A,ಬ್ಲಾಕ್ / ವಿಭಾಗ / ಕಟ್ಟಡದ ಭಾಗ,blāk / vibhāga / kaṭṭaḍada bhāga
905,to block (a path or view),verb,b1,transitive,ತಡೆ / ಅಡ್ಡ ಹಾಕು / ತಡೆಗಟ್ಟು / ಮರೆಮಾಡು,taḍe / aḍḍa hāku / taḍegaṭṭu / maremāḍu
906,to block (digital access),verb,b1,transitive,ಬ್ಲಾಕ್ ಮಾಡು / ನಿರ್ಬಂಧಿಸು / ತಡೆಹಿಡಿ,blāk māḍu / nirbaṁdhisu / taḍehiḍi
907,blog,noun,a1,N/A,ಬ್ಲಾಗ್,blāg
908,blonde,adjective,a1,N/A,ಹೊಂಬಣ್ಣದ / ಹೊನ್ನಿನ ಬಣ್ಣದ,hoṁbaṇṇada / honnina baṇṇada
909,blood,noun,a2,N/A,ರಕ್ತ / ನೆತ್ತರು,rakta / nettaru
910,blow (strike),noun,b2,N/A,ಪೆಟ್ಟು / ಹೊಡೆತ / ಪ್ರಹಾರ,peṭṭu / hoḍeta / prahāra
911,blow (setback or shock),noun,b2,N/A,ಆಘಾತ / ಹಿನ್ನಡೆ / ದುರದೃಷ್ಟ,āghāta / hinnaḍe / duradr̥ṣṭa
912,"to blow (wind, air movement)",verb,a2,intransitive,ಬೀಸು,bīsu
913,"to blow (air out of mouth, e.g., candle)",verb,a2,transitive,ಊದು,ūdu
914,"to blow (a horn, whistle)",verb,a2,transitive,ಊದು,ūdu
915,blue,adjective,a1,N/A,ನೀಲಿ,nīli
916,blue,noun,a1,N/A,ನೀಲಿ,nīli
917,"board (plank, physical surface)",noun,a2,N/A,ಹಲಗೆ / ಫಲಕ / ಮರದ ಹಲಗೆ,halage / phalaka / marada halage
918,"board (committee, governing body)",noun,a2,N/A,ಮಂಡಳಿ / ಸಮಿತಿ / ನಿರ್ದೇಶಕ ಮಂಡಳಿ,maṁḍaḷi / samiti / nirdēśaka maṁḍaḷi
919,to board (a vehicle),verb,b1,transitive,ಏರು / ಹತ್ತು,ēru / hattu
920,to board (to receive lodging and meals),verb,b1,intransitive,ವಸತಿ-ಊಟ ಪಡೆ / ವಸತಿ ಮಾಡು,vasati-ūṭa paḍe / vasati māḍu
921,to boast (bragging about oneself),verb,c1,intransitive,ಕೊಚ್ಚಿಕೊ / ಬಡಿವಾರ ಹೇಳು / ಹೆಗ್ಗಳಿಕೆ ಹೇಳು,kocciko / baḍivāra hēḷu / heggaḷike hēḷu
922,to boast (of possessing an impressive feature),verb,c1,transitive,ಹೆಗ್ಗಳಿಕೆ ಹೊಂದು / ಹೆಮ್ಮೆ ಪಡು / ಮೆರೆ,heggaḷike hoṁdu / hemme paḍu / mere
923,boat,noun,a1,N/A,ದೋಣಿ / ನಾವೆ,dōṇi / nāve
924,body,noun,a1,N/A,ದೇಹ / ಶರೀರ / ಮೈ / ಕಾಯ,dēha / śarīra / mai / kāya
925,"to boil (of liquid, naturally)",verb,a2,intransitive,ಕುದಿ,kudi
926,"to boil (to cook, cause to boil)",verb,a2,transitive,ಕುದಿಸು,kudisu
927,bold (courageous),adjective,b2,N/A,ಧೈರ್ಯಶಾಲಿ / ಧೀರ / ಸಾಹಸಿ / ನಿರ್ಭೀತ,dhairyaśāli / dhīra / sāhasi / nirbhīta
928,bold (striking appearance),adjective,b2,N/A,ಎದ್ದುಕಾಣುವ / ಆಕರ್ಷಕ / ಗಮನ ಸೆಳೆಯುವ,eddukāṇuva / ākarṣaka / gamana seḷeyuva
929,bold (typeface),adjective,b2,N/A,ದಪ್ಪ / ದಪ್ಪ ಅಕ್ಷರದ,dappa / dappa akṣarada
930,bomb,noun,b1,N/A,ಬಾಂಬ್ / ಸ್ಫೋಟಕ,bāṁb / sphōṭaka
931,to bomb (attack with explosives),verb,b1,transitive,ಬಾಂಬ್ ಹಾಕು / ಬಾಂಬ್ ದಾಳಿ ಮಾಡು,bāṁb hāku / bāṁb dāḷi māḍu
932,to bomb (fail spectacularly),verb,b1,intransitive,ಸಂಪೂರ್ಣವಾಗಿ ವಿಫಲವಾಗು / ಸಂಪೂರ್ಣವಾಗಿ ಸೋಲು / ಅಪಜಯ ಹೊಂದು,saṁpūrṇavāgi viphalavāgu / saṁpūrṇavāgi sōlu / apajaya hoṁdu
933,bombing,noun,b2,N/A,ಬಾಂಬ್ ದಾಳಿ / ಬಾಂಬ್ ಸ್ಫೋಟ,bāṁb dāḷi / bāṁb sphōṭa
934,bond (relationship),noun,b2,N/A,ಬಾಂಧವ್ಯ / ಸಂಬಂಧ / ಬಂಧ / ಅನುಬಂಧ,bāṁdhavya / saṁbaṁdha / baṁdha / anubaṁdha
935,bond (financial instrument),noun,b2,N/A,ಋಣಪತ್ರ / ಬಾಂಡ್,r̥ṇapatra / bāṁḍ
936,bone,noun,a2,N/A,ಮೂಳೆ,mūḷe
937,bonus,noun,c1,N/A,ಬೋನಸ್ / ಹೆಚ್ಚುವರಿ ಸಂಭಾವನೆ / ಪ್ರೋತ್ಸಾಹಧನ,bōnas / heccuvari saṁbhāvane / prōtsāhadhana
938,book,noun,a1,N/A,ಪುಸ್ತಕ / ಹೊತ್ತಿಗೆ / ಕಿತಾಬು,pustaka / hottige / kitābu
939,to book (to reserve a ticket or room),verb,a2,transitive,ಕಾಯ್ದಿರಿಸು / ಬುಕ್ ಮಾಡು,kāydirisu / buk māḍu
940,to book (to register an official charge),verb,a2,transitive,ಕೇಸು ದಾಖಲಿಸು / ದೂರು ದಾಖಲಿಸು / ದಾಖಲಿಸು,kēsu dākhalisu / dūru dākhalisu / dākhalisu
941,"booking (reprimand, caution)",noun,b2,N/A,ದಾಖಲಾದ ಎಚ್ಚರಿಕೆ / ಎಚ್ಚರಿಕೆ / ತಿರಸ್ಕಾರ,dākhalāda eccarike / eccarike / tiraskāra
942,boom (economic growth),noun,c1,N/A,ತೀವ್ರ ಬೆಳವಣಿಗೆ / ಆರ್ಥಿಕ ಪ್ರಗತಿ / ಏರಿಕೆ,tīvra beḷavaṇige / ārthika pragati / ērike
943,boom (sound),noun,c1,N/A,ಘರ್ಜನೆ / ಗುಡುಗು / ದೊಡ್ಡ ಶಬ್ದ,gharjane / guḍugu / doḍḍa śabda
944,boost (increase or improvement),noun,b2,N/A,ಉತ್ತೇಜನ / ಪ್ರೋತ್ಸಾಹ / ಸುಧಾರಣೆ,uttējana / prōtsāha / sudhāraṇe
945,"boost (increase in sales, figures)",noun,b2,N/A,ಹೆಚ್ಚಳ / ವೃದ್ಧಿ / ಏರಿಕೆ,heccaḷa / vr̥ddhi / ērike
946,boost (morale),noun,b2,N/A,ಹುರಿದುಂಬಿಸುವಿಕೆ / ಪ್ರೋತ್ಸಾಹ / ಮನೋಬಲ ಹೆಚ್ಚಳ,huriduṁbisuvike / prōtsāha / manōbala heccaḷa
947,boost (act of lifting or helping),noun,b2,N/A,ಸಹಾಯ / ನೆರವು / ಬೆಂಬಲ,sahāya / neravu / beṁbala
948,boost (physical lift),noun,b2,N/A,ಮೇಲಕ್ಕೆ ಎತ್ತುವಿಕೆ / ಎತ್ತುವಿಕೆ,mēlakke ettuvike / ettuvike
949,to boost (to increase),verb,b2,transitive,ಹೆಚ್ಚಿಸು / ವೃದ್ಧಿಸು / ಏರಿಸು,heccisu / vr̥ddhisu / ērisu
950,"to boost (to encourage, support)",verb,b2,transitive,ಹುರಿದುಂಬಿಸು / ಪ್ರೋತ್ಸಾಹಿಸು / ಬೆಂಬಲಿಸು,huriduṁbisu / prōtsāhisu / beṁbalisu
951,boot,noun,a1,N/A,ಬೂಟು,būṭu
952,border (geographical boundary),noun,b1,N/A,ಗಡಿ / ಸೀಮೆ / ಎಲ್ಲೆ,gaḍi / sīme / elle
953,border (edge or rim),noun,b1,N/A,ಅಂಚು / ತುದಿ / ಬದಿ,aṁcu / tudi / badi
954,to border (be adjacent to),verb,b2,intransitive,ಗಡಿ ಹಂಚಿಕೊ / ಅಂಟಿಕೊ / ಸೇರಿಕೊಂಡಿರು,gaḍi haṁciko / aṁṭiko / sērikoṁḍiru
955,to border (verge on),verb,b2,intransitive,ಸಮೀಪಿಸು / ಹತ್ತಿರವಾಗು / ಹತ್ತಿರವಿರು,samīpisu / hattiravāgu / hattiraviru
956,to border (add a decorative edge),verb,b2,transitive,ಅಂಚು ಹಾಕು / ಅಂಚು ಕಟ್ಟು / ಅಲಂಕರಿಸು,aṁcu hāku / aṁcu kaṭṭu / alaṁkarisu
957,bored,adjective,a1,N/A,ಬೇಸರಗೊಂಡ / ಬೇಸರವಾದ / ನೀರಸವಾದ,bēsaragoṁḍa / bēsaravāda / nīrasavāda
