id,english_word,word_class,level,verb_transitivity,target_translation,transliteration
2705,"temperature (fever, illness)",noun,a2,nan,காய்ச்சல் / உடல் வெப்பநிலை,kāyccal / uṭal veppanilai
2706,term (period of time),noun,a2,nan,காலம் / தவணை / பருவம்,kālam / tavaṇai / paruvam
2707,term (word or phrase),noun,a2,nan,சொல் / பதம் / கலைச்சொல்,col / patam / kalaiccol
2708,terrible (causing dread or fear),adjective,a2,nan,பயங்கரமான / கொடூரமான / மோசமான,payaṅkaramāṉa / koṭūramāṉa / mōcamāṉa
2709,terrifying,adjective,a2,nan,திகிலூட்டும் / அச்சுறுத்தும் / பயமுறுத்தும்,tikilūṭṭum / accuṟuttum / payamuṟuttum
2710,themselves (on their own),pronoun,a2,nan,அவர்களாகவே / அவர்களே,avarkaḷākavē / avarkaḷē
2711,"thick (consistency, density)",adjective,a2,nan,கெட்டியான / அடர்த்தியான,keṭṭiyāṉa / aṭarttiyāṉa
2712,"thick (dimension, width)",adjective,a2,nan,தடித்த / கனமான,taṭitta / kaṉamāṉa
2713,thief,noun,a2,nan,திருடன் / கள்ளன்,tiruṭaṉ / kaḷḷaṉ
2714,"thin (liquid, consistency)",adjective,a2,nan,நீர்த்த / மெல்லிய,nīrtta / melliya
2715,"thin (object, layer)",adjective,a2,nan,மெல்லிய / சன்னமான,melliya / caṉṉamāṉa
2716,"thin (person, animal)",adjective,a2,nan,ஒல்லியான / மெலிந்த,olliyāṉa / melinta
2717,thinking (deep reflection or philosophy),noun,a2,nan,சிந்தனை / தத்துவம்,cintaṉai / tattuvam
2718,thinking (general consideration),noun,a2,nan,யோசனை / எண்ணம் / சிந்தனை,yōcaṉai / eṇṇam / cintaṉai
2719,"third (fraction, 1, 3)",noun,a2,nan,மூன்றில் ஒரு பங்கு / மூன்றில் ஒன்று,mūṉṟil oru paṅku / mūṉṟil oṉṟu
2720,"third (fraction, 1/3)",noun,a2,nan,மூன்றில் ஒரு பங்கு / மூன்றில் ஒன்று,mūṉṟil oru paṅku / mūṉṟil oṉṟu
2721,third (ordinal number),ordinal number,a2,nan,மூன்றாவது / மூன்றாம்,mūṉṟāvatu / mūṉṟām
2722,thought (contemplation),noun,a2,nan,சிந்தனை / எண்ணம்,cintaṉai / eṇṇam
2723,"through (finished, completed)",adverb,a2,nan,முழுமையாக / நிறைவாக,muḻumaiyāka / niṟaivāka
2724,"tie (equal score, draw)",noun,a2,nan,சமநிலை / போட்டி சமன்,camanilai / pōṭṭi camaṉ
2725,tie (neckwear),noun,a2,nan,டை / கழுத்துப்பட்டி,ṭai / kaḻuttuppaṭṭi
2726,"tip (advice, suggestion)",noun,a2,nan,ஆலோசனை / யோசனை / குறிப்பு,ālōcaṉai / yōcaṉai / kuṟippu
2727,"tip (end, point)",noun,a2,nan,முனை / நுனி,muṉai / nuṉi
2728,tip (gratuity),noun,a2,nan,டிப்ஸ் / சன்மானம் / பரிசுத்தொகை,ṭips / caṉmāṉam / paricuttokai
2729,"tired (fed up with, bored)",adjective,a2,nan,சலிப்படைந்த / சோர்வடைந்த,calippaṭainta / cōrvaṭainta
2730,"title (designation, rank)",noun,a2,nan,பதவி / பட்டம் / பட்டப்பெயர்,patavi / paṭṭam / paṭṭappeyar
2731,"to accept (a gift, payment)",verb,a2,transitive,ஏற்றுக்கொள் / பெற்றுக்கொள்,ēṟṟukkoḷ / peṟṟukkoḷ
2732,"to accept (an offer, agreement)",verb,a2,transitive,ஏற்றுக்கொள் / ஒப்புக்கொள்,ēṟṟukkoḷ / oppukkoḷ
2733,to achieve,verb,a2,transitive,சாதி / அடை,cāti / aṭai
2734,to act (perform a role),verb,a2,intransitive,நடி,naṭi
2735,to act (take action),verb,a2,intransitive,செயல்படு / செய்,ceyalpaṭu / cey
2736,to advertise (to publicize an event or idea),verb,a2,transitive,விளம்பரப்படுத்து / அறிவி,viḷamparappaṭuttu / aṟivi
2737,to affect (to damage or cause trouble),verb,a2,transitive,பாதி / தாக்கு,pāti / tākku
2738,to allow,verb,a2,transitive,அனுமதி / விடு,aṉumati / viṭu
2739,to appear (become visible),verb,a2,intransitive,தோன்று / காட்சி கொடு,tōṉṟu / kāṭci koṭu
2740,to appear (to seem),verb,a2,intransitive,தோன்று / படு,tōṉṟu / paṭu
2741,"to apply (cream, ointment)",verb,a2,transitive,பூசு / தேய்,pūcu / tēy
2742,"to apply (for a job, loan)",verb,a2,transitive,விண்ணப்பி / கேள்,viṇṇappi / kēḷ
2743,to argue (to debate or state a position),verb,a2,intransitive,வாதிடு / விவாதி,vātiṭu / vivāti
2744,to arrange (a meeting or plan),verb,a2,transitive,ஏற்பாடு செய் / திட்டமிடு,ēṟpāṭu cey / tiṭṭamiṭu
2745,to arrange (objects neatly),verb,a2,transitive,அடுக்கு / ஒழுங்குபடுத்து,aṭukku / oḻuṅkupaṭuttu
2746,to arrange (objects or appearance),verb,a2,transitive,அடுக்கு / ஒழுங்குபடுத்து / சீர்படுத்து,aṭukku / oḻuṅkupaṭuttu / cīrpaṭuttu
2747,"to ask (a question, inquire)",verb,a2,transitive,கேள் / விசாரி,kēḷ / vicāri
2748,to attack (physically or militarily),verb,a2,transitive,தாக்கு,tākku
2749,to attack (verbally or criticize strongly),verb,a2,transitive,தாக்கு / விமர்சி,tākku / vimarci
2750,"to attend (a meeting, class)",verb,a2,intransitive,கலந்துகொள் / பங்குபெறு,kalantukoḷ / paṅkupeṟu
2751,"to avoid (shirk, evade a responsibility or person)",verb,a2,transitive,தவிர் / விலகு,tavir / vilaku
2752,to be supposed to (obligation),verb,a2,nan,வேண்டி இரு / கடமைப்படு,vēṇṭi iru / kaṭamaippaṭu
2753,to be surprised (feel astonishment),verb,a2,intransitive,ஆச்சரியப்படு / வியப்படை,āccariyappaṭu / viyappaṭai
2754,to be the lead actor,verb,a2,transitive,முன்னணி ஏற்று நடி / தலைமை ஏற்று நடி / முக்கிய வேடம் ஏற்று நடி,muṉṉaṇi ēṟṟu naṭi / talaimai ēṟṟu naṭi / mukkiya vēṭam ēṟṟu naṭi
2755,to be used to (accustomed to),modal verb,a2,nan,பழகு / பழகிக்கொள்,paḻaku / paḻakikkoḷ
2756,to beat (heart or pulse),verb,a2,intransitive,துடி / அடி,tuṭi / aṭi
2757,to beat (to defeat in competition),verb,a2,transitive,தோற்கடி / வெல்,tōṟkaṭi / vel
2758,to beat (to whisk ingredients),verb,a2,transitive,அடி / கலக்கு,aṭi / kalakku
2759,to behave (to act or react),verb,a2,intransitive,நடந்துகொள் / செயல்படு,naṭantukoḷ / ceyalpaṭu
2760,"to belong (to a group, place)",verb,a2,intransitive,சேர் / சேர்ந்திரு,cēr / cērntiru
2761,to belong (to be owned by),verb,a2,intransitive,சொந்தமாக இரு / உரிமையாயிரு,contamāka iru / urimaiyāyiru
2762,"to blow (a horn, whistle)",verb,a2,transitive,ஊது,ūtu
2763,"to blow (air out of mouth, e.g., candle)",verb,a2,transitive,ஊது,ūtu
2764,"to blow (wind, air movement)",verb,a2,intransitive,வீசு / அடி,vīcu / aṭi
2765,"to boil (of liquid, naturally)",verb,a2,intransitive,கொதி,koti
2766,"to boil (to cook, cause to boil)",verb,a2,transitive,கொதிக்க வை / வேகவை,kotikka vai / vēkavai
2767,to book (to register an official charge),verb,a2,transitive,பதிவுசெய் / வழக்குப்பதிவு செய்,pativucey / vaḻakkuppativu cey
2768,to book (to reserve a ticket or room),verb,a2,transitive,முன்பதிவு செய் / பதிவுசெய்,muṉpativu cey / pativucey
2769,to brush (hair),verb,a2,transitive,சீவு / வாரிவிடு,cīvu / vāriviṭu
2770,"to brush (teeth, scrubbing)",verb,a2,transitive,துலக்கு,tulakku
2771,to build (to construct or establish formally),verb,a2,transitive,கட்டு / நிர்மாணி / உருவாக்கு,kaṭṭu / nirmāṇi / uruvākku
2772,to burn (to be on fire),verb,a2,intransitive,எரி,eri
2773,to burn (to destroy by fire),verb,a2,transitive,எரி / எரியூட்டு,eri / eriyūṭṭu
2774,to butter (apply butter),noun,a2,transitive,வெண்ணெய் பூசு / வெண்ணெய் தடவு,veṇṇey pūcu / veṇṇey taṭavu
2775,to camp,verb,a2,nan,முகாமிடு / தங்கு,mukāmiṭu / taṅku
2776,"to care (about something, someone)",verb,a2,intransitive,கவலைப்படு / அக்கறை காட்டு,kavalaippaṭu / akkaṟai kāṭṭu
2777,"to care (for, to look after)",verb,a2,transitive,கவனி / பார்த்துக்கொள்,kavaṉi / pārttukkoḷ
2778,to catch (an illness),verb,a2,transitive,பிடி / தொற்றிக்கொள்,piṭi / toṟṟikkoḷ
2779,to catch (transportation),verb,a2,transitive,பிடி / ஏறு,piṭi / ēṟu
2780,"to cause (harm, pain)",verb,a2,transitive,ஏற்படுத்து / உண்டாக்கு,ēṟpaṭuttu / uṇṭākku
2781,"to cause (trouble, difficulty)",verb,a2,transitive,ஏற்படுத்து / உருவாக்கு,ēṟpaṭuttu / uruvākku
2782,to celebrate,verb,a2,transitive,கொண்டாடு,koṇṭāṭu
2783,"to chat (casually, talk lightly)",verb,a2,intransitive,அரட்டை அடி / பேசு,araṭṭai aṭi / pēcu
2784,"to chat (digitally, message online)",verb,a2,intransitive,சாட் செய் / உரையாடு,cāṭ cey / uraiyāṭu
2785,to check (to control or limit),verb,a2,transitive,கட்டுப்படுத்து / தடு,kaṭṭuppaṭuttu / taṭu
2786,to circle (draw a ring around),verb,a2,transitive,வட்டமிடு / சுற்று,vaṭṭamiṭu / cuṟṟu
2787,to circle (move around),verb,a2,intransitive,சுற்று / வட்டமிடு,cuṟṟu / vaṭṭamiṭu
2788,"to collect (gather together, assemble)",verb,a2,intransitive,கூடு / சேர்,kūṭu / cēr
2789,"to collect (items, information)",verb,a2,transitive,சேகரி / திரட்டு,cēkari / tiraṭṭu
2790,"to collect (payment, debt)",verb,a2,transitive,வசூலி / பெறு,vacūli / peṟu
2791,to communicate (a message or decision),verb,a2,transitive,தெரிவி / அறிவி,terivi / aṟivi
2792,to compete,verb,a2,intransitive,போட்டியிடு,pōṭṭiyiṭu
2793,to complain (to register a formal grievance),verb,a2,intransitive,புகார் செய் / குறை கூறு,pukār cey / kuṟai kūṟu
2794,"to connect (establish contact, intransitive)",verb,a2,intransitive,இணை / தொடர்பு கொள்,iṇai / toṭarpu koḷ
2795,"to connect (physically, intransitive)",verb,a2,intransitive,இணை / சேர்,iṇai / cēr
2796,to connect (to establish contact),verb,a2,transitive,இணை / தொடர்புபடுத்து,iṇai / toṭarpupaṭuttu
2797,to connect (to join physically),verb,a2,transitive,இணை / சேர்,iṇai / cēr
2798,to consider (to deem or regard),verb,a2,transitive,கருது / எண்ணு,karutu / eṇṇu
2799,to consider (to think over options),verb,a2,transitive,சிந்தி / யோசி,cinti / yōci
2800,to contain (to restrain),verb,a2,transitive,கட்டுப்படுத்து / அடக்கு / கட்டுக்குள் வை,kaṭṭuppaṭuttu / aṭakku / kaṭṭukkuḷ vai
2801,"to continue (to proceed, keep going)",verb,a2,intransitive,தொடர் / தொடர்ந்து செய் / நீடி,toṭar / toṭarntu cey / nīṭi
2802,"to continue (to resume work, action)",verb,a2,transitive,தொடங்கு / மீண்டும் தொடங்கு / தொடர்,toṭaṅku / mīṇṭum toṭaṅku / toṭar
2803,to control (to restrain oneself),verb,a2,transitive,கட்டுப்படுத்து / அடக்கு,kaṭṭuppaṭuttu / aṭakku
2804,"to copy (reproduce text, file)",verb,a2,transitive,நகலெடு / பிரதி எடு / நகல் செய்,nakaleṭu / pirati eṭu / nakal cey
2805,to copy (to imitate),verb,a2,transitive,பின்பற்று / போலச் செய்,piṉpaṟṟu / pōlac cey
2806,to cost (to result in a loss),verb,a2,transitive,இழப்பை ஏற்படுத்து / விலை கொடு,iḻappai ēṟpaṭuttu / vilai koṭu
2807,"to count (to consider, include)",verb,a2,transitive,கருது / கணக்கில் கொள் / சேர்,karutu / kaṇakkil koḷ / cēr
2808,"to cover (distance, area)",verb,a2,transitive,கட / பரப்பிடு,kaṭa / parappiṭu
2809,"to create (design, construct)",verb,a2,transitive,உருவாக்கு / வடிவமை / கட்டு,uruvākku / vaṭivamai / kaṭṭu
2810,"to create (to originate, conceptual)",verb,a2,transitive,உருவாக்கு / தோற்றுவி / படை,uruvākku / tōṟṟuvi / paṭai
2811,"to cross off, out (to cancel, delete)",verb,a2,transitive,அடித்து நீக்கு / நீக்கு / ரத்து செய்,aṭittu nīkku / nīkku / rattu cey
2812,to cry (to shout loudly),verb,a2,intransitive,கத்து / கூவு / சத்தமிடு,kattu / kūvu / cattamiṭu
2813,"to cut (down, chop)",verb,a2,transitive,வெட்டு / அறு / துண்டாக்கு,veṭṭu / aṟu / tuṇṭākku
2814,to cycle,verb,a2,intransitive,சைக்கிள் ஓட்டு / மிதிவண்டி ஓட்டு,caikkiḷ ōṭṭu / mitivaṇṭi ōṭṭu
2815,to deal (to distribute cards or shares),verb,a2,transitive,பங்கிடு / விநியோகி / கொடு,paṅkiṭu / viniyōki / koṭu
2816,to deal (to handle or manage),verb,a2,transitive,கையாளு / சமாளி / நிர்வகி,kaiyāḷu / camāḷi / nirvaki
2817,to deal (to trade or transact business),verb,a2,intransitive,வியாபாரம் செய் / வர்த்தகம் செய் / வணிகம் செய்,viyāpāram cey / varttakam cey / vaṇikam cey
2818,"to depend (be contingent upon, be determined by)",verb,a2,intransitive,சார்ந்து இரு / பொறுத்து இரு,cārntu iru / poṟuttu iru
2819,"to depend (rely on a person, thing)",verb,a2,intransitive,நம்பு / சார்ந்து இரு / நம்பிக்கை வை,nampu / cārntu iru / nampikkai vai
2820,"to design (a building, aesthetic object)",verb,a2,transitive,வடிவமை / திட்டமிடு / உருவாக்கு,vaṭivamai / tiṭṭamiṭu / uruvākku
2821,to destroy (ruin or spoil),verb,a2,transitive,அழி / நாசமாக்கு / சிதை,aḻi / nācamākku / citai
2822,to develop (to create or build),verb,a2,transitive,உருவாக்கு / மேம்படுத்து / வளர்த்தெடு,uruvākku / mēmpaṭuttu / vaḷartteṭu
2823,to develop (to grow or progress),verb,a2,intransitive,வளர் / மேம்படு / முன்னேறு,vaḷar / mēmpaṭu / muṉṉēṟu
2824,"to disagree (to oppose, object)",verb,a2,transitive,உடன்பட மறு / மறுப்பு தெரிவி / மாறுபடு,uṭaṉpaṭa maṟu / maṟuppu terivi / māṟupaṭu
2825,"to disappear (to be lost, missing - object, item)",verb,a2,intransitive,மறைந்து போ / காணாமல் போ / இல்லாமற்போ,maṟaintu pō / kāṇāmal pō / illāmaṟpō
2826,to double,adjective,a2,transitive,இரட்டை / இருமடங்கு,iraṭṭai / irumaṭaṅku
2827,to double (become twice as much),verb,a2,intransitive,இருமடங்காகு / இரட்டிப்பாகு,irumaṭaṅkāku / iraṭṭippāku
2828,to double (increase twofold),verb,a2,intransitive,இருமடங்காகு / இரட்டிப்பாகு,irumaṭaṅkāku / iraṭṭippāku
2829,to double (make twice as much),verb,a2,transitive,இருமடங்காக்கு / இரட்டிப்பாக்கு,irumaṭaṅkākku / iraṭṭippākku
2830,to double (to fold over),verb,a2,transitive,மடி / இரட்டிப்பாக மடி,maṭi / iraṭṭippāka maṭi
2831,to double (to multiply or increase),pronoun,a2,transitive,பெருக்கு / இரட்டிப்பாக்கு,perukku / iraṭṭippākku
2832,to download,verb,a2,transitive,பதிவிறக்கு / தரவிறக்கு,pativiṟakku / taraviṟakku
2833,to dream (of an aspiration),verb,a2,intransitive,கனவு காண் / ஆசைப்படு / லட்சியம் கொள்,kaṉavu kāṇ / ācaippaṭu / laṭciyam koḷ
2834,to drop (to deposit someone or something),verb,a2,transitive,இறக்கி விடு / விட்டுச் செல்,iṟakki viṭu / viṭṭuc cel
2835,to drop (to fall down),verb,a2,intransitive,விழு / கீழே விழு,viḻu / kīḻē viḻu
2836,to drop (to let something fall),verb,a2,transitive,கீழே போடு / கைவிடு,kīḻē pōṭu / kaiviṭu
2837,to dry (by wiping),verb,a2,transitive,துடை / உலர்த்து,tuṭai / ularttu
2838,to dry (to become dry),verb,a2,intransitive,உலரு / காய்,ularu / kāy
2839,to dry (to make something dry),verb,a2,transitive,உலர்த்து / காய வை,ularttu / kāya vai
2840,"to earn (income, wages)",verb,a2,transitive,சம்பாதி / ஈட்டு,campāti / īṭṭu
2841,"to earn (respect, right)",verb,a2,transitive,பெறு / ஈட்டு / சம்பாதி,peṟu / īṭṭu / campāti
2842,"to educate (formally, teach)",verb,a2,transitive,கற்பி / கல்வி புகட்டு / பயிற்றுவி,kaṟpi / kalvi pukaṭṭu / payiṟṟuvi
2843,to employ (hire someone),verb,a2,transitive,வேலைக்கு அமர்த்து / பணியமர்த்து,vēlaikku amarttu / paṇiyamarttu
2844,to employ (use a tool or method),verb,a2,transitive,பயன்படுத்து / உபயோகி,payaṉpaṭuttu / upayōki
2845,to engineer,verb,a2,transitive,வடிவமை / உருவாக்கு / திட்டமிட்டுச் செய்,vaṭivamai / uruvākku / tiṭṭamiṭṭuc cey
2846,"to enjoy (benefits, rights, status)",verb,a2,transitive,அனுபவி / பெறு / உரிமைகொள்,aṉupavi / peṟu / urimaikoḷ
2847,"to enter (a room, building)",verb,a2,intransitive,நுழை / உள்ளே போ,nuḻai / uḷḷē pō
2848,"to enter (data, in a register)",verb,a2,transitive,பதிவு செய் / உள்ளிடு,pativu cey / uḷḷiṭu
2849,to exist,verb,a2,intransitive,இரு / வாழ் / நிலைத்திரு,iru / vāḻ / nilaittiru
2850,"to expect (demand, require standard)",verb,a2,transitive,எதிர்பார் / கோரு / வேண்டு,etirpār / kōru / vēṇṭu
2851,to express,verb,a2,transitive,வெளிப்படுத்து / தெரிவி / கூறு,veḷippaṭuttu / terivi / kūṟu
2852,"to fail (to malfunction, break down)",verb,a2,intransitive,பழுதுபடு / செயலிழந்து போ,paḻutupaṭu / ceyaliḻantu pō
2853,"to fail (to not succeed, pass)",verb,a2,intransitive,தோல்வியடை / தேறாமல் போ,tōlviyaṭai / tēṟāmal pō
2854,to farm,verb,a2,intransitive,விவசாயம் செய் / பயிரிடு,vivacāyam cey / payiriṭu
2855,to fight (quarrel),verb,a2,intransitive,சண்டை போடு / வாக்குவாதம் செய்,caṇṭai pōṭu / vākkuvātam cey
2856,to fight (struggle),verb,a2,intransitive,போராடு / சண்டை செய்,pōrāṭu / caṇṭai cey
2857,"to find (consider, perceive)",verb,a2,transitive,கருது / உணர்,karutu / uṇar
2858,"to find (obtain, realize)",verb,a2,transitive,கண்டுபிடி / பெறு,kaṇṭupiṭi / peṟu
2859,"to find out (a truth, secret)",verb,a2,transitive,கண்டறி / தெரிந்துகொள்,kaṇṭaṟi / terintukoḷ
2860,to fish (catch fish),verb,a2,intransitive,மீன் பிடி,mīṉ piṭi
2861,to fit (into a place or context),verb,a2,intransitive,பொருந்து / இணங்கு,poruntu / iṇaṅku
2862,to fit (to be the correct size),verb,a2,intransitive,பொருந்து / அளவு சரியாக இரு,poruntu / aḷavu cariyāka iru
2863,to fit (to install),verb,a2,transitive,பொருத்து / நிறுவு,poruttu / niṟuvu
2864,to fix (to repair),verb,a2,transitive,சரிசெய் / பழுதுபார்,caricey / paḻutupār
2865,to fix (to set a date or time),verb,a2,transitive,நிர்ணயி / முடிவு செய்,nirṇayi / muṭivu cey
2866,"to focus (mentally, to concentrate)",verb,a2,intransitive,கவனம் செலுத்து / ஒருமுகப்படுத்து,kavaṉam celuttu / orumukappaṭuttu
2867,"to focus (to direct effort, attention)",verb,a2,transitive,கவனம் செலுத்து / குவியப்படுத்து,kavaṉam celuttu / kuviyappaṭuttu
2868,"to greet (casually, to say hi)",verb,a2,transitive,வாழ்த்து / வணக்கம் சொல்,vāḻttu / vaṇakkam col
2869,"to greet (formally, respectfully)",verb,a2,transitive,வணங்கு / மரியாதை செலுத்து,vaṇaṅku / mariyātai celuttu
2870,to greet (to welcome),verb,a2,transitive,வரவேற்பு அளி / வரவேற்று அழை,varavēṟpu aḷi / varavēṟṟu aḻai
2871,"to grumble, to complain (casually)",verb,a2,intransitive,முணுமுணு / குறை சொல்,muṇumuṇu / kuṟai col
2872,"to guide (advise, mentor)",verb,a2,transitive,வழிகாட்டு / ஆலோசனை வழங்கு,vaḻikāṭṭu / ālōcaṉai vaḻaṅku
2873,to guide (physically),verb,a2,transitive,வழிநடத்து / அழைத்துச் செல்,vaḻinaṭattu / aḻaittuc cel
2874,"to have (a bath, shower)",auxiliary verb,a2,transitive,குளி / குளியல் போடு,kuḷi / kuḷiyal pōṭu
2875,to have (a discussion),auxiliary verb,a2,transitive,நடத்து / மேற்கொள்,naṭattu / mēṟkoḷ
2876,"to have (a meal, a discussion, or an experience)",auxiliary verb,a2,transitive,மேற்கொள் / பெறு / உண்,mēṟkoḷ / peṟu / uṇ
2877,to have (possession or existence),auxiliary verb,a2,transitive,இரு,iru
2878,to heat (intransitive),verb,a2,intransitive,சூடாகு,cūṭāku
2879,to heat (transitive),verb,a2,transitive,சூடாக்கு / வெப்பப்படுத்து,cūṭākku / veppappaṭuttu
2880,to hide (oneself),verb,a2,intransitive,ஒளிந்துகொள் / மறைந்துகொள்,oḷintukoḷ / maṟaintukoḷ
2881,to hit (to collide with),verb,a2,transitive,மோது / அடி,mōtu / aṭi
2882,"to hold (a meeting, event)",verb,a2,transitive,நடத்து / ஏற்பாடு செய்,naṭattu / ēṟpāṭu cey
2883,to hold (a meeting/event),verb,a2,transitive,நடத்து / ஏற்பாடு செய்,naṭattu / ēṟpāṭu cey
2884,to hope (to place trust or faith),verb,a2,intransitive,நம்பு / நம்பிக்கை கொள்,nampu / nampikkai koḷ
2885,"to hurt (cause physical pain, injure)",verb,a2,transitive,காயப்படுத்து / புண்படுத்து,kāyappaṭuttu / puṇpaṭuttu
2886,"to hurt (feel pain, ache)",verb,a2,intransitive,வலி,vali
2887,to increase (become more),verb,a2,intransitive,அதிகரி / பெருகு,atikari / peruku
2888,to increase (intransitive),verb,a2,intransitive,அதிகரி / பெருகு,atikari / peruku
2889,to increase (make more),verb,a2,transitive,அதிகரி / பெருக்கு,atikari / perukku
2890,to increase (transitive),verb,a2,transitive,அதிகரி / பெருக்கு,atikari / perukku
2891,"to introduce (a new system, policy, or concept)",verb,a2,transitive,அறிமுகப்படுத்து / செயல்படுத்து,aṟimukappaṭuttu / ceyalpaṭuttu
2892,to invent (a story or excuse),verb,a2,transitive,கற்பனை செய் / புனை,kaṟpaṉai cey / puṉai
2893,"to invite (formally, officially)",verb,a2,transitive,அழை / அழைப்பு விடு,aḻai / aḻaippu viṭu
2894,"to involve (to require, entail)",verb,a2,transitive,உள்ளடக்கு / இணைத்துக்கொள்,uḷḷaṭakku / iṇaittukkoḷ
2895,to it doesn't matter,verb,a2,nan,பரவாயில்லை / கவலையில்லை,paravāyillai / kavalaiyillai
2896,to itself (reflexive indirect object),pronoun,a2,nan,அதற்கே,ataṟkē
2897,to joke (general humor),verb,a2,intransitive,வேடிக்கை பேசு / நகைச்சுவை செய்,vēṭikkai pēcu / nakaiccuvai cey
2898,"to joke (to tease, make fun of someone)",verb,a2,transitive,கேலி செய் / கிண்டல் செய்,kēli cey / kiṇṭal cey
2899,to jump (to leap),verb,a2,transitive,குதி,kuti
2900,to kill,verb,a2,transitive,கொல் / வதை / அழி,kol / vatai / aḻi
2901,to knock (on a door),verb,a2,intransitive,தட்டு,taṭṭu
2902,to knock (something over),verb,a2,transitive,தட்டிவிடு / சாய்த்துவிடு,taṭṭiviṭu / cāyttuviṭu
2903,"to land (to arrive, referring to aircraft or boat)",verb,a2,intransitive,தரைஇறங்கு / கரைசேர்,taraiiṟaṅku / karaicēr
2904,to land (to secure or obtain something desirable),verb,a2,transitive,பெறு / அடை,peṟu / aṭai
2905,to last (duration in time),verb,a2,intransitive,நீடி / நிலைத்திரு,nīṭi / nilaittiru
2906,"to last (to endure, be sufficient)",verb,a2,intransitive,போதுமானதாக இரு / தாங்கு,pōtumāṉatāka iru / tāṅku
2907,to lead (a group or organization),verb,a2,transitive,வழிநடத்து / தலைமை தாங்கு,vaḻinaṭattu / talaimai tāṅku
2908,to lead (to a result or destination),verb,a2,intransitive,இட்டுச்செல் / கொண்டுசெல்,iṭṭuccel / koṇṭucel
2909,"to lecture (to scold, reprimand)",verb,a2,transitive,கண்டி / அறிவுரை கூறு / திட்டு,kaṇṭi / aṟivurai kūṟu / tiṭṭu
2910,to lend (help or support),verb,a2,transitive,உதவி செய் / ஆதரவு கொடு,utavi cey / ātaravu koṭu
2911,"to lend (money, as a loan)",verb,a2,transitive,கடன் கொடு / கடன் வழங்கு,kaṭaṉ koṭu / kaṭaṉ vaḻaṅku
2912,to let (to rent property out),verb,a2,transitive,வாடகைக்கு விடு / குத்தகைக்கு விடு,vāṭakaikku viṭu / kuttakaikku viṭu
2913,"to lift (a restriction, ban)",verb,a2,transitive,நீக்கு / ரத்து செய்,nīkku / rattu cey
2914,"to light (a lamp, a fire)",verb,a2,transitive,ஏற்று / பற்றவை,ēṟṟu / paṟṟavai
2915,to light (to illuminate),verb,a2,transitive,ஒளியூட்டு / பிரகாசமாக்கு,oḷiyūṭṭu / pirakācamākku
2916,to link (to associate or relate ideas),verb,a2,transitive,தொடர்புபடுத்து / இணை,toṭarpupaṭuttu / iṇai
2917,to link (to join or connect items),verb,a2,transitive,இணை / சேர்,iṇai / cēr
2918,to lock,verb,a2,transitive,பூட்டு,pūṭṭu
2919,"to mail (a letter, parcel via postal service)",verb,a2,transitive,அனுப்பு / தபால் செய்,aṉuppu / tapāl cey
2920,"to manage (to administer, run)",verb,a2,transitive,நிர்வகி / நடத்து,nirvaki / naṭattu
2921,"to manage (to cope, handle difficulty)",verb,a2,transitive,சமாளி / கையாளு,camāḷi / kaiyāḷu
2922,to mark (to grade exams),verb,a2,transitive,மதிப்பிடு / மதிப்பெண் இடு,matippiṭu / matippeṇ iṭu
2923,to mark (to put a sign on),verb,a2,transitive,குறி / அடையாளம் இடு,kuṟi / aṭaiyāḷam iṭu
2924,to marry (someone off),verb,a2,transitive,திருமணம் செய்து வை / மணம் முடித்து வை,tirumaṇam ceytu vai / maṇam muṭittu vai
2925,to marry (to get married),verb,a2,intransitive,திருமணம் செய் / கல்யாணம் செய் / மணமுடி,tirumaṇam cey / kalyāṇam cey / maṇamuṭi
2926,to matter (to be acceptable),verb,a2,intransitive,முக்கியத்துவம் பெறு / பொருட்படு,mukkiyattuvam peṟu / poruṭpaṭu
2927,to mind (look after),verb,a2,transitive,கவனி / பார்த்துக்கொள் / பராமரி,kavaṉi / pārttukkoḷ / parāmari
2928,to mind (pay attention),verb,a2,transitive,கவனி / செவிகொடு / பொருட்படுத்து,kavaṉi / cevikoṭu / poruṭpaṭuttu
2929,to notice (to observe carefully or take into account),verb,a2,transitive,கவனி / உணர் / அறி,kavaṉi / uṇar / aṟi
2930,to number (assign index),verb,a2,transitive,எண்ணிடு / வரிசைப்படுத்து / எண் இடு,eṇṇiṭu / varicaippaṭuttu / eṇ iṭu
2931,to number (to total),verb,a2,intransitive,மொத்தமாக இரு / எண்ணிக்கையில் இரு,mottamāka iru / eṇṇikkaiyil iru
2932,"to offer (a job, money, services)",verb,a2,transitive,வழங்கு / கொடு / அளி,vaḻaṅku / koṭu / aḷi
2933,"to offer (a prayer, devotion, flowers)",verb,a2,transitive,செலுத்து / படை / அர்ப்பணி,celuttu / paṭai / arppaṇi
2934,to organize (an event or activity),verb,a2,transitive,ஏற்பாடு செய் / ஒழுங்குபடுத்து / நடத்து,ēṟpāṭu cey / oḻuṅkupaṭuttu / naṭattu
2935,to organize (to arrange things neatly),verb,a2,transitive,ஒழுங்குபடுத்து / சீரமை / வரிசைப்படுத்து,oḻuṅkupaṭuttu / cīramai / varicaippaṭuttu
