english_word,word_class,telugu_translation,transliteration,verb_transitivity,level
room (space or capacity),noun,స్థలం / చోటు / అవకాశం,sthalaṁ / cōṭu / avakāśaṁ,,a1
"rule (governance, dominion)",noun,పాలన / పరిపాలన / అధికారం,pālana / paripālana / adhikāraṁ,,a1
"rule (regulation, guideline)",noun,నియమం / నిబంధన / సూత్రం,niyamaṁ / nibaṁdhana / sūtraṁ,,a1
sad,adjective,విచారకరమైన / దుఃఖకరమైన,vicārakaramaina / duḥkhakaramaina,,a1
sad (feeling unhappy),adjective,విచారంగా ఉన్న / దుఃఖంగా ఉన్న / బాధగా ఉన్న,vicāraṁgā unna / duḥkhaṁgā unna / bādhagā unna,,a1
salad,noun,సలాడ్,salāḍ,,a1
salt,noun,ఉప్పు / లవణం,uppu / lavaṇaṁ,,a1
"same (alike, similar)",pronoun,అదే / అలాంటిది,adē / alāṁṭidi,,a1
same (equal or similar),adjective,ఒకే రకమైన / సమానమైన / పోలికైన,okē rakamaina / samānamaina / pōlikaina,,a1
"same (identical, unified)",adverb,ఒకేలా / అదే విధంగా,okēlā / adē vidhaṁgā,,a1
same (that specific one),adverb,అదే / సరిగ్గా అదే,adē / sariggā adē,,a1
same (the identical one),pronoun,అదే / సరిగ్గా అదే,adē / sariggā adē,,a1
same (the very same one),adjective,అదే / సరిగ్గా అదే,adē / sariggā adē,,a1
"sandal ,  slipper (open footwear)",noun,చెప్పు / శాండల్ / స్లిప్పర్,ceppu / śāṁḍal / slippar,,a1
sandwich,noun,శాండ్‌విచ్,śāṁḍvic,,a1
saturday,noun,శనివారం,śanivāraṁ,,a1
school,noun,పాఠశాల / బడి / స్కూల్,pāṭhaśāla / baḍi / skūl,,a1
school vacation,noun,పాఠశాల సెలవులు / బడి సెలవులు,pāṭhaśāla selavulu / baḍi selavulu,,a1
science,noun,విజ్ఞానం / సైన్స్,vijñānaṁ / sains,,a1
scientist,noun,శాస్త్రవేత్త / సైంటిస్ట్,śāstravētta / saiṁṭisṭ,,a1
second,determiner,ఇంకొక / మరో / రెండవ,iṁkoka / marō / reṁḍava,,a1
second (helping of food),noun,మళ్ళీ వడ్డన / రెండోసారి వడ్డన,maḷḷī vaḍḍana / reṁḍōsāri vaḍḍana,,a1
second (ordinal number),ordinal number,రెండవ / రెండో,reṁḍava / reṁḍō,,a1
second (unit of time),ordinal number,సెకను / క్షణం,sekanu / kṣaṇaṁ,,a1
"section (division, chapter)",noun,భాగం / విభాగం / అధ్యాయం,bhāgaṁ / vibhāgaṁ / adhyāyaṁ,,a1
"section (part, segment)",noun,భాగం / ఖండం / ముక్క,bhāgaṁ / khaṁḍaṁ / mukka,,a1
september,noun,సెప్టెంబరు,sepṭeṁbaru,,a1
seven,number,ఏడు,ēḍu,,a1
seventeen,number,పదిహేడు,padihēḍu,,a1
seventy,number,డెబ్బై,ḍebbai,,a1
"she (distant, neutral)",pronoun,ఆమె,āme,,a1
"she (familiar, non-respectful)",pronoun,అది,adi,,a1
"she (formal, respectful)",pronoun,వారు,vāru,,a1
"she (nearby, neutral)",pronoun,ఈమె,īme,,a1
"she (respectful, formal)",pronoun,వారు,vāru,,a1
sheep,noun,గొర్రె,gorre,,a1
shirt,noun,షర్టు / చొక్కా,ṣarṭu / cokkā,,a1
shop,noun,దుకాణం / కొట్టు / షాపు,dukāṇaṁ / koṭṭu / ṣāpu,,a1
shopping,noun,షాపింగ్ / కొనుగోలు,ṣāpiṁg / konugōlu,,a1
short (in height),adjective,పొట్టి,poṭṭi,,a1
short (in length or duration),adjective,తక్కువ / స్వల్ప / పొట్టి,takkuva / svalpa / poṭṭi,,a1
show,noun,ప్రదర్శన / షో,pradarśana / ṣō,,a1
shower (rain),noun,జల్లు / చినుకులు,jallu / cinukulu,,a1
shower (washing oneself),noun,స్నానం / షవర్,snānaṁ / ṣavar,,a1
sick (ill),adjective,జబ్బు / అనారోగ్యం / రోగం,jabbu / anārōgyaṁ / rōgaṁ,,a1
sick (nauseous),adjective,వికారంగా ఉన్న / వాంతి వచ్చేలా ఉన్న,vikāraṁgā unna / vāṁti vaccēlā unna,,a1
similar,adjective,లాంటి / పోలిన / వంటి / సమానమైన,lāṁṭi / pōlina / vaṁṭi / samānamaina,,a1
singer (female),noun,గాయని / సింగర్ / పాటలమ్మ,gāyani / siṁgar / pāṭalamma,,a1
singer (male),noun,గాయకుడు / సింగర్,gāyakuḍu / siṁgar,,a1
sister (older),noun,అక్క / అక్కయ్య / సోదరి,akka / akkayya / sōdari,,a1
sister (younger),noun,చెల్లి / చెల్లెలు / సోదరి,celli / cellelu / sōdari,,a1
situation,noun,పరిస్థితి / సందర్భం / స్థితి,paristhiti / saṁdarbhaṁ / sthiti,,a1
six,number,ఆరు,āru,,a1
sixteen,number,పదహారు,padahāru,,a1
sixty,number,అరవై,aravai,,a1
skill,noun,నైపుణ్యం / నేర్పు / సామర్థ్యం,naipuṇyaṁ / nērpu / sāmarthyaṁ,,a1
skirt,noun,స్కర్ట్ / లంగా,skarṭ / laṁgā,,a1
slow (mentally dull),adjective,మందకొడి / నెమ్మది,maṁdakoḍi / nemmadi,,a1
"small (quantity, amount)",adjective,తక్కువ / కొద్ది,takkuva / koddi,,a1
"small (young, junior)",adjective,చిన్న / పిన్న,cinna / pinna,,a1
smile (general),noun,చిరునవ్వు / నవ్వు,cirunavvu / navvu,,a1
snake,noun,పాము,pāmu,,a1
snow,noun,మంచు / హిమము,maṁcu / himamu,,a1
"so (therefore, as a result)",conjunction,కాబట్టి / అందువల్ల / కనుక,kābaṭṭi / aṁduvalla / kanuka,,a1
"so (to that degree, intensity)",conjunction,అంతగా / అంత,aṁtagā / aṁta,,a1
"so (to that extent, very)",adverb,చాలా / అంత / మిక్కిలి,cālā / aṁta / mikkili,,a1
some,determiner,కొంత / కొన్ని,koṁta / konni,,a1
some (a few),pronoun,కొందరు / కొన్ని,koṁdaru / konni,,a1
some (a little bit),pronoun,కొంత / కొద్దిగా,koṁta / koddigā,,a1
some (an unknown specific),pronoun,ఎవరో / ఏదో,evarō / ēdō,,a1
"some (determiner, countable/uncountable)",determiner,కొన్ని / కొంత / కొద్ది,konni / koṁta / koddi,,a1
somebody,pronoun,ఎవరో / ఎవరో ఒకరు,evarō / evarō okaru,,a1
someone,pronoun,ఎవరో / ఎవరో ఒకరు,evarō / evarō okaru,,a1
something,pronoun,ఏదో / ఏదో ఒకటి,ēdō / ēdō okaṭi,,a1
sometimes (occasionally),adverb,అప్పుడప్పుడు / కొన్నిసార్లు / కొన్నిమార్లు,appuḍappuḍu / konnisārlu / konnimārlu,,a1
"song (general, pop)",noun,పాట / గీతం / సాంగ్,pāṭa / gītaṁ / sāṁg,,a1
"song (poetic, literary)",noun,గీతం / పద్యం / కీర్తన,gītaṁ / padyaṁ / kīrtana,,a1
soon,adverb,త్వరలో / వెంటనే,tvaralō / veṁṭanē,,a1
soon (formal),adverb,శీఘ్రంగా / త్వరలో,śīghraṁgā / tvaralō,,a1
"soon (quickly, in a short time)",adverb,త్వరగా / వెంటనే / శీఘ్రంగా,tvaragā / veṁṭanē / śīghraṁgā,,a1
sorry (apology),adjective,పశ్చాత్తాపపడిన / చింతించిన,paścāttāpapaḍina / ciṁtiṁcina,,a1
sorry (asking for repetition or interruption),exclamation,క్షమించు! / ఏమిటి? / మళ్ళీ చెప్పు?,kṣamiṁcu! / ēmiṭi? / maḷḷī ceppu?,,a1
sorry (expressing regret or sympathy),exclamation,అయ్యో! / పాపం!,ayyō! / pāpaṁ!,,a1
sound,noun,శబ్దం / ధ్వని / సవ్వడి,śabdaṁ / dhvani / savvaḍi,,a1
soup,noun,సూప్,sūp,,a1
south (adverb: direction of travel),adverb,దక్షిణంగా / దక్షిణం వైపు,dakṣiṇaṁgā / dakṣiṇaṁ vaipu,,a1
"south (direction, region)",adjective,దక్షిణ / దక్షిణపు,dakṣiṇa / dakṣiṇapu,,a1
south (the region of Southern India),noun,దక్షిణాది / దక్షిణ భారతదేశం,dakṣiṇādi / dakṣiṇa bhāratadēśaṁ,,a1
southern (adjective),adjective,దక్షిణ / దక్షిణాది,dakṣiṇa / dakṣiṇādi,,a1
"space (outer space, cosmos)",noun,అంతరిక్షం / ఖగోళం / ఆకాశం,aṁtarikṣaṁ / khagōḷaṁ / ākāśaṁ,,a1
"space (physical area, room)",noun,స్థలం / చోటు / ప్రదేశం,sthalaṁ / cōṭu / pradēśaṁ,,a1
"special (separate, individual)",adjective,ప్రత్యేక / విశేష / విలక్షణ,pratyēka / viśēṣa / vilakṣaṇa,,a1
spelling,noun,స్పెల్లింగ్ / అక్షరక్రమం,spelliṁg / akṣarakramaṁ,,a1
sport,noun,క్రీడ / ఆట / స్పోర్ట్,krīḍa / āṭa / spōrṭ,,a1
spring (mechanical coil),noun,స్ప్రింగ్,spriṁg,,a1
spring (season),noun,వసంతకాలం / వసంత ఋతువు,vasaṁtakālaṁ / vasaṁta r̥tuvu,,a1
spring (water source),noun,ఊట / సెలయేరు,ūṭa / selayēru,,a1
"star (celebrity, performer)",noun,స్టార్ / తార,sṭār / tāra,,a1
station (police),noun,పోలీస్ స్టేషన్ / రక్షకభట నిలయం,pōlīs sṭēṣan / rakṣakabhaṭa nilayaṁ,,a1
still (continuing up to now),adverb,ఇంకా / ఇప్పటికీ,iṁkā / ippaṭikī,,a1
"still (nevertheless, despite)",adverb,అయినా / అయినప్పటికీ,ayinā / ayinappaṭikī,,a1
stop (cessation),noun,ఆపు / నిలుపుదల / విరమణ,āpu / nilupudala / viramaṇa,,a1
stop (location),noun,స్టాప్ / నిలుపుదల స్థానం,sṭāp / nilupudala sthānaṁ,,a1
story (level of building),noun,అంతస్తు / ఫ్లోర్,aṁtastu / phlōr,,a1
street (narrow lane),noun,సందు / వీధి,saṁdu / vīdhi,,a1
"strong (durable, well-built)",adjective,పటిష్టమైన / దృఢమైన,paṭiṣṭamaina / dr̥ḍhamaina,,a1
strong (flavor),adjective,ఘాటైన / తీవ్రమైన,ghāṭaina / tīvramaina,,a1
"strong (intense flavor, smell)",adjective,ఘాటైన / తీవ్రమైన,ghāṭaina / tīvramaina,,a1
strong (physically powerful),adjective,బలమైన / శక్తివంతమైన,balamaina / śaktivaṁtamaina,,a1
student (female),noun,విద్యార్థిని / స్టూడెంట్,vidyārthini / sṭūḍeṁṭ,,a1
study (process of learning),noun,చదువు / అధ్యయనం,caduvu / adhyayanaṁ,,a1
study (room),noun,స్టడీ రూమ్ / అధ్యయన గది,sṭaḍī rūm / adhyayana gadi,,a1
"style (fashion, flair)",noun,స్టైల్ / ఫ్యాషన్ / శైలి,sṭail / phyāṣan / śaili,,a1
"style (manner, technique)",noun,శైలి / పద్ధతి / విధానం,śaili / paddhati / vidhānaṁ,,a1
subject (academic topic),noun,సబ్జెక్ట్ / విషయం / పాఠ్యాంశం,sabjekṭ / viṣayaṁ / pāṭhyāṁśaṁ,,a1
subject (person under authority),noun,ప్రజ / పౌరుడు,praja / pauruḍu,,a1
success (achievement),noun,విజయం / గెలుపు / సక్సెస్,vijayaṁ / gelupu / sakses,,a1
sugar,noun,చక్కెర / పంచదార,cakkera / paṁcadāra,,a1
summer,noun,వేసవి / ఎండాకాలం / గ్రీష్మకాలం,vēsavi / eṁḍākālaṁ / grīṣmakālaṁ,,a1
sun,noun,సూర్యుడు / పొద్దు / భానుడు / రవి,sūryuḍu / poddu / bhānuḍu / ravi,,a1
sunday,noun,ఆదివారం,ādivāraṁ,,a1
supermarket,noun,సూపర్ మార్కెట్ / పెద్ద దుకాణం,sūpar mārkeṭ / pedda dukāṇaṁ,,a1
"sure (agreement, yes)",adjective,తప్పకుండా / సరే / ఖచ్చితంగా,tappakuṁḍā / sarē / khaccitaṁgā,,a1
"sure (certain, confident)",adjective,ఖచ్చితమైన / నిశ్చయమైన,khaccitamaina / niścayamaina,,a1
sweater,noun,స్వెటర్,sveṭar,,a1
swimming,noun,ఈత / స్విమ్మింగ్,īta / svimmiṁg,,a1
t-shirt,noun,టీ-షర్ట్,ṭī-ṣarṭ,,a1
tall,adjective,పొడవు / ఎత్తైన,poḍavu / ettaina,,a1
taxi,noun,టాక్సీ,ṭāksī,,a1
tea,noun,టీ / చాయ్,ṭī / cāy,,a1
teacher (female),noun,టీచరమ్మ / ఉపాధ్యాయిని,ṭīcaramma / upādhyāyini,,a1
teacher (male),noun,టీచర్ / ఉపాధ్యాయుడు / గురువు,ṭīcar / upādhyāyuḍu / guruvu,,a1
team,noun,టీమ్ / జట్టు / బృందం,ṭīm / jaṭṭu / br̥ṁdaṁ,,a1
teenager (female adolescent),noun,టీనేజర్ / యువతి / కౌమార బాలిక,ṭīnējar / yuvati / kaumāra bālika,,a1
teenager (male adolescent),noun,టీనేజర్ / యువకుడు / కౌమార బాలుడు,ṭīnējar / yuvakuḍu / kaumāra bāluḍu,,a1
"telephone (formal, standard)",noun,టెలిఫోన్ / దూరవాణి,ṭeliphōn / dūravāṇi,,a1
telephone number,noun,టెలిఫోన్ నంబర్ / దూరవాణి సంఖ్య,ṭeliphōn naṁbar / dūravāṇi saṁkhya,,a1
television,noun,టెలివిజన్ / టీవీ / దూరదర్శిని,ṭelivijan / ṭīvī / dūradarśini,,a1
"television (formal term, or the medium)",noun,దూరదర్శిని / టెలివిజన్,dūradarśini / ṭelivijan,,a1
television (formal),noun,దూరదర్శిని / టెలివిజన్,dūradarśini / ṭelivijan,,a1
television (TV set),noun,టీవీ / టెలివిజన్,ṭīvī / ṭelivijan,,a1
"temperature (measurement, reading)",noun,ఉష్ణోగ్రత / టెంపరేచర్,uṣṇōgrata / ṭeṁparēcar,,a1
ten,number,పది,padi,,a1
tennis,noun,టెన్నిస్,ṭennis,,a1
test (medical procedure or trial),noun,పరీక్ష / టెస్ట్,parīkṣa / ṭesṭ,,a1
"text (message, SMS)",noun,మెసేజ్ / సందేశం,mesēj / saṁdēśaṁ,,a1
text (written content),noun,పాఠ్యం / వచనం,pāṭhyaṁ / vacanaṁ,,a1
than,preposition,కంటే / కన్నా,kaṁṭē / kannā,,a1
"thank you (formal, emphasis)",exclamation,ధన్యవాదములు / కృతజ్ఞతలు,dhanyavādamulu / kr̥tajñatalu,,a1
"thank you (polite, formal)",noun,ధన్యవాదాలు / కృతజ్ఞతలు,dhanyavādālu / kr̥tajñatalu,,a1
that,pronoun,అది,adi,,a1
"that (adjective, modifying a noun)",determiner,ఆ,ā,,a1
that (demonstrative adjective),determiner,ఆ,ā,,a1
that (demonstrative pronoun),pronoun,అది,adi,,a1
"that (pronoun, referring to a distant thing)",pronoun,అది,adi,,a1
the,definite article,ఆ,ā,,a1
the color white,noun,తెలుపు / శ్వేతం,telupu / śvētaṁ,,a1
"The South (contextual, e.g., in a local Indian context)",noun,దక్షిణం / దక్షిణ దేశం,dakṣiṇaṁ / dakṣiṇa dēśaṁ,,a1
the South (noun: region),noun,దక్షిణం / దక్షిణ దేశం,dakṣiṇaṁ / dakṣiṇa dēśaṁ,,a1
theatre (drama performance),noun,నాటకరంగం / థియేటర్,nāṭakaraṁgaṁ / thiyēṭar,,a1
theatre (movie),noun,సినిమా హాల్ / థియేటర్,sinimā hāl / thiyēṭar,,a1
their (distant),determiner,వారి / వాటి,vāri / vāṭi,,a1
their (near),determiner,వీరి / వీటి,vīri / vīṭi,,a1
"them (objects, animals)",pronoun,వాటిని,vāṭini,,a1
"them (people, casual)",pronoun,వారిని / వాళ్ళను,vārini / vāḷḷanu,,a1
"them (people, casual, near)",pronoun,వీరిని / వీళ్ళను,vīrini / vīḷḷanu,,a1
"them (people, respectful)",pronoun,వారిని,vārini,,a1
"them (people, respectful, dative)",pronoun,వారికి,vāriki,,a1
then (at that time),adverb,అప్పుడు / ఆ సమయంలో,appuḍu / ā samayaṁlō,,a1
then (subsequently),adverb,తరువాత / తర్వాత / పిమ్మట,taruvāta / tarvāta / pimmaṭa,,a1
there (existential marker),adverb,అక్కడ,akkaḍa,,a1
they (non-human),pronoun,అవి,avi,,a1
"thing (affair, state)",noun,విషయం / సంగతి,viṣayaṁ / saṁgati,,a1
"thing (matter, issue)",noun,విషయం / సంగతి,viṣayaṁ / saṁgati,,a1
thing (object),noun,వస్తువు / సరుకు,vastuvu / saruku,,a1
third,ordinal number,మూడవ / మూడో,mūḍava / mūḍō,,a1
thirsty,adjective,దాహం,dāhaṁ,,a1
thirteen,number,పదమూడు,padamūḍu,,a1
thirty,number,ముప్పై,muppai,,a1
this (as a stand-alone pronoun),pronoun,ఇది,idi,,a1
this (before a noun),determiner,ఈ,ī,,a1
this (modifying a noun),pronoun,ఈ,ī,,a1
thousand,number,వెయ్యి,veyyi,,a1
three,number,మూడు,mūḍu,,a1
"through (by means of, via)",preposition,ద్వారా,dvārā,,a1
through (movement or passage),adverb,గుండా,guṁḍā,,a1
"through (movement, spatial passage)",preposition,గుండా,guṁḍā,,a1
thursday,noun,గురువారం,guruvāraṁ,,a1
ticket,noun,టికెట్,ṭikeṭ,,a1
"time (duration, era)",noun,కాలం / సమయం,kālaṁ / samayaṁ,,a1
"time (instance, repetition)",noun,సారి / పర్యాయం,sāri / paryāyaṁ,,a1
"title (heading, name)",noun,శీర్షిక / పేరు,śīrṣika / pēru,,a1
to,infinitive marker,డానికి,ḍāniki,,a1
to (indicating destination or recipient),preposition,కు / కి,ku / ki,,a1
"to (indicating limit, until)",preposition,వరకు / దాకా,varaku / dākā,,a1
to (infinitive marker),infinitive marker,డానికి,ḍāniki,,a1
"to add (to include, insert)",verb,కలుపు / చేర్చు / జోడించు,kalupu / cērcu / jōḍiṁcu,transitive,a1
to agree (to a proposal or condition),verb,ఒప్పుకో / అంగీకరించు,oppukō / aṁgīkariṁcu,intransitive,a1
to answer (a door),verb,తలుపు తీయు,talupu tīyu,transitive,a1
"to answer (a question, reply)",verb,సమాధానం చెప్పు / బదులివ్వు,samādhānaṁ ceppu / badulivvu,transitive,a1
to answer (a telephone or door),verb,ఫోన్ ఎత్తు / తలుపు తీయు,phōn ettu / talupu tīyu,transitive,a1
to answer (a telephone),verb,ఫోన్ ఎత్తు,phōn ettu,transitive,a1
to arrive,verb,వచ్చు / చేరుకో / ఆగమించు,vaccu / cērukō / āgamiṁcu,,a1
to ask (to request something),verb,అడుగు / కోరు,aḍugu / kōru,transitive,a1
"to bag (place groceries, items inside)",verb,సంచిలో పెట్టు,saṁcilō peṭṭu,transitive,a1
"to be (identity, copula)",auxiliary verb,అవు,avu,intransitive,a1
"to be (identity, copula, negative)",auxiliary verb,కాదు,kādu,intransitive,a1
to be (to become or define identity),verb,అవు,avu,intransitive,a1
to be (to exist or be located),verb,ఉండు,uṁḍu,intransitive,a1
"to be (to exist, be located)",auxiliary verb,ఉండు,uṁḍu,intransitive,a1
to be born,verb,పుట్టు / జన్మించు,puṭṭu / janmiṁcu,intransitive,a1
to be left (to remain),verb,మిగులు / మిగిలి ఉండు,migulu / migili uṁḍu,intransitive,a1
to be startled,verb,ఉలిక్కిపడు,ulikkipaḍu,,a1
to be thirsty,verb,దాహం వేయు / దప్పికగొను,dāhaṁ vēyu / dappikagonu,intransitive,a1
to become,verb,అవు,avu,intransitive,a1
to begin (intransitive),verb,మొదలగు / ప్రారంభమగు,modalagu / prāraṁbhamagu,intransitive,a1
"to begin (transitive, to initiate a task)",verb,మొదలుపెట్టు / ప్రారంభించు,modalupeṭṭu / prāraṁbhiṁcu,transitive,a1
to believe (to have faith in or trust),verb,నమ్ము / విశ్వసించు,nammu / viśvasiṁcu,transitive,a1
to born,verb,పుట్టు / జన్మించు,puṭṭu / janmiṁcu,,a1
to break (a promise),verb,తప్పు / ఉల్లంఘించు,tappu / ullaṁghiṁcu,transitive,a1
to break (a rule or promise),verb,మీరు / ఉల్లంఘించు / భంగపరచు,mīru / ullaṁghiṁcu / bhaṁgaparacu,transitive,a1
to break (a rule/law),verb,మీరు / ఉల్లంఘించు / భంగపరచు,mīru / ullaṁghiṁcu / bhaṁgaparacu,transitive,a1
"to break (physical object, intransitive)",verb,విరుగు / పగులు,virugu / pagulu,intransitive,a1
"to break (physical object, transitive)",verb,విరుచు / పగులగొట్టు,virucu / pagulagoṭṭu,transitive,a1
to bring (a person along),verb,తీసుకురా / తోడుకొనిరా,tīsukurā / tōḍukonirā,transitive,a1
to build (physical structures),verb,కట్టు / నిర్మించు,kaṭṭu / nirmiṁcu,transitive,a1
to buy (koḷḷu),verb,కొను,konu,transitive,a1
to call (by phone),verb,ఫోన్ చేయి / కాల్ చేయి,phōn cēyi / kāl cēyi,transitive,a1
to call (by telephone),verb,ఫోన్ చేయి / కాల్ చేయి,phōn cēyi / kāl cēyi,transitive,a1
to call (phone),verb,ఫోన్ చేయి / కాల్ చేయి,phōn cēyi / kāl cēyi,transitive,a1
to call (to name or summon),verb,పిలువు / పేరు పెట్టు,piluvu / pēru peṭṭu,transitive,a1
to carry (a child),verb,ఎత్తుకో / మోయు,ettukō / mōyu,transitive,a1
to carry (on the head),verb,మోయు,mōyu,transitive,a1
"to change (alter, replace something)",verb,మార్చు / మార్పిడి చేయు,mārcu / mārpiḍi cēyu,transitive,a1
"to change (state, condition)",verb,మారు / మారిపోవు,māru / māripōvu,intransitive,a1
to check (to tick or mark an item),verb,టిక్ చేయి / గుర్తించు,ṭik cēyi / gurtiṁcu,transitive,a1
to check (to verify or examine),verb,చూడు / సరిచూడు / పరిశీలించు / తనిఖీ చేయి,cūḍu / saricūḍu / pariśīliṁcu / tanikhī cēyi,transitive,a1
to choose,verb,ఎంచుకో / ఎన్నుకో,eṁcukō / ennukō,transitive,a1
to clean,adjective,శుభ్రం చేయి / కడుగు,śubhraṁ cēyi / kaḍugu,transitive,a1
to climb,verb,ఎక్కు / ఎగబాకు,ekku / egabāku,transitive,a1
to close (an establishment or session),verb,మూయు / ముగియు,mūyu / mugiyu,intransitive,a1
to come (informal singular),verb,రా,rā,intransitive,a1
to come (respectful address),verb,రా,rā,intransitive,a1
"to come (respectful, formal command)",verb,రా,rā,intransitive,a1
to compare,verb,పోల్చు / సరిపోల్చు,pōlcu / saripōlcu,transitive,a1
"to complete (a form, requirement)",verb,నింపు / పూర్తి చేయు / పూరించు,niṁpu / pūrti cēyu / pūriṁcu,transitive,a1
"to complete (a task, work)",verb,పూర్తి చేయు / ముగించు / సమాప్తం చేయు,pūrti cēyu / mugiṁcu / samāptaṁ cēyu,transitive,a1
to cook (ingredients until done),verb,వండు / ఉడికించు,vaṁḍu / uḍikiṁcu,transitive,a1
"to correct (a mistake, error)",verb,సరిదిద్దు / సవరించు / దిద్దు,sarididdu / savariṁcu / diddu,transitive,a1
"to correct (behavior, reprimand)",verb,సరిచేయు / మందలించు,saricēyu / maṁdaliṁcu,transitive,a1
"to cry (to weep, sob)",verb,ఏడ్చు / కన్నీరు కార్చు,ēḍcu / kannīru kārcu,intransitive,a1
to dance,verb,నాట్యం చేయు / నృత్యం చేయు / గెంతు,nāṭyaṁ cēyu / nr̥tyaṁ cēyu / geṁtu,intransitive,a1
to decide,verb,నిర్ణయించు / తీర్మానించు,nirṇayiṁcu / tīrmāniṁcu,transitive,a1
to describe,verb,వర్ణించు / వివరించు,varṇiṁcu / vivariṁcu,transitive,a1
"to die (pass away, formal)",verb,చనిపోవు / మరణించు / కన్నుమూయు,canipōvu / maraṇiṁcu / kannumūyu,intransitive,a1
"to discuss (informal, to talk about)",verb,మాట్లాడు / చర్చించు,māṭlāḍu / carciṁcu,transitive,a1
to do,auxiliary verb,చేయు,cēyu,transitive,a1
to do (as part of a compound verb or for emphasis),auxiliary verb,చేయు,cēyu,transitive,a1
to do (general action),verb,చేయు,cēyu,transitive,a1
to do (suffice),auxiliary verb,సరిపోవు,saripōvu,intransitive,a1
"to draw (a picture, sketch)",verb,గీయు / చిత్రించు,gīyu / citriṁcu,transitive,a1
"to draw (to pull, drag)",verb,లాగు,lāgu,transitive,a1
"to draw, paint a picture",verb,గీయు / చిత్రించు / వేయు,gīyu / citriṁcu / vēyu,transitive,a1
to dress (oneself),verb,బట్టలు వేసుకో / దుస్తులు ధరించు,baṭṭalu vēsukō / dustulu dhariṁcu,intransitive,a1
to dress (someone else),verb,బట్టలు వేయు / దుస్తులు తొడుగు,baṭṭalu vēyu / dustulu toḍugu,transitive,a1
to drink,verb,తాగు,tāgu,transitive,a1
"to drink (liquid medicine, beverage)",verb,తాగు / సేవించు,tāgu / sēviṁcu,transitive,a1
to drive (a vehicle),verb,నడుపు / డ్రైవ్ చేయు,naḍupu / ḍraiv cēyu,transitive,a1
to drive (force forward),verb,తోలు / నడుపు,tōlu / naḍupu,transitive,a1
"to eat (pills, food)",verb,తిను / వేసుకో / సేవించు,tinu / vēsukō / sēviṁcu,transitive,a1
to eat (respectful),verb,ఆరగించు / భుజించు,āragiṁcu / bhujiṁcu,transitive,a1
to email,verb,ఈమెయిల్ చేయు / ఈమెయిల్ పంపు,īmeyil cēyu / īmeyil paṁpu,transitive,a1
to end (to finish doing something),verb,ముగించు / పూర్తి చేయు,mugiṁcu / pūrti cēyu,transitive,a1
to end (to stop or conclude),verb,ముగియు / ఆగు,mugiyu / āgu,intransitive,a1
to exercise (physical activity),verb,వ్యాయామం చేయు / కసరత్తు చేయు,vyāyāmaṁ cēyu / kasarattu cēyu,intransitive,a1
to explain,verb,వివరించు / చెప్పు,vivariṁcu / ceppu,transitive,a1
to fall,verb,పడు,paḍu,intransitive,a1
to feel (a state or emotion),verb,అనిపించు / అనుభవించు,anipiṁcu / anubhaviṁcu,intransitive,a1
to feel (to touch and perceive),verb,తాకు / స్పృశించు,tāku / spr̥śiṁcu,transitive,a1
"to fill (a form, application)",verb,పూరించు / నింపు,pūriṁcu / niṁpu,transitive,a1
"to finish (a task, completion)",verb,ముగించు / పూర్తి చేయు,mugiṁcu / pūrti cēyu,transitive,a1
"to finish (to end, come to an end)",verb,ముగియు / అయిపోవు,mugiyu / ayipōvu,intransitive,a1
"to fly (a bird, plane moves through air)",verb,ఎగురు,eguru,intransitive,a1
"to fly (an object, vehicle)",verb,ఎగురవేయు / నడుపు,eguravēyu / naḍupu,transitive,a1
"to follow (go after, pursue)",verb,అనుసరించు / వెంటపడు,anusariṁcu / veṁṭapaḍu,transitive,a1
"to follow (rules, instructions)",verb,పాటించు / అనుసరించు,pāṭiṁcu / anusariṁcu,transitive,a1
to forget,verb,మరచిపోవు / మర్చిపోవు,maracipōvu / marcipōvu,transitive,a1
"to form (e.g., a queue, naturally)",verb,ఏర్పడు,ērpaḍu,intransitive,a1
to form (to create or shape something),verb,ఏర్పరచు / రూపొందించు,ērparacu / rūpoṁdiṁcu,transitive,a1
to form (to develop or arise),verb,ఏర్పడు / కలుగు,ērpaḍu / kalugu,intransitive,a1
"to fry (general, deep fry)",verb,వేపు / వేయించు,vēpu / vēyiṁcu,transitive,a1
to get (to become),verb,అగు / అవు,agu / avu,intransitive,a1
"to get (to fetch, to bring)",verb,తెచ్చు / తీసుకురా,teccu / tīsukurā,transitive,a1
"to get (to receive, to acquire)",verb,పొందు / సంపాదించు,poṁdu / saṁpādiṁcu,transitive,a1
to get (to understand),verb,అర్థం చేసుకో / గ్రహించు,arthaṁ cēsukō / grahiṁcu,transitive,a1
"to give (or offer, provide, slightly formal)",verb,ఇవ్వు / అందించు,ivvu / aṁdiṁcu,transitive,a1
to go,verb,వెళ్ళు / పో,veḷḷu / pō,intransitive,a1
"to grow (increase in size, stature)",verb,పెరుగు,perugu,intransitive,a1
to grow (to cultivate),verb,పెంచు / సాగుచేయు,peṁcu / sāgucēyu,transitive,a1
to guess,verb,ఊహించు / అంచనా వేయు,ūhiṁcu / aṁcanā vēyu,transitive,a1
to guess (estimate quantity),verb,అంచనా వేయు / సుమారుగా చెప్పు,aṁcanā vēyu / sumārugā ceppu,transitive,a1
